Sanfter Pop,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
14,Body,4MwfZYNkakJXiBRPjd781s,AVEC,6N8vbhxZ0CYJHd8WGJ9Snf,Body,391zW1Ax4paU98sZA5h7eM,32,https://p.scdn.co/mp3-preview/a8ed228ba9a15d45dbf95e861ad2ebb3e38a3f8d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,Du fängst mich ein,43h6Mwi8SKSvkdNtoy2UcB,Sasha,091dY4SjI2cy4YHdvhCjg1,Du fängst mich ein,271n0lDKvcGd5SdCttp5LC,34,not available
16,When You Love Someone,5fX2oPyLCe5mBKqGDbOWqC,James TW,0B3N0ZINFWvizfa8bKiz4v,First Impressions,6ZPn3tnyLZAbgLFy3GSkqT,27,not available
17,Ganoven - Akustik Session,0JreMHjAFo9QlBYT4f4Her,Antje Schomaker,7Kif1sqh6J226OZFwUgt8n,Ganoven (Akustik Session),74jXZf65pAGYRVdew6Z5j4,50,https://p.scdn.co/mp3-preview/a81454495bc628ff5c149eee82be63c29d7b5edc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,Birthday,5QvL5shIrzH2A2zG0DZwh3,Maisie Peters,2RVvqRBon9NgaGXKfywDSs,Birthday,7evERN7P6VC1uVqtpFccL4,58,https://p.scdn.co/mp3-preview/af2edb99a66c1d3b33637cd25310394746ab5986?cid=fa83a2fec7c440b7a2795d600d6b2c7e
19,Alles,6K49ChClJkHor8EU5BPahJ,Jellina,6r4jLBpc0K1xycZAa9hwPV,Alles,15TPQyZtksU4aa8g2FEyyC,62,https://p.scdn.co/mp3-preview/3f2068098e4fea529f052232d23a8cfc4eb92685?cid=fa83a2fec7c440b7a2795d600d6b2c7e
20,Dancing On My Own,02WacdrRpm4zlP8H7X6bnQ,Calum Scott,6ydoSd3N2mwgwBHtF6K7eX,Dancing On My Own,5Hq4LcmCQ6BP3kM8J5lgga,26,not available
21,Hier und jetzt,2V5oUy1F15xDfrbYb592Yq,Benne,0eS2ZGOnJi5Cp4ASTy4aBc,Alles auf dem Weg,5fU2kPpgDEXpaOCZk9UKw0,2,not available
22,Happier,2RttW7RAu5nOAfq6YFvApB,Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,÷ (Deluxe),3T4tUhGYeRNVUGevb0wThu,83,https://p.scdn.co/mp3-preview/e2f5edb569c73916428ec0a2e0b56a9f777851dd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,Storm,6aSBwHHB2w4TJsgiZluyEU,Mighty Oaks,5AVJt6VYXT4hMRP8D3MRAC,Storm EP,4QT9zbx20p53tHAP8fRvy9,54,not available
24,Silence,6cZzGeLcDeDFuPVGAORhNl,Grace Carter,2LuHL7im4aCEmfOlD4rxBC,Silence,3XX2CE9pzjIENPPnge7ewG,46,https://p.scdn.co/mp3-preview/f0ba019fa174dd4ccfa3e420ac6f2953b979f9fd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,Ultraleicht,5dAhClprLlWd10J4FEWEEY,Andreas Bourani,6quRLJ5SiWHgcVMoE9TEJj,Hey,6DXLgOP56mhoi6jvy60D8l,50,not available
26,Flüsterton,5hsGvpNlErx9pA7NIXwrfj,Mark Forster,7qXzy6c5RWT0XlVQcOBIDG,TAPE,3PYi5cqKxVEgc1HTMvzStf,3,not available
27,Addictive,4jndWmWlXMC7c1o98U16Zf,Sarah Miles,0ODH6CZBGsC6lnlOPLGYgh,Addictive,6hpvuLNhZdudoUmnyobx0e,35,https://p.scdn.co/mp3-preview/1bf65b3a7b17f1130a3f3c6a9a43964ffab6f83c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
28,Blackout,6gBShrnv08XjTQyJ5iW1Qt,Freya Ridings,5pDjmC5mRl7vDJhsjVwNfk,Blackout,55f0OJWDXinwOC5Zy0Bv9M,2,not available
29,It's Gotta Be You,66yKv1kZIqfejvrLEGqTML,Isaiah,5lXfVoQxVgC5fpjkVqvNYn,It's Gotta Be You,4zSLy4XMFXIMFa52jzoEdk,64,https://p.scdn.co/mp3-preview/79b0122a4b7cec3e3af69921c8c9464293f38652?cid=fa83a2fec7c440b7a2795d600d6b2c7e
30,Regenmädchen,4f9pM5BuSp6ULzRFcmK4Ea,FINN,6iIil052wIpMYhauYLYOOu,Regenmädchen,4h4om7T0c15OiDVQKD2umK,4,not available
31,The Other (Stripped),6xwuCb6zjLz6S8of1HTxpz,Lauv,5JZ7CnR6gTvEMKX4g70Amv,The Other (Stripped),0ofwHuHCgGAM0K3WWUqA3j,8,not available
32,Made of Stone,6Ijhy1NR2aw1cUdYzEmpYo,Missincat,5P9sPzKeZ0A6OEe3hQAR0v,Made of Stone,2kOf9mki2M1fevtNJcIran,8,not available
33,I Miss You (feat. Julia Michaels),2xmrfQpmS2iJExTlklLoAL,Clean Bandit,6MDME20pz9RveH9rEXvrOM,I Miss You (feat. Julia Michaels),78zct4Yn5hwMqrlh5uQedB,26,not available
34,Young,4GpMjzT6rabgpBkekG02oZ,Ides,5YKSwlArkjrdBXF8dqVQwS,Young,1phakVX9S4xPCkTPzLZZRE,33,https://p.scdn.co/mp3-preview/a9a9dc1e54290a10c0462a0e0ab648b08a32a553?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,Sweetest Thing,696vpg0aBvBxpZAuasmg15,Allman Brown,239Y6QdFqVFfdsw6moqSEN,Sweetest Thing,4YtmwrjMoeVCcVPMSadTsy,65,https://p.scdn.co/mp3-preview/9ab1840672a0925d2714bc4d11542be5308e23e3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
36,I Try,6atZCdBGa3A5S4PvonN7YV,Jasmine Thompson,2TL8gYTNgD6nXkyuUdDrMg,I Try,1E089xwTh0xySx5XFcMg3Y,58,https://p.scdn.co/mp3-preview/b7ed419f7129916e8e983d28af9d8984b4dbafb0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
37,You Were Supposed to Be Different,13GvSZgg9LOs3M9uGbWsPE,Aron Wright,4MKVLp1MAwYFqaXhe1g8dA,You Were Supposed to Be Different,5WXPZlMv6GvlIMXtRxqGgB,41,https://p.scdn.co/mp3-preview/f82b06cd76ae468694c1a3b0b9fb183f58a8d44d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
38,City Of Stars,3DrY78fwQBAuqlntINQRB4,Gavin James,25tMQOrIU4LlUo6Sv8v5SE,City Of Stars,3v9QR7FRm3OfNywqWX5Trw,65,https://p.scdn.co/mp3-preview/15b7682d5df13542b4f00ad3ee8ca9edf1c6bf01?cid=fa83a2fec7c440b7a2795d600d6b2c7e
39,Wenn du liebst - Radio Edit,0lnX43Ds6EbnF6HwCdfztJ,Clueso,0iFq8SzyZaaQ2Fn6CLDxqW,Wenn du liebst (Radio Edit),410xedkWWmIeQtCVXFJ6Xp,51,not available
40,Helium,2mmJUijVBC18B7SeYb0f5h,Sia,5WUlDfRSoLAfcVSX1WnrxN,Fifty Shades Of Grey – Gefährliche Liebe (Original Motion Picture Soundtrack),5tV3mMceoLdP5Yqn1ICVNo,48,not available
41,Please Don't Go,3cNjgVBKTJ1SvKhunrCdVy,Joel Adams,36jaGQtMj5UWD0eO1fCVdD,Please Don't Go,2SF8Wbc61u8hlQkZYGVCnx,77,https://p.scdn.co/mp3-preview/40e609def3e6b83f48018c17492598f982e9832f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
42,Stay - Demo Version,3qtXkL9GZ3FwFADYk4dtxi,Mikky Ekko,1buzCmyYZE4kcdLRudsb8V,Time,10oJt0Jjl04wiV0HtxZ1OU,32,https://p.scdn.co/mp3-preview/e8d29085a55b6bc381db75faf2dd8df367a0ddb4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
43,Dynamite,6e7Eudq88wcygOphhtQnrN,Sigrid,4TrraAsitQKl821DQY42cZ,Sucker Punch,4OaTrPkuAYkelxCnm92njS,59,not available
44,Forest Fires,4BoKK8Q976nYHey08e7Ni7,Axel Flovent,6jn7W8NuX94FWZyeGlyCaJ,Forest Fires,4jrb1eVykCEyNTfA3bAgG6,4,not available
45,The Book of Love - EP Version,4HcSK64Cy7JJ5gv1Txzhzo,Gavin James,25tMQOrIU4LlUo6Sv8v5SE,For You,0vQOkW8jvRYdf0wzonmLMK,50,https://p.scdn.co/mp3-preview/87acd61c7d76e26c522242cbcc2ddd2d893db589?cid=fa83a2fec7c440b7a2795d600d6b2c7e
46,Bright Side,1robros8SHFKxziDriiHNn,Johnny Stimson,00OF0nwYaoBSO3AnPVq3vE,Bright Side,5TFQzHK23Zot2tthG4YzCQ,38,https://p.scdn.co/mp3-preview/87c696e73066f1ed044705710bd71c8b3cb1ddad?cid=fa83a2fec7c440b7a2795d600d6b2c7e
47,Thoughts,0QKxIFlyDh7G0nBnA6D2OV,Adna,1pduOlnYE5rd4VChXbeU8g,Thoughts,03KiHxAFPD5jqKulehc9h5,1,not available
48,Lost Things,2iQEtIsc5JY1Pj2p5DAzqu,Jake Howden,6IhfvDjVxCa2Lh8zEVIa20,In a Picture EP,5jVoN5kMl2RFWpILP2SF9R,39,https://p.scdn.co/mp3-preview/1975f86390e5b615dfc299b3d824e08ecd8b4036?cid=fa83a2fec7c440b7a2795d600d6b2c7e
49,If This is Love,6zacPWTzt8RctyUqsLOSJW,Ruth B.,2WzaAvm2bBCf4pEhyuDgCY,If This is Love,3MTwPoIBnnEvDqQKtk4qR8,50,https://p.scdn.co/mp3-preview/e99cd250a57c74cff0efc9be405e4e457a169065?cid=fa83a2fec7c440b7a2795d600d6b2c7e
50,The Middle,4bE2OH3dPq3vbXcextIlWh,Kina Grannis,7h4j9YTJJuAHzLCc3KCvYu,The Middle,0uzDbEjxGWYzkEdybQpIIS,39,https://p.scdn.co/mp3-preview/c4f857cf40f4d8580bc9fd2703342eca6dbb5474?cid=fa83a2fec7c440b7a2795d600d6b2c7e
