Happy Dance,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
20,Dancing In The Rain,4PvqFJ8N8nI6iRyfCDAKXm,Da Hool,0wOXK4GjUAFUDhd7mvKBbW,Dancing In The Rain,6ZlQOuFCIgwjbFHUcebBgy,33,https://p.scdn.co/mp3-preview/1848a755b43f8c6d936d062ef5c7dff2c8a9c113?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,Let's Rave,6014S4lz1nNXsgv02Pd5RF,Topic,0u6GtibW46tFX7koQ6uNJZ,Let's Rave,0iqullTJLwy46ChNVc0HhC,59,not available
22,Spotlight,0DPxLNnlBhsxy3ntRZZiRG,Zonderling,0bMKf3lIYR9GaNTdFKkTOr,Spotlight,6q1NrUGzO21iIIrDh8vIuT,53,https://p.scdn.co/mp3-preview/5b71b11ed99560f90b94c0b424802a611be1ce79?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,I Got Love (feat. Nate Dogg),60QoePs4iQCs2aCZm96ew2,Don Diablo,1l2ekx5skC4gJH8djERwh1,I Got Love (feat. Nate Dogg),5GhScpsF1A5XFckLReRWcn,9,not available
24,Games,19tzoaZ83BZueXT8aMALM3,ItaloBrothers,5nkYRuiIHg2xXHFC8bfosJ,Games,0RafVreK8jCxlcivCrEMTB,59,https://p.scdn.co/mp3-preview/83ee9d8b5a845f75c2f3cc4e6503e57cd7cdf834?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,Who Cares?!,5Q28UtqcOHUMeMJ9rY6pnK,Saxity,1jG8sNQCiRuv1Nz1GiFlax,Who Cares?!,5V6No27i5uA84e2Z0pgvBb,50,https://p.scdn.co/mp3-preview/c7ad4e2bd3f0931c84b10b84d700159f76900579?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,Ce soir? - HUGEL Remix,3bhLTTSb0akz4N7KkL88cM,El Profesor,2gTcdmBwgyh3EORKIXCzlw,Ce soir? (HUGEL Remix),3gTRS4U6khNRRW41cuGVwT,59,https://p.scdn.co/mp3-preview/f22ee3ef8369da6f69c456feb6e59c6c0e796953?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,Post Malone (feat. RANI),0qc4QlcCxVTGyShurEv1UU,Sam Feldt,20gsENnposVs2I4rQ5kvrf,Magnets EP,41S9bfzXTSGK4HU2mp5qXH,88,https://p.scdn.co/mp3-preview/b74cd0ca94e2907bcd64827ba5208279f02a4064?cid=fa83a2fec7c440b7a2795d600d6b2c7e
28,Way We Used 2,7ELY58mnFz6z5AxYymbjon,Showtek,3gk0OYeLFWYupGFRHqLSR7,Way We Used 2,55HIUW5NcnCjvN5LnUeFBs,32,not available
29,Overrated,0AR1NRcYkm2vhostE502BU,Pretty Pink,78GHS9zWXcj8tBke222g5N,Overrated,67ZZR1EHrKGIWPi4ns92ex,40,https://p.scdn.co/mp3-preview/a6efcc9ed7674693c4dcb3e87dc869ef2be2c4bb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
30,Real Love,0lxchyzTYEDcZiwf0EiswB,Thomas Gold,1XLjkBxFokuDTlHt0mQkRe,Real Love,7duwNKL4Ywx31QFwSTcedK,38,https://p.scdn.co/mp3-preview/6fa71d1c4448f3ce34fb1a53bad683f93a201ae4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
31,Do It Right,08s6gVAGNsmTOWDPfjpn6A,Perfect Pitch,5dCHZZCETvtgvg88AYg13g,Do It Right,27p8wYLR7rNPjL9TndZvtP,44,https://p.scdn.co/mp3-preview/37472f605254684bbae6d9ed0de7401172d68899?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,In Janeiro,75uzzBvYvGzv8lPVuMoXVI,R.I.O.,0Ol3Jol2T3lZZVLNNzWPhj,In Janeiro,3FXaLuNxnUS9kcpubsWklI,46,https://p.scdn.co/mp3-preview/2bff6403257d3cfdb707f1470cb12d640fc567db?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,Be Alright,2HIdzelNXeFbvnpGHtRTBk,CALVO,3E61SnNA9oqKP7hI0K3vZv,Be Alright,2VvYwcEH53HLjLZuWKotkC,58,https://p.scdn.co/mp3-preview/c224f746002abcc503046c688a1d73c1d0722134?cid=fa83a2fec7c440b7a2795d600d6b2c7e
34,Show Me Love,5kO4vC58fVJPuheWXrTviG,Max Lean,4sOc3KgWiki8GMnvxYH8sh,Show Me Love,2uZFZvNhpGvCB9zZHtpuVQ,50,https://p.scdn.co/mp3-preview/e84500dae1b64e93d3f26a57a877e5f912157954?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,Body On My,6e0CvGZf7CouOpYF8toXHC,Loud Luxury,6t1gpxYbY8OlLA7D2RiikQ,Body On My,2R66I0nzp3NnuUlzIGWQ5P,68,https://p.scdn.co/mp3-preview/7bd13e0e9f13ace348529a8e2222501490e59a11?cid=fa83a2fec7c440b7a2795d600d6b2c7e
