Stimmungsmacher,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
24,Lifted,2Jf6sH8m3v5BZMPW4iIMYV,Butter,4VS4YsOcgAXecQwXhsZIfp,Lifted,2Ka1pNSkUYcOI4cATs9VU4,49,https://p.scdn.co/mp3-preview/cd4b667bf60d6a23b601e6b4a201b8f97c26a278?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,Wohin willst du,3h4HDzL7ha4eYalx9Eknyj,Gestört aber GeiL,7KAGJwWQQui8b0uqwXRkSr,Wohin willst du (feat. LEA),7qZhIRuE3CgoKFgmwXjjot,60,https://p.scdn.co/mp3-preview/3d911bf26d538a7dcebe983addd2b0856500d275?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,Brot & Wasser,42bDVv9iUVzvEfWxgCALD1,Xavi,0ZCbxUPZReHqmDsGmiRvL1,Brot & Wasser,36H9k6NhxD2BLoIfh02wuY,51,https://p.scdn.co/mp3-preview/198fbc53e1cef70e3166b0b3d283952c2e0c6ab7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,Roads,7CBH8BzH23SksBR5NSb7tT,Vargas & Lagola,2fVW2ix4ANKiofDZIsy1XR,Roads,1TBr6GN5yvsNqPNlhgXvsf,24,not available
28,Just Got Paid,0v3BMLcwUmAwyqJaf5997o,Sigala,1IueXOQyABrMOprrzwQJWN,Just Got Paid,09uJvEy1F5GwvazqSQcYyB,73,https://p.scdn.co/mp3-preview/7aed134222ceb3d401b03b9d90778f448ab6a748?cid=fa83a2fec7c440b7a2795d600d6b2c7e
29,These Days,5CLGzJsGqhCEECcpnFQA8x,Rudimental,4WN5naL3ofxrVBgFpguzKo,These Days,2sjjFDjZSCYD5eBCsi0fDW,80,https://p.scdn.co/mp3-preview/57f9b45cd318070b04945fc6c8a7e50eaa7f8971?cid=fa83a2fec7c440b7a2795d600d6b2c7e
30,Replay,164C9bSF4ryqWXI4XgxTE0,Davai,0xZvYTiM5QT94j1abOm0nC,Replay,5PA89MT2uA7FYVcjcI9but,62,https://p.scdn.co/mp3-preview/c20517069905148fc2597f5a1304e71b54ffb34a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
31,Paradise,7c71baHwrGDOeIFl1gVO14,George Ezra,2ysnwxxNtSgbb9t1m2Ur4j,Paradise,7IeZsdWu7lTpDq2qBp437l,24,not available
32,3 Nights,1tNJrcVe6gwLEiZCtprs1u,Dominic Fike,6USv9qhCn6zfxlBQIYJ9qs,"Don't Forget About Me, Demos",1DNx0H5ZX1ax3yyRwtgT4S,89,https://p.scdn.co/mp3-preview/4541d9fdce0a1a70103690863356bee8ca05d02b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,Don't Leave Me Alone (feat. Anne-Marie),2zy9TMoZlYGuCNY4TLqG24,David Guetta,1Cs0zKBU1kc0i8ypK3B9ai,7,5rbJtzuXtpIP0Ykk7ewIit,68,https://p.scdn.co/mp3-preview/3584634dab70c68913a298aef4605681995340a2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
34,I'll Be There,083Qf6hn6sFL6xiOHlZUyn,Jess Glynne,4ScCswdRlyA23odg9thgIO,I'll Be There,7o6j8wph7fvEcAL67jLVGN,75,https://p.scdn.co/mp3-preview/50b537f9f475abff638562ae8806391009d24d43?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,Frische Luft - Single Version,3p8TTPPvzUaSFNV66cQoMI,Wincent Weiss,12xme1fwd3iGEW7rF9b6tp,Frische Luft,4A0tqBmbSrUukYvW7pQPK6,58,not available
36,Hurt Somebody,2vQFU89Ax4ZXdNFPHoGuds,Noah Kahan,2RQXRUsr4IW1f3mKyKsy4B,Hurt Somebody,5iTOtphdoR3vkVI4n0boCI,17,not available
37,Break,6LuDBVDciOhIfLX7xxz1TJ,Annika Wells,0kErUwb6xgWfkdn0RyZWHZ,Break,0ZifScAuy9Ufo7kptMvwGJ,51,https://p.scdn.co/mp3-preview/a75c7f260fcc2adfff4cbb5857fdeb09ef966ddb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
38,Rhythm Is a Dancer,6aRGTfmcxyKZ6pHJLpNe1c,Alex Christensen,2NbYIb2nZ2Z8YORBCbugPq,Classical 90s Dance,6cCYs8KXOhKgPvX5mZREab,55,https://p.scdn.co/mp3-preview/f875cb98d375cb7e877cd079150338dd3a5bb94b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
39,Hey Child - Acoustic,0JKNKnjotLKcYKP6pg4hj5,Korbee,5xaoFkc3w6UTdTZ1GJOIsG,Hey Child (Acoustic),0HUGezw2sZ7C19p4HEncDn,9,not available
40,True Love,0faulCzW1hxYeaQ3jKl82O,Lions Head,0MDfMKBf1cV65pnQ1ZRm9O,True Love,3q12LuAbCchSiJslH0JvsU,52,https://p.scdn.co/mp3-preview/797e94f5f3b1210804f322fba3a4be4f21145714?cid=fa83a2fec7c440b7a2795d600d6b2c7e
41,Summer Air,3GPI7hYiqD6enLRobhkBm8,ItaloBrothers,5nkYRuiIHg2xXHFC8bfosJ,Summer Air,2wXWlMXmao3AoaZKtl2p5Q,15,not available
42,Dive With Me,1NldMriIXmMdChqZtHCGbW,LVNDSCAPE,2QlwnS23KrBeshXFyK5U6M,Dive With Me EP,34uGRL5fYOhN2MH23ZYQVK,17,not available
43,Lullaby,5xzCzOAOfRi4DOttSzvznR,Sigala,1IueXOQyABrMOprrzwQJWN,Lullaby,1SR7c6j94aiuYEhUrfTbZ7,69,https://p.scdn.co/mp3-preview/f333b096a28a34d65c13d8616b18612b4665a7e6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
44,Feel Good,6a9vKVMFfNBi741DVSit3H,Felix Jaehn,4bL2B6hmLlMWnUEZnorEtG,Feel Good,5yAfDtl0HzGSqfLv2C40Uy,14,not available
45,Running Man - Radio Edit,2yS8SABVQCqpvsmTMH8CgM,Ollie Gabriel,4TNVwxe6cso3F2sGxA2KLG,Running Man (Radio Edit),5g2cqXv5x8VHV8YzcBsOa6,52,https://p.scdn.co/mp3-preview/02d39e8aaea7b2aa436ba9acfcdce8edf0ebcbdc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
46,Dreamer,7hvxMYq9JW5W0vFwiu1Zdr,Axwell /\ Ingrosso,2XnBwblw31dfGnspMIwgWz,More Than You Know,7bchrFZj39dzXln8iE6tBE,12,not available
47,Nie zu Ende,0T4h79neqK0F7af0EC3EnG,Jonas Monar,15DtxS7TcOYPplKUl5re5C,Nie zu Ende,0Hq1sB4uaOdr1tbGqQP6MO,10,not available
48,Diamond Heart,4J4zx8xGJpuGndrVc06KaT,Alan Walker,7vk5e3vY1uw9plTHJAMwjN,Diamond Heart,6PZBlxE1awuzcZTkUwWa4C,72,https://p.scdn.co/mp3-preview/690e697d4147c69a6ae48dcff7fb9de5b5d71f3c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
49,Remind Me to Forget,5sIx4BlfYGuZeSLF40N9GH,Kygo,23fqKkggKUBHNkbKtXEls4,Remind Me to Forget,5Og1PZOwpUkL8slf11stBq,77,https://p.scdn.co/mp3-preview/3a5266d314db37f09273747a2fa73d44e0e1cc7a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
50,Play,3PFTmkLFibt1qGdBnFfrQK,Chloé Gisele,0L90B3jENaiw8unXl6y5eC,Play,3FI48C6apaVz9FAKBGktPc,42,https://p.scdn.co/mp3-preview/7ebc625299f767698b4bad1903f5c3c4c2927828?cid=fa83a2fec7c440b7a2795d600d6b2c7e
51,High,1YrBkJwX2vKdXRAMdsgnwW,Johnny Rollins,435Q1t3rmfMWywaX29Gn7q,High,52CxVT4PzZHFjkkPvybIW5,9,not available
52,Body,0xmoM6wDCmPuzdPJc7xqPb,Loud Luxury,6t1gpxYbY8OlLA7D2RiikQ,Body,2Oy3ebQEt7Czfh6ZEaZgW6,17,not available
53,Say Love,1csB4kgdyglOQdH0EyFIqy,James TW,0B3N0ZINFWvizfa8bKiz4v,Say Love,3P7kKngBRwE0ZZ6lQDXi7a,23,not available
54,Hit The Ground Running - Single Version,2iSwnrcLP8hwHhO5R75B9w,Alice Merton,7f0OLhGgBMX9fUjm1dcPip,Hit The Ground Running,5Cab1fs2KjmU8Bjc0Xs4c5,50,https://p.scdn.co/mp3-preview/d3644e79238febe887c78d68620169c26f5b7707?cid=fa83a2fec7c440b7a2795d600d6b2c7e
55,La même,7D9rSbEPwhcwNXqSOohlNO,Maître Gims,0GOx72r5AAEKRGQFn3xqXK,La même,5AgZ7a91lJg3nBCHGhSEjz,58,https://p.scdn.co/mp3-preview/6fbad32e477db580a4fdaa6fc5280dd733288469?cid=fa83a2fec7c440b7a2795d600d6b2c7e
56,Senorita,5OHOykHs3Ct2pgbqod8uMD,Kay One,6VjbeCqoayiHYnefrisskv,Senorita,7sC0Co4ka745oGeBfB3Bhk,65,https://p.scdn.co/mp3-preview/fe1e8ac8b0a09d4e14378d79e0a4affd66fbaa89?cid=fa83a2fec7c440b7a2795d600d6b2c7e
57,Good Vibes,0X8VlQBGnKhWTBpTlgqgSr,Quintino,1V3VTM7VspiQjcmRhC010n,Good Vibes,0VW5ytAiIQlvYqnv7U3wBK,13,not available
58,Good Vibes (feat. Tove Styrke),0H8pgTFFb4K2M4t5LKsP5H,ALMA,6c0mTNAxJxlp9HpKTUZwA8,Heavy Rules Mixtape,5po6pdUWdxtvsxEVHeVDae,44,https://p.scdn.co/mp3-preview/7a73928f9349393e6a28d440833fd56e6faf35de?cid=fa83a2fec7c440b7a2795d600d6b2c7e
59,Get What You Came For,0UiAe6rzmLfgSvqt7LhF8l,Kav Verhouzer,1yYBD4cVxCxXQXi4QGZfSo,Get What You Came For,0N16aps8fofcXGtWf1KYk0,48,https://p.scdn.co/mp3-preview/fa62fa9360351beaa1320bf733a815c1d6659365?cid=fa83a2fec7c440b7a2795d600d6b2c7e
60,Just For Tonight,0im9iFcLT5D6pNl85H9mRI,James Bay,4EzkuveR9pLvDVFNx6foYD,Electric Light,08cprzGPjtLDvKMwtQh93R,58,not available
61,"Cool (feat. Marc E. Bassy, Gucci Mane)",3vwVxnq3vQ6NxGVxaiuteR,Felix Jaehn,4bL2B6hmLlMWnUEZnorEtG,I,2DL4AOHc4MKvCHbUr544aU,11,not available
62,Two Princes - Radio Mix,1iTKkkgXj8kJkGdjGGBFqL,Fake Pictures,02U68BQCUSYgr9eTBWRHLK,Two Princes (Radio Mix),74Awx7avOpDiYn1EDduCvT,11,not available
