Electronic Rising,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,359175,spotify_germany
1,We Are All Lost,6IdP0CGyt29eKbgGhRSCtw,Oliver Koletzki,1WjBIvYAnZTkTh5UiZNwlR,We Are All Lost,5GZC8VqB8pswXB0MoTgP6A,41,https://p.scdn.co/mp3-preview/9d9da3c608047105489111e1ff74dea9db60f3cd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Goodbyes,6Mmfn16y9FPXhjvneVFE9e,Joachim Pastor,6eNOjuJSfKkAvbiGW90AkZ,Goodbyes,0yLqr3ASNFW3E2bCwMRkGv,41,https://p.scdn.co/mp3-preview/b6c43f56bed4541f6894f5d300196f4fa4a3d127?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Seeing It Through - SCB Night Mix,4VLOgCpbonX0dzIp0SLL4f,Nicole Moudaber,7ixDtqtITfqx5lZQGh5gKe,Seeing It Through (Remixes),7hpA2mnTGgVpHobuyq5mHV,29,https://p.scdn.co/mp3-preview/0604239e08fad878e50d78f02d3081bbe478b115?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Schlafen,6W9p8YvgzEMJT8ENSaw32S,COMPUTER DATA,5wwnitxvqbrtiGk3QW3BuN,Schlafen,5gdAuC2O2YWcU6JtyKqU3U,29,https://p.scdn.co/mp3-preview/e2f50e52b4d5aee14c5c3cb36f30d1eb321755f6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Where Are You Going,1JNJzla8JlsiFhrQ40rAcr,GAWP,7nRbEJhGU1wq3sEuQelrzb,More Celebrations - GAWP,0oWY5ZMeH2ZGdp39ZWq1Ab,26,https://p.scdn.co/mp3-preview/e5a5314c6806e389533dec6c59912b5310278730?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Airborne,4ILbBQfSyeH9sdR2sWupDn,Sammy Legs,6t2Dat6onFMWgVdW05EAVA,More Celebrations - Sammy Legs,1IckeBPMs7fGdJVhuoR4Qe,25,https://p.scdn.co/mp3-preview/bfca0b88b4d1ee3a841e9d3fe60951c5a902d4f7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Corrosion,6tm2kUJ7dlF5PdfoyQ9UP0,Daniel Steinberg,6mU76NVrD4mcmA5WIoiUMV,Corrosion / The Beat Trick,7eqbhIl3d9XPQK9eoSRB1m,28,https://p.scdn.co/mp3-preview/018ec986fd037934ae5d158a03701946f07986da?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Would You Believe - andhim Remix,4GTnt9oGVYjqPG837aFlKP,Catz 'n Dogz,5tYqFEuFELxnJZgGmmsfSh,Would You Believe feat. Jono McCleery (andhim Remix),2PCIpm34DfPS2XCkFKS4tP,31,https://p.scdn.co/mp3-preview/9e384d6830b0a66fee98357eb00d9e6d0654b654?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Don't You Wanna Play,5f1wVolXCXkXbgQgLE0juo,DMX Krew,4W1v5X4x0ObMOJVJreZX3k,Don't You Wanna Play,1zisBNsqRGPkfmZPtffdBJ,24,https://p.scdn.co/mp3-preview/f5824d3269f8849d7469b401ca5589ab46eb04b9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,The Solution,7FC6Npl04jYTp4vczMoSFC,Project Pablo,2OHzpRiwkpxGE7IA0hnSko,The Solution,2O0sE0YQiFUQcLTWX14xS1,32,https://p.scdn.co/mp3-preview/af606ae85e704d319f09fb05f787dedf5321aea7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,La Donna,5MWN1TSxbSwNEuY3q8YjIt,TIMANTI,41a6BgFAvZc0eIzBIcfWMA,La Donna,1pgKzUPZ6WH7vYZK0RWSe2,21,https://p.scdn.co/mp3-preview/683da0c800bfca4577431a4a248b510698d832ac?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,Ito,2SBeRSjyXBMqyXsjw1QTny,Oliver Schories,0iTjLBepeGaLgZS18kxgRq,Ito,7mSXJCoEPDt9Q5cBytPveY,33,https://p.scdn.co/mp3-preview/18a995300f3d53badfbf72d3be157f5f857ce89f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,Aphelion - Chloé Caillet Remix,5qfC73TesCUqy7x3SOHCbU,La Fleur,5bt7DkWw4iHzjzRF2d9scU,Aphelion EP - Remixes,0G0u2G7b88nISNxv5OysWu,24,https://p.scdn.co/mp3-preview/858675a8e66bea5fa7056d2a70aa1064a4b2c081?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,Vortex 135 - Mall Grab Remix,0TbvfeBToHnNJQd8tcvvU6,Special Request,59xdAObFYuaKO2phzzz07H,Vortex 135 (Mall Grab Remix),4Li7ZhdS5PexYnudYicvRe,36,https://p.scdn.co/mp3-preview/27b601b5b70bbf3f2bded155ee2db48c2d69734c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,4Ever She May Live,6qIiBhhJulp6zcq19bbILJ,Sebjak,4WaTBVJBxGQ71Ch0swa8DA,4Ever She May Live,2eLZXOe3Yl8TilrlMqEClo,23,https://p.scdn.co/mp3-preview/d254692ec7ea05d9d46359b2932dbee6d90e3b07?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,Eko Plate,4LJ0JnNo6qaU3ZSQkHzlr5,Abe,4DuSBVCmI9rMlrIHlS7buZ,Eko Plate,10kBatupJFTUuhHDUT3VT5,34,https://p.scdn.co/mp3-preview/18e3ab51cd28e83b13e4bbd733d142110c61d61d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,Alle,1SMyvP1TNiTiJ8rDZG54BJ,Eluize,4UynZk3RxczOK1AwaHR5ha,Alle,1s3j5UFwrQGG8Z971wgeaD,32,https://p.scdn.co/mp3-preview/dff09b273c7c4bed3840b0d87271d6d6ae5630c8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,My Enemy,66MU7CvsUaO6wGxThPGH4a,Julian Wassermann,6QXqARXg4hZ3oAUitm2gU0,Muse,1n615rZW8opUmldNQdgfaq,41,https://p.scdn.co/mp3-preview/c829118eb8e96743bb7598ac1a0d1ec06f38b036?cid=fa83a2fec7c440b7a2795d600d6b2c7e
19,Feel Good,6IgWuSYV5Q9IA000SQ26mS,Moonbootica,1YkHCcMgZ6fTQMeEQyYKTf,Feel Good,4TL4UXRiiviP9FNn0Sx6J2,31,https://p.scdn.co/mp3-preview/dda8db146ea9880c72e03b2530323fc07d8db2d8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
20,Nexus,02BsAkethKc0IFpWV9DQxs,Henri Bergmann,1FiAkaEAyepvi57FmYvJqo,Nexus,3zzEqYmxE0q0ykWSChyMHh,39,https://p.scdn.co/mp3-preview/976c86ae51d067ef2024c81a0c17e9f90cfe3aef?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,Liquid Slow,6Qp2c0odcvUIN640gVyisz,Chris Liebing,21444lX8gpmOX36icLmbFI,Liquid Slow EP,496wGRSvPBhF6s3KnTxupv,47,https://p.scdn.co/mp3-preview/2979abfbf2e38c8d4aedaf0c3521bc7ab4161ae7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,Matthew Keeps Me Pirrie,2ZYGLQ89EATPCZcLsHEowa,Denis Sulta,7cDu9zG1gVQrMdSGBAhzvn,Matthew Keeps Me Pirrie,2ilvzpDDnNQWbvgoSQZ4xF,46,https://p.scdn.co/mp3-preview/0fab327d48628221e22c3430bb9da62c0064eeee?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,Wahah,4BJIBG8dqZWkvWaszdg20M,Doctor Dru,3vjQVx1KiW9b8VpbRMWfpl,Wahah EP,2xk2aQzLtNdgzi2lXdS9zj,33,https://p.scdn.co/mp3-preview/a4309a9e5271b179902b19fa6577e890283a94a9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,"Champion, Victor",7CWLdz2KU11fIXOTazD8my,Coloray,6a3p6ZKDkTzrVbloxkD73E,"Champion, Victor",7LqSdUSEKi9Rr1YnZkvBOx,18,https://p.scdn.co/mp3-preview/055ea343f1675b445490e20f10c5849e90e9a31c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
