Gegen den Strom,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,48624,spotify_germany
1,2nd World (Edit),3Ck89dTR7b76FMiVs8l7Br,HVOB,6RAx8RRxoHeJIqD2d0EjOa,2nd World,7abnLAJGMdl7uNXkR047dY,37,https://p.scdn.co/mp3-preview/6a8020ba0211b46af1428446965f39f8425674a0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Al Pacino - Single Mix,7c4VoqmbYhKnZE6pyagG9V,Die Kerzen,23taB3vAKvN6eOECKJyyNi,Al Pacino,7bchPkA0YXZLjje1pFx0gl,51,https://p.scdn.co/mp3-preview/d4d8e773b9c03bbaa44e777c888157c98ace55d3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,January,0NS7DFpw5PfCESUJiNRe0n,FINE.,4asOB3NDvX82XNePNZpqQj,January,6SHmCkxsGQjLNp5XKCafjo,36,https://p.scdn.co/mp3-preview/1a220b50b9ff37206b625eaf4eca45684b2f0a0f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Sinners,1eo36VI77vfRsfCXNAyL8T,Benjamin Amaru,05HjXsZCR2S4JW473HsFvp,Sinners,1t8LCPaq3wjpNabZWjHwgV,35,https://p.scdn.co/mp3-preview/0ee8139fe28a0c125adcd4d7e84d997ac09b42dc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Integrity (You Don’t Owe Nothing To Me),1iOHKGRFCPelf1fn9fuxwo,Seed to Tree,5eTXENvednmXhr6r5lUWhY,Integrity (You Don’t Owe Nothing To Me),58nE6EETwQwUIWAgxuzctq,30,https://p.scdn.co/mp3-preview/1be1b9dae58ac5dc4bc0f030afbee0b8045dd79c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Ponyhof,1XzQ9wT3s3VtsPMgwL3xZ3,Enno Bunger,0aiAgFPJcZggIkSUGDFdkD,Ponyhof,7eixeqOjLpUqJ7tZ6FOhBl,43,https://p.scdn.co/mp3-preview/9722c29be48f5d8216eda0713f9d8bf9f096a661?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,What If,1XNUvML4BnFQ5tLB9JANQK,Bodi Bill,59gwvK7CZtQKvVp0gWtILy,What If,0PoqSOk87uOSy4pUUN2vIZ,40,https://p.scdn.co/mp3-preview/6bb3d0b51901c21ff306e178581c280cb7964438?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Into Waves - MUUUN Remix,6fIqj3bqDFtBLUCboX84bG,A Little Nothing,6NNQ0216pMjyKkkBANKRXl,Into Waves (MUUUN Remix),0cfSkyv6oVYjdJirZUC0dg,45,https://p.scdn.co/mp3-preview/297bd01006b8ed8e482cdba3d4fb6bde70fe258c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Rusty Strings,2vGVua096slel3Zw92MRXD,LUI HILL,3fuo46vtxoWxN4jo0irBTS,Rusty Strings,2Yl9Ki4VTsuHjV3wNIczfb,32,https://p.scdn.co/mp3-preview/39738b7121497bd07c8b25efcd310c13575c89f0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,Panama - Edit,6UTn9fLE2Aa11EcHHBhpJf,HVOB,6RAx8RRxoHeJIqD2d0EjOa,Panama (Edit),3HHwdLJOZnrHBJvIXsbGzs,51,https://p.scdn.co/mp3-preview/fbbb0fe055b2bd2702c5cb74ea54026ec4646c0f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
