Top Hits Deutschland,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,1922058,spotify_germany
1,Zeit steht (feat. Alli Neumann),22ET3BvBsXcGiwxy1uXPbU,Trettmann,6QzzeKV0VcnT2vJMYDPuL4,Trettmann,6nNWkAwlHC0yIoKzzl7rnQ,77,https://p.scdn.co/mp3-preview/94dfbe1cd8f61c6ab59b96e165bf37b192e822cd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Dance Monkey,421leiR6jKlH5KDdwLYrOs,Tones and I,2NjfBq1NflQcKSeiDooVjY,Dance Monkey,5i6CS5XcLZGLgaNCKlJvc2,71,not available
3,110,5sdQ7VUx6GOfsRoSxnK1YG,Capital Bra,4WZGDpNwrC0vNQyl9QzF7d,110,6DIKn3gZZms37nf3PvUegP,87,not available
4,Hoch,4SWu9u2dLzmYa8dMieyayQ,Tim Bendzko,3xDVmZmDpaF1uuez2N7mKl,Hoch,3zB1yfRc2e0vMayXMi48dS,76,https://p.scdn.co/mp3-preview/ee56a859c14ab29aa75e5bb5ae0efff2e0826a44?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Instagram,0U6bQIAh6MCGo1xjbIIx2S,Dimitri Vegas & Like Mike,73jBynjsVtofjRpdpRAJGk,Instagram,7FTzcNdsKhMe53orWXsai8,88,https://p.scdn.co/mp3-preview/3ab276e3f7066d652e7d631afc55e054de42ad1b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Roller,5dhQeuLGmlhfwlI6BWfSpo,Apache 207,1qQLhymHXFPtP5U8KNKsm6,Roller,3RJvPSUpz8E4b6SjectOPu,88,https://p.scdn.co/mp3-preview/cb7ceb09ae50ffccfeb5af1ba67df7741b374587?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Takeaway,6wo37KVqFJhtuxPTpLCcfe,The Chainsmokers,69GGBxA162lTqCwzJG5jLp,World War Joy...Takeaway,1JawI0XkEwmQ5Bwef3RMbq,92,https://p.scdn.co/mp3-preview/d6acd39ff853fe8d1fd60603143c60eda0f7f672?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Better,5Pwu8NkDhEkObPp8TvHMUn,Lena,5slpk6nu2IwwKx0EHe3GcL,Better,2lcmzK4IDOwd8Sh1FoFWYw,76,not available
9,Honda Civic,0WFgtxiLNr99YaoSdYR3Ud,The Cratez,3pVfscwg2QxhdHtk966inb,Honda Civic,6TLzZKljClASxNACc1ZTtZ,81,https://p.scdn.co/mp3-preview/339774adb8ae3f564a60901da265943dad571f1a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,Monster,0YU17F0BlVXvmx5ytsR43w,LUM!X,0TKFPt9w0AAEnhB9bd0pLy,Monster,3S7LqjI8EzC8FudcsX2T2W,79,https://p.scdn.co/mp3-preview/8926abae45f32d706e17646367e1ff54178ffa84?cid=fa83a2fec7c440b7a2795d600d6b2c7e
