Pop Remix,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,3013378,spotify_germany
1,Old Town Road - Diplo Remix,3kgKVcBpBGuSeaEC0AZGlb,Lil Nas X,7jVv8c5Fj3E9VhNjxT4snq,Old Town Road (Diplo Remix),66FxETmTBazRMZNbvGtGQl,76,https://p.scdn.co/mp3-preview/ac65893e06083f0c616e1e71fa40ebc2367d0201?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,South of the Border (feat. Camila Cabello & Cardi B) - Cheat Codes Remix,19TOAlTFq0NDHvUPQR0tkr,Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,South of the Border (feat. Camila Cabello & Cardi B) [Cheat Codes Remix],3BjxjIkTZKUpeZ6n5MYMNx,73,https://p.scdn.co/mp3-preview/b823ea3fbabf8808b8680c0c2d397d237408fbb4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Don't Leave Me Lonely (feat. YEBBA) - Claptone Remix,6LCsZ8ARrIq0n9nr6gM2ru,Mark Ronson,3hv9jJF3adDNsBSIQDqcjp,Don't Leave Me Lonely (feat. YEBBA) [Claptone Remix],7kDHIbujnNBfCxe0KhYkZ3,49,https://p.scdn.co/mp3-preview/052041c4d2115d512f810760d1214a032b022517?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Truth Hurts - CID Remix,3gOLLo0zS2GJPkLRoSaZjA,Lizzo,56oDRnqbIiwx4mymNEv7dS,Truth Hurts (CID Remix),7crLDwbXRNbsWQM9K0YBiW,64,https://p.scdn.co/mp3-preview/ba9b8b2b1227b9b3dfd42a934020474323779cc3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Love Me Less (feat. Quinn XCII) - Party Pupils Remix,4sLtguRBis05qfsBgJ1IdN,MAX,1bqxdqvUtPWZri43cKHac8,Love Me Less (Remixes),3E3l9Ae226bVoSwoPNuwWv,59,https://p.scdn.co/mp3-preview/3a12404e327bceb401cda7ea0e3e0fd35f14edb8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,bad guy (with Justin Bieber),3yNZ5r3LKfdmjoS3gkhUCT,Billie Eilish,6qqNVTkY8uBg9cP3Jd7DAH,bad guy (with Justin Bieber),6lMlX68jJrx67hiCqdiDvW,88,not available
7,Gone - The Wild Remix,79zGYOcAe2VmJsyQiJX31a,Charli XCX,25uiPmTg16RbhZWAqwLBy5,Gone (The Wild Remix),2QVWSdvejmRHBaK1mroxPL,52,https://p.scdn.co/mp3-preview/2edc792088bddb8ff1f95cfaec40b71a032398d9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Let It Be Me,69JVxHk5lLPAHdVulVTPi5,Steve Aoki,77AiFEVeAVj2ORpC85QVJs,Let It Be Me,5iQwgvI3wvK5iztUeaWMJt,67,https://p.scdn.co/mp3-preview/a55402035ee286d98b5d00b3ea193286fe1af27c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,"Instagram (feat. Afro Bros, Natti Natasha & Dimitri Vegas) - Bassjackers Remix",1r1AGkq5U0pBBcL9WUqkAh,Dimitri Vegas & Like Mike,73jBynjsVtofjRpdpRAJGk,"Instagram (feat. Afro Bros, Natti Natasha & Dimitri Vegas) [Bassjackers Remix]",33Upv4mMjMA9E3c7yAOcOe,57,not available
10,Younger - Club Mix,2xKkJIhnmUsGfOPEAc5lIA,Jonas Blue,1HBjj22wzbscIZ9sEb5dyf,Younger (Club Mix),4nLjsia74UENIcbU3tIXUn,54,not available
11,Million Pieces - M-22 Remix,08rBIlTMXlF5uEHobZglxv,Bastille,7EQ0qTo7fWT7DPxmxtSYEc,Million Pieces (M-22 Remix),4lzn3ikjb2HPZM6U6Y1IRL,56,not available
12,Torn - KREAM Remix,7AasLZ4TYgh7dbJXZxcZVE,Ava Max,4npEfmQ6YuiwW1GpUmaq3F,Torn (KREAM Remix),6gKLNSKPll9DAG5xiygMxD,56,https://p.scdn.co/mp3-preview/d3159dd0c5660fb6a767cf9c9e0165266f05fdf8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,Beautiful (feat. Camila Cabello) - Bazzi vs. EDX's Ibiza Sunrise Remix,6AZ21kPj2a0INgf3uCviVu,Bazzi vs.,0Z0T7qMFlcb0NfmrJ0Vu02,Beautiful (feat. Camila Cabello) [Bazzi vs. EDX's Ibiza Sunrise Remix],6KGnQuHVrsfblNq0ekXp3y,57,https://p.scdn.co/mp3-preview/8021676a01deebe4a94c72f3cad4c775af859b20?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,Right Now - GATTÜSO Remix,7aXc1H2HNr26F8LNnkx0MA,VAVO,44re77WwNG34C182Jq3WIK,Right Now (GATTÜSO Remix),6HQnT9o1XTmQEj2ib86XKM,42,https://p.scdn.co/mp3-preview/b8215e6eba4f90d398a22653c1c27ce31ea20bf9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,All Around The World (La La La) - Marnik Remix,3Ciaf6WgvG95TGRGxQ1yO8,R3HAB,6cEuCEZu7PAE9ZSzLLc2oQ,All Around The World (La La La) [Marnik Remix],5r998zJ0MNYb2TTxyQmjxT,60,not available
16,Spicy - with Diplo & Charli XCX,7hzjWGFi2HKUGOXp1LiQ3V,Herve Pagez,31JFnMfmvwzZGdEnXaKGek,Spicy (with Diplo & Charli XCX),0PiWf1iYUUTHDEPnPTFxqs,66,https://p.scdn.co/mp3-preview/5a7e56994385472797f687f5380b2de7235c95a1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,God Only Knows (GATTÜSO Remix),0ReSY5XOCFXFRooRS7hPxk,for KING & COUNTRY,3sDbKMebVH2VYcRSl7u1VC,God Only Knows (GATTÜSO Remix),5gdySuafgIrPQvdKzjbmIi,56,https://p.scdn.co/mp3-preview/a286b05ca5cff8e8e1689c271e7e57c5b54aaee9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,Hearts Ain't Gonna Lie - Eden Prince Remix,6B9cqNooxIyPfr3P5EB8LA,Arlissa,7wzaSKTsjE9HnuDuZTX452,"Hearts Ain't Gonna Lie (Remixes, Pt. 1)",00wIfIEWOqJ2RFrRazVl0i,67,not available
19,Don't Leave Me Alone (feat. Anne-Marie) - EDX's Indian Summer Remix,1mC2UjWt25Oixtqu7C6suL,David Guetta,1Cs0zKBU1kc0i8ypK3B9ai,Don't Leave Me Alone (feat. Anne-Marie) [EDX's Indian Summer Remix],1WhPuMFm5VaTJqe9rl3C5Q,61,https://p.scdn.co/mp3-preview/a6ab22dd85177cf569553368fdeb7393f77a74db?cid=fa83a2fec7c440b7a2795d600d6b2c7e
20,Someone You Loved - Future Humans Remix,1e8PAfcKUYoKkxPhrHqw4x,Lewis Capaldi,4GNC7GD6oZMSxPGyXy4MNB,Someone You Loved (Future Humans Remix),7m7vv9wlQ4i0LFuJiE2zsQ,69,not available
21,OMG (with Carly Rae Jepsen) - Alphalove Remix,1l8qH63RLBcLVq39srbjpf,Gryffin,2ZRQcIgzPCVaT9XKhXZIzh,OMG (Remixes Pt 1),0IQCAJBpfDM7at8nVWEldX,54,not available
