Merge 1989-1993,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,10,mergerecordsofficial
1,My Noise,5r9gX2e8MQee7s9vw3cd6S,Superchunk,7lmde7T1WJPFwv1eR6melP,Tossing Seeds (Singles 89-91),0bNCLyTlvJIsUTSLsQ5bCx,8,https://p.scdn.co/mp3-preview/6364190dd8668ffe0ff43f9e150e810dcb616019?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Cast Iron,32rUVH7AIxvjJ6pYK3TCg4,Superchunk,7lmde7T1WJPFwv1eR6melP,Tossing Seeds (Singles 89-91),0bNCLyTlvJIsUTSLsQ5bCx,7,https://p.scdn.co/mp3-preview/ec788963fe5ea5ab90e7a59c9b7e6803da07733b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Slack Motherfucker,1PcFuG2LlDgpQwogEMRUsI,Superchunk,7lmde7T1WJPFwv1eR6melP,Tossing Seeds (Singles 89-91),0bNCLyTlvJIsUTSLsQ5bCx,12,https://p.scdn.co/mp3-preview/242dd5f7a903cbb70a115c48cae4aa9cea75d9a9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Seed Toss,1G9YUGSF3HZZwIVhvoR3mi,Superchunk,7lmde7T1WJPFwv1eR6melP,Tossing Seeds (Singles 89-91),0bNCLyTlvJIsUTSLsQ5bCx,10,https://p.scdn.co/mp3-preview/cf2b220948accebf24aaaeac51887ba1b13c77ee?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Vibracobra,12ZrIhPUuLb6ou5hNJt7Vj,Polvo,0pbIqPTefLfuOcbM2ojXdl,Cor-Crane Secret,2O987wVV0ZkwNrpHWA1wWK,21,https://p.scdn.co/mp3-preview/587a6ee33736652dc187f95e2d804fd0d39ced8c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Can I Ride,0L2PWCMI3Irv2PosD57eSl,Polvo,0pbIqPTefLfuOcbM2ojXdl,Cor-Crane Secret,2O987wVV0ZkwNrpHWA1wWK,16,https://p.scdn.co/mp3-preview/7a2efe7187b8bba830c83ea0786f9d315eb10585?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Bend Or Break,2bo2fm69GIrrYn7eEF3hmk,Polvo,0pbIqPTefLfuOcbM2ojXdl,Cor-Crane Secret,2O987wVV0ZkwNrpHWA1wWK,13,https://p.scdn.co/mp3-preview/4e487b3cfa29083b637b9a431e53fd363a6cc62b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Channel Changer,4jWAQWmsqlqnAjg5mB9Z9j,Polvo,0pbIqPTefLfuOcbM2ojXdl,Cor-Crane Secret,2O987wVV0ZkwNrpHWA1wWK,13,https://p.scdn.co/mp3-preview/2fd0c8b1e934091326c4d354e96747c96e8b89b8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Mower,30SkYNIfAwbynGp7fZdeiH,Superchunk,7lmde7T1WJPFwv1eR6melP,Mower,2knyCd6jQoAwURaiiCOSvN,3,https://p.scdn.co/mp3-preview/bb3b835a5474099fb44910a4dfda45678bca868d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,Girl With the Carrot Skin,1zDNB2m9STeFnVzjZZ44Hn,Bricks,3hALQI03Ul63hBropSFt47,A Microphone and a Box of Dirt,1vYepGbMyqUfSoc69YYZfd,0,https://p.scdn.co/mp3-preview/42c764126d9797a9cb07489d9015c2865eb572a6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,History of Lies,2VplWA4IjdprPadLSIfBSk,Bricks,3hALQI03Ul63hBropSFt47,A Microphone and a Box of Dirt,1vYepGbMyqUfSoc69YYZfd,0,https://p.scdn.co/mp3-preview/d22b3757fbcce69e3b5a89b031e2b65d21d32205?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,Mud,4SynVgQqr0c9ZMGdCZDalm,The Angels of Epistemology,7KRfk6Dj2sEzmEN9t7YiIb,Fruit,1yKioeXu7TlNSjhXvT2AiW,0,https://p.scdn.co/mp3-preview/299590756735d7b9f43d3325eeb87c4a1655859f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,An Angel Has No Memory,3agYB3KSaMngXNVm9gRILW,The Angels of Epistemology,7KRfk6Dj2sEzmEN9t7YiIb,Fruit,1yKioeXu7TlNSjhXvT2AiW,0,https://p.scdn.co/mp3-preview/c2b3648e6d4ba3a28a67573a84d6211500e07490?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,The Question Is How Fast,7880j80DG6WeUSWCyX779k,Superchunk,7lmde7T1WJPFwv1eR6melP,The Question Is How Fast,4SrdHSSOE0IcRYNBCKTsAB,5,https://p.scdn.co/mp3-preview/0b6b63b7701d08906347e4d1cea22547063720ab?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,Thermal Treasure,0TWrXhKqUgQnrTdOaY9vQU,Polvo,0pbIqPTefLfuOcbM2ojXdl,Today's Active Lifestyles,4aOKzYTg9NibQFDnAYo1j0,31,https://p.scdn.co/mp3-preview/b73c0cec70611a1d891b915b1c01e71d22a0d1d2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,My Kimono,31b1SElXPV9zRvDHktNtuP,Polvo,0pbIqPTefLfuOcbM2ojXdl,Today's Active Lifestyles,4aOKzYTg9NibQFDnAYo1j0,30,https://p.scdn.co/mp3-preview/1ac28e0af2b1c1b66836a3e0d5514f3402987df4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,Sure Shot,64Hsv3NfF8rKuysu8uMZLt,Polvo,0pbIqPTefLfuOcbM2ojXdl,Today's Active Lifestyles,4aOKzYTg9NibQFDnAYo1j0,24,https://p.scdn.co/mp3-preview/a0c2a6779242e8af209a280c7b54608bce97bbab?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,Tilebreaker,5Fj33P5LI3Bz6ZYRfnNfMC,Polvo,0pbIqPTefLfuOcbM2ojXdl,Today's Active Lifestyles,4aOKzYTg9NibQFDnAYo1j0,22,https://p.scdn.co/mp3-preview/36a36e7fd1c7d4874665bf761aa98aadbde1be88?cid=fa83a2fec7c440b7a2795d600d6b2c7e
