Merge Staff Picks,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
44,You're a Wolf,4cFMT3DwTYChrjBT71hqGy,Sea Wolf,3ZllGjNdP5pS8UFnT5Jj2x,Leaves in the River,6WC3AqZcdJkfRxYRo2iXSL,50,https://p.scdn.co/mp3-preview/04c7f5e5dcf74c0453a951e224d6312709005768?cid=fa83a2fec7c440b7a2795d600d6b2c7e
45,Fright Night (Nevermore),54HOUwXtcGWiEHe2Drr2CG,Ariel Pink,5H0YoDsPDi9fObFmJtTjfN,Fright Night,6fV2DrKCJpKoWzw56cJ20S,13,https://p.scdn.co/mp3-preview/2ce3a5ec9baa18738143bbeaaee6abbd3211c304?cid=fa83a2fec7c440b7a2795d600d6b2c7e
46,Black Sail,5CVIx9NyLR9pohhIWn5n03,Chastity Belt,1tho5dJnzdYD57EQkM3SmK,No Regerts,5psuEv9OT8vMrW9TOiCGVS,48,https://p.scdn.co/mp3-preview/d734f6aeb608701dcc96c3d49270a47bd1582b87?cid=fa83a2fec7c440b7a2795d600d6b2c7e
47,See No Evil,2OaXmeYBJ0hcTmS3kxjJOx,Television,0S7Zur2g8YhqlzqtlYStli,Marquee Moon,630o1rKTDsLeIPreOY1jqP,54,https://p.scdn.co/mp3-preview/7fde15da8420b54a5ab60fc02bad652670b2cdc1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
48,On Graveyard Hill,5yq4jlnSY5b04PmfRPSTdQ,Pixies,6zvul52xwTWzilBZl6BUbT,On Graveyard Hill,2lfB1Qx3v3IR2znbRWDfGQ,50,https://p.scdn.co/mp3-preview/224bca89d844381c92dc1f9a4c218de9fdd702c8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
49,Pop Crimes,0nkjjNxBvDN4k9cnCIamLO,Rowland S. Howard,1ScuQ8TIlsmpeThaI18gYC,Pop Crimes,1gB7a0JEksgtn0TTX89kMD,22,https://p.scdn.co/mp3-preview/ad84512919d750f6981a95eab30065ff0eca63c2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
50,Shelter,7ezeEj1L8oHT5siGAuix7c,Mikal Cronin,6QobJ3vnalBTlsdOrvQTIt,Shelter,2HCC3bdm5N9D5SowpkuphJ,40,https://p.scdn.co/mp3-preview/cb31d5c8d9e160d7d6dfb546b973e3620395e0a3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
51,Bluebird,6M3BioqekwOI5erB7vOicl,Miranda Lambert,66lH4jAE7pqPlOlzUKbwA0,Bluebird,40T26sCbX4tAVQjhniDfKK,70,https://p.scdn.co/mp3-preview/1a1a1bb3cdfeeef4adb5c3922ef2b4740b0a33f9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
52,Get High and Listen to The Cure,4wLaDplNYbmniMcyGJSxTP,The Mountain Goats,3hyGGjxu73JuzBa757H6R5,Welcome to Passaic,4lO3GCyRCZnFXghkz22EY6,44,https://p.scdn.co/mp3-preview/9a06a2347ec997f866609c9a69018e42b12207e6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
53,I'm It,4xXNxK2gHI2SWHzBeL2mDd,Frankie Cosmos,0x4xCoWaOFd3WsKarzaxnW,Close It Quietly,1ktNpFgxer2jAIGyiTpmvJ,42,https://p.scdn.co/mp3-preview/8613ff70b0ff1c7793de8446aeb1cf20fe5f2217?cid=fa83a2fec7c440b7a2795d600d6b2c7e
54,Always On,7bTQsRID2OOBG7mBNozDzE,Squarehead,0gEChF02Jd8VHlgGXAy9bt,Always On,2Vc859AOSVOQlkpjL0GxdY,8,https://p.scdn.co/mp3-preview/66460c647981c6cd11f9eaa743bab8f08f0c1a66?cid=fa83a2fec7c440b7a2795d600d6b2c7e
55,Impeach the President,2KKyVgKvMf0oZPP4pQTETi,The Honey Drippers,7zuZaI5MMCKCiDMmtkp0kp,Impeach the President,4AVWyTdmhaMVdTl3WpahHN,44,https://p.scdn.co/mp3-preview/339e5366db9b7d731363280243404a586127239f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
56,Rex,32URxyJkdO5mhGQGrcaGBJ,Operator Music Band,1RPW4MVBs8ssPSeiaM01YH,Rex,4IXOiMgcXEVAHjhgM2IFMb,12,https://p.scdn.co/mp3-preview/9db4607e1ee2917db0e1dd238201c9988ba5e1ba?cid=fa83a2fec7c440b7a2795d600d6b2c7e
57,Dance in the Sunshine,5qNAe1Afn0ulTpYDVnv08D,Hollie Cook,1fwuUuFbqXJx3B17PUhFCE,Dance in the Sunshine / Dub in the Sunshine,7pRhbj49a2g6fTs1HezvJg,37,https://p.scdn.co/mp3-preview/6272cd1d3cb634749aeef1c9d9093dab6ff7344c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
58,Killer Klowns,1dUPABHPVfHnvdLnKwYbgz,The Dickies,3xWO6nOrnGGL9hfB2vWxLI,Killer Klowns From Outer Space,1cyPAPkGyoGk523ANha5XA,41,https://p.scdn.co/mp3-preview/c740aacd5365e81fe5b5d069228854180f49f57b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
59,The End of the Game,4zB544yCIaSw3cuHltMCRJ,Weezer,3jOstUTkEu2JkjvRdBA5Gu,The End of the Game,2oIIKGUt4telkfiygjJ4il,68,https://p.scdn.co/mp3-preview/92c0fc163f37f1081f9c9d0ae4fa5da5a2e0809b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
60,Android Ashley,0IbObX9OrWtIHrYcWn9ce6,Write Out Loud,4KZbrviP4Grq59MqQ36PvO,Write out Loud,2tceEt6DS7GGC3vlC6S8IL,23,https://p.scdn.co/mp3-preview/13bd55ad3ca76b4178702bd793b999e44119cc72?cid=fa83a2fec7c440b7a2795d600d6b2c7e
61,Pas De Deux,1iIWEIXzaEmvj01drmh0fM,Michael Abels,7lDkWxhwIuRAIzmHf85yKx,Us (Original Motion Picture Soundtrack),6SE0OIDlE90d80JOK0z9Ti,44,https://p.scdn.co/mp3-preview/400edffe13cc522316dcc999a7512f4b1c218081?cid=fa83a2fec7c440b7a2795d600d6b2c7e
62,Ghostbusters,70JkeqMs3JF0dSAEmBvGEN,Run–D.M.C.,3CQIn7N5CuRDP8wEI7FiDA,Ghostbusters II,7hb7PW4pEcddvEPyU8WORa,29,not available
63,L'alba dei morti viventi - Alternate Take,0bH69z1pGnJs0R154Nm45Q,Goblin,7H92g6n1BvyzvQwaERZKZl,Zombi (Gold Tracks) (Colonna sonora originale del film),0blJS6gmMZz3ermr0mtMly,9,https://p.scdn.co/mp3-preview/18567090469f29cf8042087efaf081d896226bef?cid=fa83a2fec7c440b7a2795d600d6b2c7e
64,"Alone, Together (Forever)",0OFOxBR7deu6L2qVwjraJb,Claire George,0Ib3jGvmjr2riNxNkfA1DP,"Alone, Together",18eXhkK4VDVn2MvjI1xhtz,15,https://p.scdn.co/mp3-preview/49197de9e4a9ce48389a406bb5a566c0317e629b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
65,A Word of Wisdom,7rP2vMICDWDPFrSHbtC32U,M83,63MQldklfxkjYDoUE4Tppz,DSVII,1euK7GgNJmBprlctpGtDC5,43,https://p.scdn.co/mp3-preview/e4bf1ddc522d0514a09bf32cca1033ca58dc73d5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
66,True Love Runs Away - Outtake,4TdRb7Kf4Ro8HqsPou51l9,Apex Manor,6L4oVbtzJenj0JyZiUEjz6,Blueprints,1sRwHvA5mowW9NSFQTBA2P,8,https://p.scdn.co/mp3-preview/b41da678e81da21d5a8444a1f546f3de67a6bf78?cid=fa83a2fec7c440b7a2795d600d6b2c7e
67,Taking,0tiNeYDy3Snmqd3LGaHOIM,(Sandy) Alex G,6lcwlkAjBPSKnFBZjjZFJs,House of Sugar,2kCDZ3gCr5hXFgbFsPMcxP,54,https://p.scdn.co/mp3-preview/3b0472b01326baecf6be67c8f2ae279026b91847?cid=fa83a2fec7c440b7a2795d600d6b2c7e
68,He's Back (The Man Behind The Mask),3FNOGabABzedvOb3B24M64,Alice Cooper,3EhbVgyfGd7HkpsagwL9GS,Constrictor,3F3JU1MJDN9PgHFwbCvFvV,42,not available
69,The Gonk (Seeing & Doing),2LrsUPtQPXMNgZGfiOY9Pg,Herbert Chappell,6rTzTwjNwRfA93AS1XiSPx,Top Dog (A Retrospective Of Classic TV & Radio Themes 1960-1982),5qpnB2mPokprrX6a39HNjr,21,https://p.scdn.co/mp3-preview/c2618e56fe7c30cf4298ff5289b6b3855db99157?cid=fa83a2fec7c440b7a2795d600d6b2c7e
