Merge Staff Picks,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,386,mergerecordsofficial
1,Pet Cemetery,6pmoQSAU9y2EIz6ee2hBwc,Tierra Whack,4lPl9gqgox3JDiaJ1yklKh,Whack World,3ogNAkUhvQy0cFOfLoR6Y8,52,not available
2,Pet Sematary,2PN0JeaGtkHrlcmwZFWzBM,Ramones,1co4F2pPNH8JjTutZkmgSm,Brain Drain,5UpjwoQrnySbzFDUbtS74d,53,https://p.scdn.co/mp3-preview/515236d6966c1132717fb84af65c9e00c6495432?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Cemetry Gates - 2011 Remaster,03yOjwHoOPDlTUg0NRxN6t,The Smiths,3yY2gUcIsjMr8hjo51PoJ8,The Queen Is Dead,5Y0p2XCgRRIjna91aQE8q7,53,https://p.scdn.co/mp3-preview/1e247188c3ec5ca5225c13f8274bec678c8d6eba?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Grave Architecture,71m8TLglSP4Naj0CVPd9pc,Pavement,3inCNiUr4R6XQ3W43s9Aqi,Wowee Zowee,5C1ePFbSzOGHdypuNBIDZh,47,https://p.scdn.co/mp3-preview/9d8094a8dd7643c96491acc0d85e0412b736e0a1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Let's Go Die,6lyaSFZ6pcWfZLQRZ1T9CJ,Hüsker Dü,16bN8mhtDFdegWbg0z3s10,Statues / Amusement,4DfWYNqacKAMMQIAWMhiAj,7,https://p.scdn.co/mp3-preview/2543c042389bbb410e9f2dd02a6d2dafbd5d29f0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Ashtray Monument,1IZyyvRFbV611RtoV5iVsh,Jawbreaker,4bcaz6nXnH8LTRiXALe8XV,24 Hour Revenge Therapy (Remastered),3n1jTsW0E5gEsiftAFx3N6,30,https://p.scdn.co/mp3-preview/e9dc01315e9247e81984e7ceee3422b53bd61b55?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,This Corrosion,2D35UNG23mlFcGtEZQrJ3r,Sisters of Mercy,4HxBVyHaUa60eCSsJWxwWR,Floodland (Remastered & Expanded; Deluxe Version),7eLzF93T0FDx4hkuQ4juEj,36,https://p.scdn.co/mp3-preview/6f911d2f94c95295aa48eee7e9fcf757681a110f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,I Don't Mind,7EvVuEoCFDMIEPl2GNnEeb,Bob Mould,0fWvSXbvztkeHEnEuYvU2A,I Don't Mind,3pFSwaCRfc7mdyufFDbtJZ,37,https://p.scdn.co/mp3-preview/31b15a1e16ef5564967f4c0378b15dbbd631e39a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Starts,4zvRkRc7dLka99tq18onGn,Joyero,7kPZ9z8VeA3Xej4P9BtHdn,Release the Dogs,5FaTqTRaEVuqaFA1veUnyg,20,https://p.scdn.co/mp3-preview/d0793b9c5bf1d5cd52b10c0137487ffce67bc564?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,Noise,1nWhdD40KXZgvoh8KpnjSJ,Zsela,7IYuY1VszmoEUu4o3tNgC6,Noise,4kOLBB19jvRtoVfnMEN5Cg,48,https://p.scdn.co/mp3-preview/d906633e83feb14cc088a6e115b003969cb1b7e4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,Let Me Go,5fzUKYfATEqxDmRWfbikAm,SAULT,1uRxRKC7d9zwYGSRflTKDR,5,57EkTny9UjqpLhFzMO4Hdb,44,https://p.scdn.co/mp3-preview/1e954c6d58a5de1408f4b3491c338f73ed4255ea?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,Bright Direction (You’re a Dark Star Now),6TX6ERqjxAFMaRGMmbdhXs,Hiss Golden Messenger,37eqxl8DyLd5sQN54wYJbE,Terms of Surrender,23h1Qs3UhemYK1ekqgw1uk,46,https://p.scdn.co/mp3-preview/10c7f7042a711dd71dc1cd8dd7ded135446ccfb2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,Alexandra,0x2kQ8wUnx96vsW9xeG5hk,RVG,4a2c6VZMfp0CdNg1JgSPR9,Alexandra/Dying On The Vine,1Zo2gz2W6kwLAmSbzQIr3x,28,not available
14,Old Town,0BTaF7WdhyGDuYoQJtv6vb,Say Sue Me,4tvbo17gXpYgSr8sTlkaby,Where We Were Together,2uM37yCppwAzlYwvDgKZpO,44,https://p.scdn.co/mp3-preview/21ce536927330d42932c4113487a422e9ee21987?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,Sleepwalk Reverie,4zneztvQBSGPJaLOhZ6AQW,JindaLee,3w0mSbEenm5no9kuuDbCeq,Vela,64jym13Dn0csF8xEctrXQh,3,https://p.scdn.co/mp3-preview/b981c2d10c54cfdee27d74e877d3743543afc7ad?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,Dance,6uE4IomedrEcbFVXNNTYOQ,ESG,4EF5vIcCYKMM61oYOG2Tqa,Come Away With Esg,6dE2iUELxsrVckRQqm8l1k,51,https://p.scdn.co/mp3-preview/8538de2a4648b5e96e92a926b66e2bec66d824e3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,It's Real,0urBwO85UkPIyR6bIpwr6b,Ex Hex,2LdMozrLZExZ27oOAnUgkb,It's Real / What Kind of Monster Are You?,4bEWQOjJ4NgkKKWN2fNTUb,32,https://p.scdn.co/mp3-preview/2b2f791f44f2b021d8f0494a6dd8483442ed1387?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,Untitled,2IoEP9SKwBpm4DL89MKTDZ,Kate Bollinger,4eArh1v6UwBbKkjdgHCned,Untitled,0Ycva8sqd96rxJAQhYFqSt,52,https://p.scdn.co/mp3-preview/5e8a649744f7b2e6c2aec1b7fce7cfa5d5fcbeb3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
19,Anou Malane,6tx4QhVEpisR6svzUzetNw,Abdallah Oumbadougou,29uudPDBxe9VchRED2cfD6,Anou Malane,7IhHxTiSqgD7JcdMV8mINF,17,https://p.scdn.co/mp3-preview/b771117898272ffcbc7ab8b40f64ab80769f3d63?cid=fa83a2fec7c440b7a2795d600d6b2c7e
20,Hold On (I Was Wrong),1auvKWRBY4COOmtoIoMFf1,Video Age,4aTQ05Ddh21E2CJFSZy7ZW,Pop Therapy,57ZFBT6OuaSAwIohFLud1F,49,https://p.scdn.co/mp3-preview/33cd64b80d72c04e829e2fb60875b430a9fe9c29?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,Butterfly,28J14NNgIVghvCXyPMeqff,Grace Ives,4TZieE5978SbTInJswaay2,2nd,6MECuIrDtZP9R0bVekN6sQ,25,https://p.scdn.co/mp3-preview/a99723221055b58f8daf3e80b14cc991d816e2ae?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,Disco Ball,6KNVS6p3M5e8TxY3hj4cdc,Little Scream,2U7njwghtRR6ofLobG32Lk,Disco Ball,3yHWRP07U1Jpb5rMtv3wSy,27,https://p.scdn.co/mp3-preview/4be96cfbb9b26bc2da9fcaf1c3ca7798c321f607?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,A Pretty Red,4ysK2USCUyxbtxdu05l8Wq,La Neve,6oM56wpaItnHB11icBhnPY,A Pretty Red,6WaDeD0HmNbFlik4y0tM9q,22,https://p.scdn.co/mp3-preview/97a99eefd8000aa4e5158e0a490c23169f45721e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,High Alice,1rjcw1ZoJrsYwM2dsW6Oic,Jenny Hval,5eerVxtb9lY9p6D7m89Bs7,The Practice of Love,6Ia2sw3y79k40GHeNjCfLh,46,https://p.scdn.co/mp3-preview/d9a41290d418450597013201823e8a4e99b39d2b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,Every Living Thing,3K4LWqJAmDwfgEl5yaj0rk,Knife Wife,5f8gJQkybL5j4csrykoIWR,Family Party,3RuiC0XOdryh5EH1oP4GDN,14,https://p.scdn.co/mp3-preview/b72957e83b5609f95973afe5decfe3b52fa9abd3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,Horizon,15GCNjv3uiGFNFVwuNtKZQ,Trash Kit,0Dh9PyH7cmX294VQDuNtfo,Horizon,2Fkm5Qr2HJjscx4GTkTEHe,20,https://p.scdn.co/mp3-preview/3e71d82c56bc18fc2ca6e68bbb03ea1b730f7745?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,Real or Not,0P9Ym65hdZ6F7TKgWC81sV,French Vanilla,2KHY8H0FNemFh7qzOt7gpN,How Am I Not Myself?,2BDvgKV5VGKbJ9oy4Vstq3,31,https://p.scdn.co/mp3-preview/c04a5a5d81464c60cbf5fe1f8a69c1adcea8ac0b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
28,Memory Lane,1KhqNu8SRm3vUD74nSYT4K,Eddy Current Suppression Ring,6EBtwTGHBGlCKqIvjUwLkW,Primary Colours,43zv4ndvCiStc6H0I7hBhB,30,https://p.scdn.co/mp3-preview/6fdb29f811ece4fcbabb889ee3330b577f1b8a80?cid=fa83a2fec7c440b7a2795d600d6b2c7e
29,Entity,4Jp4XwMVzctdRqKpGXpvRA,Thigh Master,4aSiSLKxkpLaqTQXzbdm7c,Entity,4X6BW5z63DeMJ4INj6rRL1,15,https://p.scdn.co/mp3-preview/c07a9ec70cd6702a5d65bc610d69dc738341e38d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
30,El Triste,4ig3SdzkxcUK7VU4cuMGu0,José José,4mN0qcMxWX8oToqfDPM5yV,Mis Favoritas,5CfyHYtpAK1MWTuL4YTOwy,51,https://p.scdn.co/mp3-preview/1126b2aeb3043ae7f2bfdc58a01f747df3dabfc0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
31,La Nave del Olvido,3O2eY5MzSIireXBiGhZBtS,José José,4mN0qcMxWX8oToqfDPM5yV,Mis Favoritas,5CfyHYtpAK1MWTuL4YTOwy,42,https://p.scdn.co/mp3-preview/b805357fa7a14de5d77176fa35c6e31bdaf941b0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,Arrested,22vswElUXAxhULzuP3baII,Government Warning,5ymK7LQPkUq4EBgrefX1zH,Arrested,2D88ia46IkqCCxGVJ7DRrr,21,https://p.scdn.co/mp3-preview/6a9446d477616684abe8a1f26f98c8a4e0db83ca?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,Smashed Landscape,0zYszi02ENBCfgJDUCqZ5J,Mope Grooves,180kJdOQylLrSL0euYbqLF,Desire,7nHQA0y0rxuf4lpQQZxC2D,10,https://p.scdn.co/mp3-preview/d74dde5a4f422ac6d4b65ed8737bac98a70ed2e1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
34,Spotlight,2SpnNlof0jpgpN02sUWswZ,David Kilgour,5S76x1RQk1FgHwX3y4giOO,Bobbie's a girl,4TTDkeqHuAcVIahy6R7uuY,23,https://p.scdn.co/mp3-preview/1fb52b3a1cb48b52f1618753b2ecbfce252d38a8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,Emma's House,7IeinCxS7XtnmYKE1FBkRe,The Field Mice,3KH6DLHeoFZgVbtKiLXb6L,Where'd You Learn To Kiss That Way?,1Lr3IdIToxtcNiCLcf04MB,34,https://p.scdn.co/mp3-preview/078e1baf8562b028c6577744d36241677251d8b0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
36,Sisters Are Forever,5DLME8cbJAbJTE8Sb5w6eR,Sexy Kids,0NUfngfqXycaIpypTcxKsv,Sisters Are Forever,0gt4yPyjGPe2X3CT1CPKBt,5,https://p.scdn.co/mp3-preview/ad256995dfa773148d721ed409f488bb09fa4f66?cid=fa83a2fec7c440b7a2795d600d6b2c7e
37,Wicked Game,2sFRWuunTZ97twMxeKCC4f,The Royal We,1haCmBu3ChhMTc3dv110yP,The Royal We,5ruvxLYBVLjNRz8gMBA7m6,0,https://p.scdn.co/mp3-preview/a4306c8b1337a8190ee9d810d6b27d493b4f0c90?cid=fa83a2fec7c440b7a2795d600d6b2c7e
38,Emma Blowgun's Last Stand,34IhFakqoA6aKnCkv97buS,Beulah,0O5sXbPJPWbHKnbLfdLARS,When Your Heartstrings Break,37dIVYCHwAADLEZuInZ4rU,37,https://p.scdn.co/mp3-preview/0b0e1e5b45decfb6a1e9921c4f9c7bcb82340e40?cid=fa83a2fec7c440b7a2795d600d6b2c7e
39,The Well and the Lighthouse,1ofYvBND1NFuflftoritsj,A Giant Dog,0PL9vFj7i7uKg74WpLohnG,Neon Bible,4di9lQb4W5UUOmMpRHIC5c,27,https://p.scdn.co/mp3-preview/5e39f8b03d4e67a0b55944e880d3d8cad680fa9f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
40,Run From Me,0AwLsPPWgYkib7HCrayqwy,Timber Timbre,7HeVXdOdMhLslVputGTZFQ,Hot Dreams,2U1BUKvsYIkUik7xEhAP0C,41,not available
41,Lost Boys,6Ck7eSqoon2ZHIQZuYAlLf,The Courtneys,14jWPTviD30k11Jccwmq8E,The Courtneys II,6wa0FHraq8X7wslGhf3Ki4,28,https://p.scdn.co/mp3-preview/335e3eb16eab57ea43642ed97e43dda1b4a126a3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
42,Like a Child Hiding Behind Your Tombstone,5zQWSrUoEc0spBgPsX0OVo,Slothrust,6Nwhmo3adbTqPMCsgBgkf4,Like a Child Hiding Behind Your Tombstone - Single,7oQjRAl7ot1y99S4M8FJAn,16,https://p.scdn.co/mp3-preview/407b7258f34eeac405284725ae09e9f601bc7bdf?cid=fa83a2fec7c440b7a2795d600d6b2c7e
43,Season of the Witch,2GaQr1kOxgrzcfHWuDLIqu,Luna,2AACqFGo8offvHCKGvrWxq,Lunafied,1r5Y5fQ6X7qgnYYcRfG4Of,33,https://p.scdn.co/mp3-preview/6edd88df8b527f32ac41b7edbf30c884b9b0d6eb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
