Our Cookout,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
20,Love Vigilantes - 2015 Remaster,1gsQmDnyXfq6jPIXYCPKHB,New Order,0yNLKJebCb8Aueb54LYya3,Low-life,6ls958BLJbeFT3OqAYTvQB,53,https://p.scdn.co/mp3-preview/d7ffcc2ce068c84276eac733cee69fc977ba8ae4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,Who Loves The Sun - 2015 Remastered,1HFoO5EdFw6emUIf8GofxH,The Velvet Underground,1nJvji2KIlWSseXRSlNYsC,Loaded (Remastered),4RMGrhJRnGiNqmKqhqpLlX,43,https://p.scdn.co/mp3-preview/2978e39eebcc0ccfaacbfb56c6ea874d1b55ad9a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,54-46 Was My Number,1q8gelFgFYUwoWpQV7WNCe,Toots & The Maytals,6ZFv3wQwwWPiVDWhv0mjQK,In The Dark,6FuHnw9KkeYH6TSJaNOlto,62,not available
23,Enjoy Yourself,7BgOdtjbfgvip4BJRn9NmI,Sahara All Stars Band Jos.,11E58RQVNMMzzBWpi8J2rW,Enjoy Yourself,7gypen6SPcpqjxwc7CAoJA,32,https://p.scdn.co/mp3-preview/0efa449a72150d2bfd39d531b7d12313706357f8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,Rome Wasn’t Burnt in a Day,58n7nxOiAAa2MiLI7nn8fz,Escape-ism,48TRPVbEYuT05V1bvAR5pq,Introduction to Escape-ism,3slgUQBFJPPsMr4nvzB2C4,12,https://p.scdn.co/mp3-preview/9a746cad3094459d1468b75a52440665930b68a5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,Box Batteries,1V6hOQyeBZHTzgnwN7fb9b,Mac McCaughan,3pLUCmcxLXGeLoYI5rw3O4,Non-Believers,4RPRmfSobFWkd1eFEbMKwy,5,https://p.scdn.co/mp3-preview/e0a2775ab869d5976f09c8a2c9ea69dc0c34ebd0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,"100,000 Fireflies",6aC6rWvfCaYPwIaWtxgWvj,The Magnetic Fields,6RWjTQqILL7a1tQ0VapyLK,The Wayward Bus / Distant Plastic Trees (Remastered),0XiXDZgyxn5Hp7yy5kYfV4,32,https://p.scdn.co/mp3-preview/d65177d8a6c011fbd78bc310db2ed228d6c26d1a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,Girl From Conejo Valley,4x7Jaaep1CvR6sTX4lQZ07,M. Ward,6nXSnNEdLuKTzAQozRtqiI,More Rain,1GBV6c27Ru1Y6Lw2xfPyMA,26,https://p.scdn.co/mp3-preview/52a749ae61635a12c317ec3810d9a692e16d8aae?cid=fa83a2fec7c440b7a2795d600d6b2c7e
28,U.S. Blues - 2013 Remaster,2NiR9VOfASwOhgTnWs2cLx,Grateful Dead,4TMHGUX5WI7OOm53PqSDAT,From the Mars Hotel,68jAZmtRB51enSAufOJBtJ,44,https://p.scdn.co/mp3-preview/f21db633c550b6077eee51c0d8acfebbe88e9415?cid=fa83a2fec7c440b7a2795d600d6b2c7e
29,Tell Her I’m Just Dancing,0qK1aB9cMc2wznC4ZReOie,Hiss Golden Messenger,37eqxl8DyLd5sQN54wYJbE,Heart Like a Levee (Deluxe Version),1GedbzrnJWEdLnySwqEAzr,19,https://p.scdn.co/mp3-preview/4edf7451ff1c710260155f2d4a792ddfa1439d2b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
30,Mercy,32Wqig5TwLDMhpJEuGVqNs,Eric Bachmann,27CXUHv5mekE9LNdC1KEqb,Eric Bachmann,6WKrYrckgyk7AaRfQJc1kj,15,https://p.scdn.co/mp3-preview/a49e0ba1992425992b0c043c76eee7fd18bf045a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
31,Digging for Something,4m80bNaJqbJ0VOqpBHD45P,Superchunk,7lmde7T1WJPFwv1eR6melP,Majesty Shredding,072VzgOsZLEFnbUKh1XhD1,24,https://p.scdn.co/mp3-preview/0be99b35f12760ddb19e004b75cf53d8edfcb419?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,Silver White Light - 2004 Remaster,5My6B3Uclj00BiDKhaBzb6,Terry Reid,12fRdeKejG8BBzybGf0ygk,Superlungs,2UnSm85CpraLdhYDxZwXoN,9,https://p.scdn.co/mp3-preview/38b15179a1531fc6dba7ff9dcdc0ef927b8eaaac?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,Radio On,7kagaGhVboZxZuZJHktnKr,Ex Hex,2LdMozrLZExZ27oOAnUgkb,Rips,6AiSmBuuVUi2xCIVJsXcQb,22,https://p.scdn.co/mp3-preview/7973bafc87ebd9ab3442f616fcdeb124cad40351?cid=fa83a2fec7c440b7a2795d600d6b2c7e
34,Bite My Tongue,4aEtjYqdqtQHuyQro3oFiN,King Khan and the Shrines,36cEnU1vYfohStmnt8y3T2,Idle No More,4SfVfRpcELawFvZAkcvMk7,25,https://p.scdn.co/mp3-preview/90054882ca2a256970fd4d6920431f5e91aba461?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,Don't Worry About the Government,7pAAeToDaCaFROvuu8pZ92,Talking Heads,2x9SpqnPi8rlE9pjHBwmSC,Talking Heads 77,0r7o2FeARRr23EZ0TJ0a8S,32,https://p.scdn.co/mp3-preview/9fe73cbbc8d5dce3e9d4d50d16f82d3dfc1a85ff?cid=fa83a2fec7c440b7a2795d600d6b2c7e
36,Generals And Majors - 2001 Remaster,3jJm28Q9MEhnRbxk2LdfkK,XTC,2qT62DYO8Ajb276vUJmvhz,Black Sea,6sLuXZdrb1cmsAnfrmgbrU,49,not available
37,Hot as Day,4JZ2KuOSczuOFHfI1LxuXG,Wye Oak,5SjNVG3L9mgWQPsfp1sFDB,Civilian,2IWn2PFFPhYexWP8fBDNp9,24,https://p.scdn.co/mp3-preview/02d459619f1eeaaec4693fa4d70c703e82d469c6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
38,Wah-Wah,5LeB999d5zGavmLn8zxExw,George Harrison,7FIoB5PHdrMZVC3q2HE5MS,All Things Must Pass (Remastered),4I4xtHaIFOzhZfp1NIHkY6,54,not available
39,Your Fucking Sunny Day,45f242YknRcELrP6WTWFbJ,Lambchop,2Lhs0asnFQiLuntn3s8p78,Thriller,2FlnViodgTKJmSMg0DHMGG,13,https://p.scdn.co/mp3-preview/82b610b6670beee62d821e954085d8a607818e91?cid=fa83a2fec7c440b7a2795d600d6b2c7e
40,Mean Mr Mustard - Remastered 2009,4JOyMhad5dD81uGYLGgKrS,The Beatles,3WrFJ7ztbogyGnTHbHJFl2,Abbey Road (Remastered),0ETFjACtuP2ADo6LFhL6HN,59,not available
41,Can I Kick It?,3Ti0GdlrotgwsAVBBugv0I,A Tribe Called Quest,09hVIj6vWgoCDtT03h8ZCa,People's Instinctive Travels and the Paths of Rhythm (25th Anniversary Edition),3kV0i1qqudjf0PGawJ4jck,71,https://p.scdn.co/mp3-preview/c6469c3260465dd11d9efe5c2d35c3aca3bcc2b2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
42,Peacockin' Party,0sShrbGs5nONtbMO2iSxJc,Benji Hughes,1w4UUVXVsk63VT2vTwx1e1,Songs in the Key of Animals,3w841jP37vE3JTb8eM7g0n,14,https://p.scdn.co/mp3-preview/59daccad7dddf893e4513df0dc290bdd55cfe3cd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
43,A Forest,26B7BuHmQdbRW3gbgwUWYh,Ibibio Sound Machine,4J6CnIqPEtWYn3la2YYj2c,Eyio,6J4CN6C8EdgjVseik7jK3w,11,https://p.scdn.co/mp3-preview/604ab526f1d2eaddb87c1e4129ce09d8f542e940?cid=fa83a2fec7c440b7a2795d600d6b2c7e
44,Tropical Hot Dog,7ouxNvIjP3xb0Z911OLHPC,Captain Beefheart & His Magic Band,2k8kY9zHUWxuTtwV4UutHw,Shiny Beast [Bat Chain Puller],23TBUWCNF9rwYfMIuycyqD,32,https://p.scdn.co/mp3-preview/b9a48751b710ba8b15c15e9301d61f8a522d88cd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
45,Ain't No Half-Steppin',1BcsNp3Q48teZ9gAeCaLWV,Big Daddy Kane,6futYSDVulYR2PktBjTB5W,Ain't No Half-Steppin',25VaqNOXtA8pSbynsgfRfc,22,https://p.scdn.co/mp3-preview/9e0241178a2a399180f7440cdaa614ad68a1b2a4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
46,2006,2Nspo5cBnOgqxRSevJhUdG,Tracyanne & Danny,628INEcGRqxpbs1Jt38R1q,Tracyanne & Danny,3Ur1MVwecrIBaHDWFpO9UT,18,https://p.scdn.co/mp3-preview/6482bcbbf7062e3b44fa8cf41dce19bac47a688e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
47,Domino (Time Will Tell),5kCTvhZE9f8KjgAk2zjsRU,Hiss Golden Messenger,37eqxl8DyLd5sQN54wYJbE,Hallelujah Anyhow,0UnyFPAZ67GwQztV0DPyfj,40,https://p.scdn.co/mp3-preview/fa67295a6f3b1c339f019c7386d5c838f79cae57?cid=fa83a2fec7c440b7a2795d600d6b2c7e
48,Jesus Was a Cross Maker,0YA6BYi1Fwv58UfX3M1z7f,Judee Sill,2IkwqvwEnXFlZEq6eFP1wL,Judee Sill,2zaIMRTlztlfkxLoo5nPtf,38,https://p.scdn.co/mp3-preview/e0e14aee018ea42c715e6e078fbb721f06f64507?cid=fa83a2fec7c440b7a2795d600d6b2c7e
49,The National Anthem,01UstUPbzPgq2MNp6h0tVo,Radiohead,4Z8W4fKeB5YxbusRsdQVPb,Kid A,19RUXBFyM4PpmrLRdtqWbp,58,https://p.scdn.co/mp3-preview/cd41692c6b12e1a882188b60ef02422cb76ac2f7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
