Merge 1999,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
33,1000 Pounds,1isMrjb8dFfxpYBrhbRpoL,Superchunk,7lmde7T1WJPFwv1eR6melP,Come Pick Me Up (Remastered),1x9eTHa16MLR3c1TmZ2SRA,19,https://p.scdn.co/mp3-preview/ae52943e5f06f2b43c74c90044d6cfc639e0db39?cid=fa83a2fec7c440b7a2795d600d6b2c7e
34,Low Branches,08tihvRaEpR2KBSR2XBEWt,Superchunk,7lmde7T1WJPFwv1eR6melP,Come Pick Me Up (Remastered),1x9eTHa16MLR3c1TmZ2SRA,11,https://p.scdn.co/mp3-preview/a63687e852cebd8bdca0dcb56fd8a8eace1f1805?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,Pink Clouds,636kU4Yp7PdBpoS8oweIcx,Superchunk,7lmde7T1WJPFwv1eR6melP,Come Pick Me Up (Remastered),1x9eTHa16MLR3c1TmZ2SRA,15,https://p.scdn.co/mp3-preview/eb028e3d5faaa95727f4372eef01e634bad33ba4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
36,Cast Iron,5xJSjbNblcjmPjrB2QAVBP,Superchunk,7lmde7T1WJPFwv1eR6melP,No Pocky for Kitty (Remastered),1oZ6b7QL4kzT59wtXyzMxI,19,https://p.scdn.co/mp3-preview/8d22463b001a376c727302fc0405011b4a021e73?cid=fa83a2fec7c440b7a2795d600d6b2c7e
37,Skip Steps 1 & 3,6TDbbPvn7v5oYymCpsrGSX,Superchunk,7lmde7T1WJPFwv1eR6melP,No Pocky for Kitty (Remastered),1oZ6b7QL4kzT59wtXyzMxI,22,https://p.scdn.co/mp3-preview/ab535f0fe2d2fa76b7098df62b9b83127ac20518?cid=fa83a2fec7c440b7a2795d600d6b2c7e
38,Throwing Things,4JkoALsyHaCmrYXQ49prEI,Superchunk,7lmde7T1WJPFwv1eR6melP,No Pocky for Kitty (Remastered),1oZ6b7QL4kzT59wtXyzMxI,21,https://p.scdn.co/mp3-preview/31f052384d5d3b5add63c97e807af8484c0a9a15?cid=fa83a2fec7c440b7a2795d600d6b2c7e
39,Precision Auto,78V4r6d4p6GApUxN0F3Evm,Superchunk,7lmde7T1WJPFwv1eR6melP,On the Mouth (Remastered),5U7NJ17ZBdnngQypjHIbuW,26,https://p.scdn.co/mp3-preview/f43cf9ee01e8d442594f4d5c77e3c1fcdccfab7a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
40,I Guess I Remembered It Wrong,5aSAGi90VGGCnT9jkhJTuP,Superchunk,7lmde7T1WJPFwv1eR6melP,On the Mouth (Remastered),5U7NJ17ZBdnngQypjHIbuW,12,https://p.scdn.co/mp3-preview/4e4be82b7b64b794f4cac80a532d11bfecd71e58?cid=fa83a2fec7c440b7a2795d600d6b2c7e
41,Mower,7FZvJeYHJ3fUfwAukG3NFj,Superchunk,7lmde7T1WJPFwv1eR6melP,On the Mouth (Remastered),5U7NJ17ZBdnngQypjHIbuW,14,https://p.scdn.co/mp3-preview/eec1aae4c0bca1f972461cd4b541b3d52f159e1b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
42,"Shiny, Shiny Pimpmobile",2g5VT6UJR8oo5Qolz8C69a,East River Pipe,0oXeIbxeFdqMtDYxcwwUTN,The Gasoline Age (Deluxe Reissue),4Us1sQ4MSCorVKNYnZE54Q,2,https://p.scdn.co/mp3-preview/233f4f69ab581b154a89d3dd706e60d8df05e345?cid=fa83a2fec7c440b7a2795d600d6b2c7e
