The Sound of Reigning Sound - Selected by Dan Auerbach,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,195,mergerecordsofficial
1,I'm So Thankful,5Xy3sFoF3QKe4rGeZVPPDc,Reigning Sound,1YRBRIN8d5Xa6vU1OKUc4t,"Break Up, Break Down",0GEX71Q8lm00UPzVmqOUao,17,https://p.scdn.co/mp3-preview/0910d4bff2a3df84b38e3fbddbd9fa98bf34f07e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Reptile Style,0DbrPSr8CMOcQzqPiZtyM1,Reigning Sound,1YRBRIN8d5Xa6vU1OKUc4t,Time Bomb High School,71BCZDhiPjYKwAPxpS2zKP,20,https://p.scdn.co/mp3-preview/2069acb5809578dac04f7d2e1ff718e80099dffa?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Watching My Baby,50nOUZyuMGHKUs1Mt3FNJw,Reigning Sound,1YRBRIN8d5Xa6vU1OKUc4t,Abdication… For Your Love,5k3VQ6sLO9dmxKTdI3R8eG,16,https://p.scdn.co/mp3-preview/6b3675d6bc9f239c84fef4fa623b0e92c2229aa5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Dressy,4DrIr1Y1Rl4nG0ecEqRUgO,Reigning Sound,1YRBRIN8d5Xa6vU1OKUc4t,Time Bomb High School,71BCZDhiPjYKwAPxpS2zKP,10,https://p.scdn.co/mp3-preview/d1bd1e2a40784610635d9762ef1c8ea979b71eec?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Time Bomb High School,1kyAeNuuw5BVgoDUPfAPcN,Reigning Sound,1YRBRIN8d5Xa6vU1OKUc4t,Time Bomb High School,71BCZDhiPjYKwAPxpS2zKP,19,https://p.scdn.co/mp3-preview/7bf1820db877701cd6f29b11e5c25020fd282e05?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,We Repel Each Other,3aNGqHy9TwLk7m6IQRQn64,Reigning Sound,1YRBRIN8d5Xa6vU1OKUc4t,Too Much Guitar,3Xr6MzsxnprKi9t4LDOXkM,15,https://p.scdn.co/mp3-preview/147704486902ea9813fb2af8ea63a4384ccb5a66?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Stormy Weather,6Lz4guYlgxqdoEqi454JP6,Reigning Sound,1YRBRIN8d5Xa6vU1OKUc4t,Time Bomb High School,71BCZDhiPjYKwAPxpS2zKP,37,https://p.scdn.co/mp3-preview/06e3f1c285636395b774f49bfd3cf06e25085ffd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Take a Ride,6brz3PNHPtDJ8l6tlZBy4z,Reigning Sound,1YRBRIN8d5Xa6vU1OKUc4t,"Break Up, Break Down",0GEX71Q8lm00UPzVmqOUao,9,https://p.scdn.co/mp3-preview/71508ea7ab2202c799ff105cad39e86e70f35f8f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,She's Bored with You,7Ga9I3gxopR3j1kwNHNZ2i,Reigning Sound,1YRBRIN8d5Xa6vU1OKUc4t,Time Bomb High School,71BCZDhiPjYKwAPxpS2zKP,15,https://p.scdn.co/mp3-preview/ee64e9a3fa23d4d42bd3ba64886600fb030a00cd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
