Merge 2017,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
60,My Noise,5q9ZDeNVagnsmyWgNE09C3,Superchunk,7lmde7T1WJPFwv1eR6melP,Superchunk (Remastered),25uhI3lNjC1LUeRAI0PKpi,1,https://p.scdn.co/mp3-preview/8ce49fba191dcca22f6de4e3b49d090decb645eb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
61,Slack Motherfucker,7H6ezMfMoXv44Y2HOHHWfw,Superchunk,7lmde7T1WJPFwv1eR6melP,Superchunk (Remastered),25uhI3lNjC1LUeRAI0PKpi,2,https://p.scdn.co/mp3-preview/90e3811d6480c65b46b90af3e600ca8a81153fc3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
62,Night Terror,62pnN91o488Sk1jfX5WP9y,A Giant Dog,0PL9vFj7i7uKg74WpLohnG,Toy,5EDrhJGIPx5ebxIq4DBWln,16,https://p.scdn.co/mp3-preview/4f793cadd991c4f7b783c26bb6db1f051d1aa760?cid=fa83a2fec7c440b7a2795d600d6b2c7e
63,Toy Gun,2S6htnnwpykwvII5iuoe5a,A Giant Dog,0PL9vFj7i7uKg74WpLohnG,Toy,5EDrhJGIPx5ebxIq4DBWln,18,https://p.scdn.co/mp3-preview/3702069b5de3dff327a93da75edbcd0ec5954eb8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
64,Angst in My Pants,0qFxpA1Le5Z8iCu5T7FsnC,A Giant Dog,0PL9vFj7i7uKg74WpLohnG,Toy,5EDrhJGIPx5ebxIq4DBWln,19,https://p.scdn.co/mp3-preview/6a79ccaa951a8ab24fc311a82067f17dfae8fddd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
65,Domino (Time Will Tell),3NyBpM6CxqmkgLoO7lKxX3,Hiss Golden Messenger,37eqxl8DyLd5sQN54wYJbE,Domino (Time Will Tell) / When the Wall Comes Down,0PrbmsGitfZYcDiGajypF5,12,https://p.scdn.co/mp3-preview/e355867a79d2c7ad54fdc4347f756230026a651d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
66,When the Wall Comes Down,6Cawzg4k5nMS9FKlnkS9rv,Hiss Golden Messenger,37eqxl8DyLd5sQN54wYJbE,Domino (Time Will Tell) / When the Wall Comes Down,0PrbmsGitfZYcDiGajypF5,8,https://p.scdn.co/mp3-preview/b65e60a86e4a3d584105f55ce26c44ac68166c94?cid=fa83a2fec7c440b7a2795d600d6b2c7e
67,Almost No One (Can Have My Love),1OKU60YMjan8qUp0Y6ADJh,Escape-ism,48TRPVbEYuT05V1bvAR5pq,Almost No One (Can Have My Love),0fm3awak5E4yYSVpEvIDTQ,2,https://p.scdn.co/mp3-preview/5f68a4499d0bc657df3010848a4ebff3c29c371e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
68,Tinseltown Swimming in Blood,55PlnpzBKhyr09XTqLFfeE,Destroyer,22ojy4H4ZVpowC4lRRC8In,Tinseltown Swimming in Blood,6sVislOMdwuEHiTgXjxvFq,20,https://p.scdn.co/mp3-preview/2ab4f5b5e89438ac5ee9acca4c08a88dde446404?cid=fa83a2fec7c440b7a2795d600d6b2c7e
69,Everything You See Tonight Is Different From Itself,0i55oqTcszsHepfCLegb86,The Clientele,3xZBpeXHkSjTKQIR1OeKN0,Everything You See Tonight Is Different From Itself,6g84EXUQQ9KbGUKMP340zV,3,https://p.scdn.co/mp3-preview/eb2596340efb51f93804610700d7a035f1fafd98?cid=fa83a2fec7c440b7a2795d600d6b2c7e
