En el Trabajo,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,446335,spotify_espa%C3%B1a
1,Cuando Nadie Ve,1Cxd4ZJJ9VOQQpNcpdcZEQ,Morat,5C4PDR4LnhZTbVnKWXuDKD,Cuando Nadie Ve,1TOxFOMe6FNpH8hENt9fIR,72,not available
2,Mi Persona Favorita,3eB9M6owEHwk4nNrZRNUwd,Alejandro Sanz,5sUrlPAHlS9NEirDB8SEbF,Mi Persona Favorita,784Afuukiutm70xPgCQR0w,75,not available
3,Cristina,1Kjer1JoWuJGNwGV6Pbgv1,Sebastian Yatra,07YUOmWljBTXwIseAUd9TW,Cristina,5lhQfarxkGkFATjitVSHC6,77,not available
4,11 PM,7KbF6AdprOXEEHlsq11Z6d,Maluma,1r4hJ1h58CWwUQe3MxPuau,11:11,3YIUNL7qFE8NP3X3zaYSND,91,https://p.scdn.co/mp3-preview/2993254fae01c3abd401c55d9d30937a8b130c9e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Nada Fue Un Error,5QhOF5HXgZ0OFUZSE5kEv1,Coti,1OUDQLymoysITxprkd0Qvj,Coti,1msFprmU8cqzLu66TOX4rf,65,not available
6,Besos En Guerra,1d0c62VFYauOOgxZ2eFUxx,Morat,5C4PDR4LnhZTbVnKWXuDKD,Besos En Guerra,4XoiA4NiNcjYPmJV8INiQE,11,not available
7,Qué Tienes Tú,4txQPJDlvU72lC6EMhT7m9,Dvicio,2KxjMGXFgX1vt9grpbD3xI,Qué Tienes Tú,694hCUyeR4sSjV7J1mu0dO,71,https://p.scdn.co/mp3-preview/16db5d7291e9c6d7dc025cd30fe1acf15a06bd38?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Déjate Querer,3mN2DtljBhnrIpc3Nu2pJ8,Lalo Ebratt,1GAymyGBvB4gQy5Z5LZ1Wj,Déjate Querer,1BqgA0LjVFVKEbiCyqIjah,80,not available
9,No Me Acuerdo,00EPIEnX1JFjff8sC6bccd,Thalía,23wEWD21D4TPYiJugoXmYb,No Me Acuerdo,2phs92sMy029JvPDFXUpCC,16,not available
10,Colgando en tus manos (con Marta Sánchez),3UI9I3e1g1y5T3SMfdgfGO,Carlos Baute,3smfreCkyJt7bShaTYpG77,De mi puño y letra - Edicion Coleccionista,1cz8fhax6HNiCSE1uuV2Vs,75,https://p.scdn.co/mp3-preview/d516cf9159df2722a3f7f8d4cb117d39c2442b2b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
