Verano Ibiza,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
34,Tears - Original Mix,3rn9HRGclMdGVwc1yHzdt5,Prok & Fitch,62akbR2hpk0ArA98zOYNys,Tears EP,7zc55lv4s2qoc5aCmiU4IF,39,https://p.scdn.co/mp3-preview/3e2f9253994b635ce41fcbd7dfb8b962dd1eabd9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,Falling in Love Again (feat. Erik Hassle) - Radio Edit,3aGjIbCzY7ZM5pJ7iE5tfV,Vario Volinski,62THU73PMWjv9HEI23xrzu,Falling in Love Again (feat. Erik Hassle) [Radio Edit],2iR407iip1Ja9vGdeKbG5q,42,https://p.scdn.co/mp3-preview/21ea5471562e64fdf003a14b966ca081fe9cccde?cid=fa83a2fec7c440b7a2795d600d6b2c7e
36,Tazaar - Original Mix,1XGVw7Etl15JWnvwE1YvK4,Tensnake,75nC6MXUalYZSOd7OfNkwq,Freundchen EP,0yvJTxtwOtHEMNyKV6D09O,0,not available
37,SHY,3bqzUDyN8wTCmdyzg6OlF3,The Magician,4WUGQykLBGFfsl0Qjl6TDM,SHY,7etyFcNbNbz9IIwoSTfsRb,4,not available
38,Rave Me,6epOTxkiYOXwkZJjzubnB9,PAX,3NYySx3H1V7zHemD9hmsQv,Rave Me,6pNahiHqRd4yCq7wFGYbGX,41,https://p.scdn.co/mp3-preview/e51dd3a9680a7ae16a4a66033528a4499ffe7b03?cid=fa83a2fec7c440b7a2795d600d6b2c7e
39,Polyester,0eUDXP52gZJstAOfyam2Ga,Sam Paganini,50ZyjIaVHOy5Xt7FLJ7RZl,Body to Body,5iX6sd1hosM6UFrb8ZTVtH,0,not available
40,Gravity - Original Mix,74K2WVyZvmjfYJ5I1iuv2D,Leventina,7DHL9i5WtG0NrSuHZsqYyK,Play It! (Progressive House Vibes),2h3OCg8JkM84GemRIFI8XI,33,https://p.scdn.co/mp3-preview/1174369c8ae02514368b40d3463b3c02c663bc71?cid=fa83a2fec7c440b7a2795d600d6b2c7e
41,Let the Music Take You Higher - Kevin Over Remix,7snWMg4N7i7k06OhsHNcuC,DJ Pierre,58nnSR1lwvcuklbb3Uc6TU,Let the Music Take You Higher,13V8mBgLJsM29yuMSKkU39,0,not available
42,Me Roar - Format:B Remix,1qTdVus86G3MhMFx6IPdx0,Super Flu,1iZiG82D4w7FLHvOUUj4zW,Halle Saale Remixed,2HnUmXgtPvLRHskW5yFakj,45,https://p.scdn.co/mp3-preview/59bc5818ab7919a40679848130801042c3bad4d4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
43,Just A Lover,6bLjNLEeQswVDKSan9YItm,Hayden James,4csQIMQm6vI2A2SCVDuM2z,Just A Lover,3Q5nFob3fG9o9gLcuh1nZu,47,not available
44,El Bueno El Feo Y La Mala - Original Mix,0mVHL2P7dBunpusSg9mJAl,Profe & Ruben Chinea,1M8CV6GsYpLjgHggvFAIvH,Summer Recordings,1juyHbxmd8mis1KwKqhgew,34,https://p.scdn.co/mp3-preview/a5ac52524d82d6ef61c29a700440fd72c106bfd1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
45,So Serious,273mQVagZbcrzlE8OdUKS6,Illyus & Barrientos,6n5ccknvteaKfN4WA2qf3C,So Serious,18QbXnmLoihPC3h9fb6PT2,47,https://p.scdn.co/mp3-preview/430c277a416fa8c38a33113d99504619c150e4fb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
46,Automatic,4uY7620VAs0GbVET3a5J5e,Christian Smith,0Z2EpubIhxnq4B6PV0I8n3,In The Club Vol. 6,6fh5PQCFCGYkJFctHzpzM9,36,https://p.scdn.co/mp3-preview/01c9394f091e8a9c6c0e3fc3cc5a1dc5f8a43eb6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
47,Mr. Love You - Radio Mix,4sAU84cuAOrDg6mMMigsXv,Calippo,5Nngx6kSXmrSiL248sEwmT,Mr. Love You,3ahBlPJbyqh6IS5b4m74Wo,42,https://p.scdn.co/mp3-preview/13b22b8a4f9275b172187021835cca1c87e257b3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
48,Now You Know,1EK0yl7E1CklWSJnGSHqJB,Emanuel Satie,3veg7sFGWTk62Ecwj6mzij,"Moon Harbour Inhouse, Vol. 7",5vmGtfyTkccpTz25TfIyC9,0,not available
49,Africanism,1QA0NEHAHPN3XCv4H5CDmE,Noir,5O17eF7VRobstaI5aHZDG6,"Anthology, Vol. 1",0P8axSrZC0vcsQixI1kuwK,36,https://p.scdn.co/mp3-preview/965b22940ba83bd1fbda3eeca3c5ff0bd2b3bc88?cid=fa83a2fec7c440b7a2795d600d6b2c7e
50,Place on Lafayette - Thomas Gandey & Radio Slave Last Communication Remix,2wht3q9EECC7U2MDRRdFxi,Francesco Tristano,19CMctG8DNWO0rHPE98ujj,Place on Lafayette (Remixes),5uEEbEJxraBfjXeHjk2Liw,0,not available
