Hits Alegres,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,1043633,spotify_espa%C3%B1a
1,Cuando Nadie Ve,1Cxd4ZJJ9VOQQpNcpdcZEQ,Morat,5C4PDR4LnhZTbVnKWXuDKD,Cuando Nadie Ve,1TOxFOMe6FNpH8hENt9fIR,72,not available
2,Calma - Remix,5iwz1NiezX7WWjnCgY5TH4,Pedro Capó,4QVBYiagIaa6ZGSPMbybpy,Calma (Remix),1tFnP9PwIMeMIuj92mfswZ,88,https://p.scdn.co/mp3-preview/acf9b4cf204f350851f699c3a3a360d413056f0b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,11 PM,7KbF6AdprOXEEHlsq11Z6d,Maluma,1r4hJ1h58CWwUQe3MxPuau,11:11,3YIUNL7qFE8NP3X3zaYSND,91,https://p.scdn.co/mp3-preview/2993254fae01c3abd401c55d9d30937a8b130c9e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Swing,4DbhxwlkhTbCTqlZptxmI6,Danny Ocean,5H1nN1SzW0qNeUEZvuXjAj,54+1,3pHFjWCK7d5YLtEuFwfR5N,80,https://p.scdn.co/mp3-preview/140ff846dc67b78825fd1898a251760b4e36cdf9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Déjate Querer,3mN2DtljBhnrIpc3Nu2pJ8,Lalo Ebratt,1GAymyGBvB4gQy5Z5LZ1Wj,Déjate Querer,1BqgA0LjVFVKEbiCyqIjah,80,not available
6,Imposible,3ao3OVxHlb3C08vAaApUlm,Luis Fonsi,4V8Sr092TqfHkfAA5fXXqG,Imposible,6wTDNbatkWKnP7r9v8NckA,75,not available
7,Besos En Guerra,1d0c62VFYauOOgxZ2eFUxx,Morat,5C4PDR4LnhZTbVnKWXuDKD,Besos En Guerra,4XoiA4NiNcjYPmJV8INiQE,11,not available
8,Adan y Eva,6FyRXC8tJUh863JCkyWqtk,Paulo Londra,3vQ0GE3mI0dAaxIMYe5g7z,Adan y Eva,1XBTyV1if5X9sU4IhpfH5R,82,https://p.scdn.co/mp3-preview/cca5e8fb54c2e4b89bf5107792bf140046811385?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Qué Tienes Tú,4txQPJDlvU72lC6EMhT7m9,Dvicio,2KxjMGXFgX1vt9grpbD3xI,Qué Tienes Tú,694hCUyeR4sSjV7J1mu0dO,71,https://p.scdn.co/mp3-preview/16db5d7291e9c6d7dc025cd30fe1acf15a06bd38?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,A Partir De Hoy,1FMNuRMIcPD6PDQGoi5Ifn,David Bisbal,5gOJTI4TusSENizxhcG7jB,A Partir De Hoy,44QO7jYy2AkfO9rWT4b34p,12,not available
11,China,2ksOAxtIxY8yElEWw8RhgK,Anuel AA,2R21vXR83lH98kGeO99Y66,China,1PTTAq0OxggVgqP5WTYWDh,97,https://p.scdn.co/mp3-preview/a2486b829160d65e2bf30038bb3a5f76df3393b1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,Colgando en tus manos (con Marta Sánchez),3UI9I3e1g1y5T3SMfdgfGO,Carlos Baute,3smfreCkyJt7bShaTYpG77,De mi puño y letra - Edicion Coleccionista,1cz8fhax6HNiCSE1uuV2Vs,75,https://p.scdn.co/mp3-preview/d516cf9159df2722a3f7f8d4cb117d39c2442b2b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,Contando Lunares (feat. Cruz Cafuné),6Cs7b9bu3fy5XhMwBA9Tz4,Don Patricio,6vPXtLmNd3mW0dd1Rb9eQ9,La Dura Vida del Joven Rapero,0Gx6K4nFJlqmBXIRgoKLBb,32,not available
14,Señorita,0TK2YIli7K1leLovkQiNik,Shawn Mendes,7n2wHs1TKAczGzO7Dd2rGr,Señorita,2ZaX1FdZCwchXl1QZiD4O4,100,not available
15,Perdón,4iCJFRTRsFlj4UWoEd7bS9,David Bisbal,5gOJTI4TusSENizxhcG7jB,Perdón,3mS6qSzJvfbFkhLsp6hO8P,71,not available
16,No Es Justo,1RTlTuLOdnmgbe11ynwR7c,J Balvin,1vyhD5VmyZ7KMfW5gqLgo5,No Es Justo,3CjbO5ZFF7fPc3XFxONAE6,72,not available
17,Vaina Loca,1s2B5cndbqK8rPJEIcKJRQ,Ozuna,1i8SpTcr7yvPOmcqrbnVXY,Vaina Loca,3EpCMNzLUiLxHlXq3dKApm,18,not available
18,Ella Quiere Beber - Remix,2cYnZNzFRFK0H7vSNxPsUq,Anuel AA,2R21vXR83lH98kGeO99Y66,Ella Quiere Beber (Remix),6lNu03TCXIXoalIH2r65Xm,24,not available
19,Clandestino,7DrluKkTviBwCc8AV3VGmf,Shakira,0EmeFodog0BfCgMzAIvKQp,Clandestino,1h1hnfRyc45IIDnxUCaGIf,75,https://p.scdn.co/mp3-preview/da02f5da679715064baf20741d1ac80b2fc67a3b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
20,To My Love - Tainy Remix,5LciLoxa1gK70yIUeoHgRx,Bomba Estéreo,5n9bMYfz9qss2VOW89EVs2,Amanecer (Remixed),7jo5KFYHLHpbVX0glLHiIA,74,https://p.scdn.co/mp3-preview/fe5d0555597f1a611a58fb4e2b69b00bb6f7627b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,Con Altura,2qG5sZ7Si6sdK74qLxedYM,ROSALÍA,7ltDVBr6mKbRvohxheJ9h1,Con Altura,4bxHLppgdmaYJk0yfdcP0l,90,https://p.scdn.co/mp3-preview/db95e1fba1c9df7e2f6966ba91347df3c36a9630?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,Calypso,4178A5NkEjcsGc64jpBO6d,Luis Fonsi,4V8Sr092TqfHkfAA5fXXqG,Calypso,5vroSoweHs5AK7bFe7bBqi,71,not available
23,Soltera - Remix,1c0hsvHLELX6y8qymnpLKL,Lunay,47MpMsUfWtgyIIBEFOr4FE,Soltera (Remix),2m9Vuc9Q19qhSm6RQmBgsR,92,https://p.scdn.co/mp3-preview/dd6fc3e183f2643f0f4a3d650fa4f923c2a46040?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,Bella - Remix,0SaYeGhSXN0dDWstyNTQ56,Wolfine,2OnKRchqP7tT0FzTvWIFI7,Bella (Remix),1UsmrwFQhk483czxWluhS6,69,https://p.scdn.co/mp3-preview/e5ba7fc4af7518b4bbbf689147efe84633dfb63a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,Back In The City,6ydCAmvfPBYxCnqdDZAZ6d,Alejandro Sanz,5sUrlPAHlS9NEirDB8SEbF,Back In The City,3yhWUHNUjjXLZdM1QvmEZF,60,not available
26,"Yo x Ti, Tu x Mi",7BlBVFwvbWvcwNcUarQmjk,ROSALÍA,7ltDVBr6mKbRvohxheJ9h1,"Yo x Ti, Tu x Mi",3844bY26oeSkqd06th4EYp,93,https://p.scdn.co/mp3-preview/f8d270e551ebd663edbb22a6f2fb58a3f5d73edd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
