Los 80 España,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,238311,spotify_espa%C3%B1a
1,Déjame,74tDMKwGlhrYEFFEKhgRLA,Los Secretos,2KEDbpUlz9nwtGywHT4gyf,25Aniversario De Los Secretos (Doble),2Z79S430gDu5L8VPCFtmJO,4,not available
2,Resistiré,2oI6d7XcMz1AMTQhDopV5J,Duo Dinamico,1TiGxAkU8w0xBCVFOP6Ttl,En Forma,1o1XBaN4Jinqh1j3MrEzI2,55,https://p.scdn.co/mp3-preview/fad5016b85709961cf0a2660722f12073acdf10f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Jardín de rosas,3MvbFAlNARGUpMPEkn88Ho,Duncan Dhu,2MLHBMApNE5h8wIufiTPs7,Canciones,42Gjhf7f1h2dKvWTKDHd90,50,https://p.scdn.co/mp3-preview/5f24ee5de814740b3a3e8eb8cb70fd301741ff40?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,No Dudaria,6djqlcjQPGhxuZ6HERSgWw,Antonio Flores,6GwZIG7UlxQR6n9kO8QlV6,ANTONIO / AL CAER EL SOL,7s8QLY0ZI5ywtrw18JbC79,51,https://p.scdn.co/mp3-preview/4eb832aa2d635f13def1efcb8b50e5b60352493c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Chica De Ayer,2eRLU7iAtraMJCLXaiAnUx,Nacha Pop,1CdLG4i1rTEOsex2UE0jCH,30 Años De La Movida,2X7cAMJg3sTureGBixd8VB,47,https://p.scdn.co/mp3-preview/4ac1f0bfd0f4cbac04606694f5530f3b2ffdba5d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Sabor de amor - 1984,2UC0OxMpQeSYft4pRswyEX,Danza Invisible,1MK9J20Op7jFgUDbLiy6m2,1984-1989,1UDAwYpJmlGTaltPFLKBnO,57,https://p.scdn.co/mp3-preview/4644c3f6dba9660791884551d946c5317cf1cab0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Mil Calles Llevan Hacia Ti,2c4lkvFscid22nr32FByC4,La Guardia,5UYbCAN2H4Yr4f46tN5AeD,Vamonos,2vBaFcGcxPkBvpcQVqZgtD,48,https://p.scdn.co/mp3-preview/3cc52aef9115e1f453f09b9cad2019b22246b579?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Cadillac solitario,3VNxbWlw9oVvxSnSbeiCBb,Loquillo,5Fv0DQ1ZBuc2DlidtOUCZr,Rock & Roll Star - 30 años,24fPzeDiySM2lt3pvuLKGR,57,https://p.scdn.co/mp3-preview/b33b622d6cfc088279697d44cf7ae4c41407efd5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Cien gaviotas,020Gj87SqDRvzGHELzcCEc,Duncan Dhu,2MLHBMApNE5h8wIufiTPs7,Canciones,42Gjhf7f1h2dKvWTKDHd90,56,https://p.scdn.co/mp3-preview/6e04ec0e57eb1a8c589098ce093952ba1e387726?cid=fa83a2fec7c440b7a2795d600d6b2c7e
