Trapeo,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,594594,spotify_espa%C3%B1a
1,Kemba Walker,38kLHBjtWJaPXcyFhwRVtI,Eladio Carrion,5XJDexmWFLWOkjOEjOVX3e,Kemba Walker,0vHmXJNuSKs3Tbgt811AMe,79,https://p.scdn.co/mp3-preview/0dfc6b6845b333a530307665f145c876ee21aa7e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,A Escondidas,7754vHc34U2wQMIJFWRhVK,$kyhook,0lxgPYvUjEApUKpZmr61IE,Moonchies,3aqwNpVnFm1tQQaxlh1swU,76,https://p.scdn.co/mp3-preview/0e0f114eee436c2c8e9e965737621e5c00ca47db?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Gan-Ga,2J3jxgfp6GWoBsMPIa20oC,Bryant Myers,6w9ToX5slZ4uIdmD17hJ3c,Gan-Ga,2SiqV96Sb1722dVP4TEDIY,80,https://p.scdn.co/mp3-preview/667187fdd904747ca7b58391e2db932f5e62c862?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Easy,7fTsw0IKbbPDN19keS32tF,Jhay Cortez,0EFisYRi20PTADoJrifHrz,Famouz,1V9QpD8kjA2iHCElhFGvlo,78,not available
5,Goteo,1EoEU4HY57qaITp06TkC6B,Duki,1bAftSH8umNcGZ0uyV7LMg,Goteo,6lfI4LBcu46SL3TzSw3rWg,88,https://p.scdn.co/mp3-preview/8f1da5b1d357a186e0daae756f00dbf27d3ce2e7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,LA LATINA,6ehHyisIFQg3yrZM0VBzH6,Rels B,2IMZYfNi21MGqxopj9fWx8,LA LATINA,57vOBXUAUkJz2dluFD68FK,74,https://p.scdn.co/mp3-preview/67fea332f0cba2bd85b1854d1fe871c2b96ef872?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Party (feat. A Boogie Wit da Hoodie),5PDoWY5Av2Ba3rWIdY9Ij0,Paulo Londra,3vQ0GE3mI0dAaxIMYe5g7z,Party (feat. A Boogie Wit da Hoodie),2ce9XFj7OA3f78oO5XFFhV,74,https://p.scdn.co/mp3-preview/e7d8a4a8c5200f284bf30197c90bca65d2ea0fd0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Yyanosé,3CHAG77jAcwK0w8NBE7i7p,Israel B,16M8fuShcwX8uBDdmFZH9B,Yyanosé,1bAFRY7Ox7M8ua9URdHVSO,71,https://p.scdn.co/mp3-preview/db01194121603bf8f23f676b07944409d7f31994?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,No Te Debí Besar,1KdwnsWOvhM53vezy5ROuf,C. Tangana,5TYxZTjIPqKM8K8NuP9woO,No Te Debí Besar,1VIVJSQidZ6nddSJoEEYt7,83,https://p.scdn.co/mp3-preview/4b86f6bd7a234d31407838ac05d2f5d7a9fa5b1f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
