Momento Acústico,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,834907,spotify_espa%C3%B1a
1,Fuentes de Ortiz,5Yv6qD8384II8ahFaofgFV,Ed Maverick,3JSSjGYcIkgsrz7892CelT,Mix Pa Llora en Tu Cuarto,5eXeF4TB8khzrdaxFOA0Yy,9,not available
2,Física Moderna en Invierno,2FAuYxoBBuYOErsr5R6YoW,Carlos Sadness,2LCcy9CZWwZ7Vvykt8IVVq,Física Moderna en Invierno,5jooKtUPWZeAkptLpA2jcE,50,https://p.scdn.co/mp3-preview/2c71227e4d9c2fb2316d14ab159b8f083b4d0ab8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,A Mi Lado,12VNRto6uKb635VSHeIERC,Charlie Rodd,2vylKAxeoJ2dAwIi9ck762,A Mi Lado,7BEpB4Dn1Xj17S2YpHOdzt,49,https://p.scdn.co/mp3-preview/f37a286ba82ff5818216a4643d9a488e99be9978?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Solo Mía,46lKF7Q9AUWeQEHM9XuEGe,Alex Cuba,7gZRUp2WL6r11PXTv309P1,Sublime,7rdezKlUOq26Dypydp5p9y,42,https://p.scdn.co/mp3-preview/0d3439527fb086fbe3705aa9f90ab1e7ce3f6524?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Jacaranda,2MPmqlCf6Hwgo5d2F7mA6Z,Jósean Log,1LMyTeRhjaitILs98h3MaF,Jacaranda,56WZTdmE87rkqZL783hDBu,52,https://p.scdn.co/mp3-preview/73d87cba4e0e5f0e4c915de3937427d32a53b584?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Ropa de Bazar,5VPTTQQks5CuP8xbVjCFsD,Ed Maverick,3JSSjGYcIkgsrz7892CelT,Ropa de Bazar,6Tb4qz1HzZL08fKW3ss575,23,not available
7,Mi Saco,2H8kcmrxRbaiFOPT2jO06g,Los Rumberos,05k3uSz8dyKtbllIY988Ip,Mi Saco,0lKMOABuJ35VsOVzqp4YA3,45,https://p.scdn.co/mp3-preview/b6a4b0761e5e40e5d9b868ea3048a0f570f5e893?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Anhelos,1F51u77jFLv9pu8vzpsrxI,Dawn Avenue,3ZCvfZxGmkariKQgNYRD4P,Anhelos,1XDxJgWumrFQr4xybNPlDn,50,https://p.scdn.co/mp3-preview/908a53cbcd11bb03c43267f89c43579354b1249a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Pongamos que hablo de Martínez,1Rtz5Wlj0KnHNtPbwqa6XV,Jorge Drexler,4ssUf5gLb1GBLxi1BhPrVt,Pongamos que hablo de Martínez,4oj7W1IRZAA009oTq6NvSL,4,not available
