100% LatinX,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,328063,spotify_espa%C3%B1a
1,Ya Tú Sabes,3DtqXRrp2DTv1eTT9a28rN,CNCO,0eecdvMrqBftK0M1VKhaF4,Ya Tú Sabes,07RPrMIAtZCS4mKpIVrv9t,65,https://p.scdn.co/mp3-preview/fc4fc92755875c250e489ebb0798930295be4cb2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,YES,49npsHkkRrF42IxwU10Egt,Fat Joe,3ScY9CQxNLQei8Umvpx5g6,YES,0E74lJz7EpijEP2YDHGDYh,73,https://p.scdn.co/mp3-preview/b2bbf9072aed9b255c6176f96b1ed7ed7625303f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Liar,7LzouaWGFCy4tkXDOOnEyM,Camila Cabello,4nDoRrQiYLoBzwC5BhVJzF,Liar,3xgS4rfthlsvhW7J2WLiiR,92,https://p.scdn.co/mp3-preview/10cc798e1e25bb65f13cbe166aa77e51e2f11474?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,No Hard Feelings,4dHLTRnNrrs3pDXeQxj1g5,Melii,4udfTw7V8jI4AHi7PEfJfj,No Hard Feelings,3JO4jf0x5q2Wa5XlhyPqys,57,not available
5,"Yo x Ti, Tu x Mi",7BlBVFwvbWvcwNcUarQmjk,ROSALÍA,7ltDVBr6mKbRvohxheJ9h1,"Yo x Ti, Tu x Mi",3844bY26oeSkqd06th4EYp,93,https://p.scdn.co/mp3-preview/f8d270e551ebd663edbb22a6f2fb58a3f5d73edd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,"El Favor (with Nicky Jam & Sech, feat. Farruko, Zion & Lunay)",684EjRHwNsZQ9hCQxL4NYL,Dimelo Flow,3fZk3Gm5dN5v5yfYMQ04Bx,"El Favor (with Nicky Jam & Sech, feat. Farruko, Zion & Lunay)",28561uZztshyZSVG6ElL62,87,https://p.scdn.co/mp3-preview/5f0536002dc215c10d649a4da83acbd9f1c53d50?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Adicto (with Anuel AA & Ozuna),3jbT1Y5MoPwEIpZndDDwVq,Tainy,0GM7qgcRCORpGnfcN2tCiB,Adicto (with Anuel AA & Ozuna),7nqA49hzXJWPH4cnM8nk6x,92,not available
8,Morir Solo,18hnXK4HWm3BxT8QijiJVO,Prince Royce,3MHaV05u0io8fQbZ2XPtlC,Morir Solo,6knKxseycCjKl3KVZizjbb,69,https://p.scdn.co/mp3-preview/858348c8f81613f8d8ccdedc78676304ba4b894f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,LA CANCIÓN,0fea68AdmYNygeTGI4RC18,J Balvin,1vyhD5VmyZ7KMfW5gqLgo5,OASIS,6ylFfzx32ICw4L1A7YWNLN,94,not available
10,Easy - Remix,4CMrdHWqic0usIZfTrKoI3,DaniLeigh,0XIKGBo9PnK1ApI5tZA60d,Easy (Remix),07oupZyy8xBQq0RQmXmg5z,79,not available
11,Deséame Suerte,0dG7rYBDUEPhfqdwaCEhq0,Jhay Cortez,0EFisYRi20PTADoJrifHrz,Deséame Suerte,6YaQFA6Qb7z5nAkDYp2lkd,70,not available
12,Chicharrón,5UVa8Qqb9L1dVxl3jKQ5J1,Guaynaa,0BqURncJM5B1BBu7UM51eq,Chicharrón,3AHRVgJw38uR1NiwpcbWXZ,82,not available
13,"DJ No Pare (feat. Zion, Dalex, Lenny Tavárez) - Remix",1ndyl3wJCFs872XZ3ztPk6,Justin Quiles,14zUHaJZo1mnYtn6IBRaRP,"DJ No Pare (feat. Zion, Dalex, Lenny Tavárez) [Remix]",71uU1JDWZ61OMDtW8h1Kp8,85,https://p.scdn.co/mp3-preview/662fa6450a8b90db980d3cdd27c9e3411da2c44e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,Feel It Too,70iKezMwKdKq7kRtORKY5B,Tainy,0GM7qgcRCORpGnfcN2tCiB,Feel It Too,35m5NO6I4o9OGY1Hc7LUXN,60,not available
15,DOLLAR,4ziiAuFyXiY1HNSLGM1xv8,Becky G,4obzFoKoKRHIphyHzJ35G3,DOLLAR,2gUAsCAmGaSwtqcCM25LCU,83,https://p.scdn.co/mp3-preview/82ff808de00064d7b2927cccc593b96f8b905ed0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,Oh Daddy,2jOhhdNkBc94SfAcrg5Z28,Natti Natasha,1GDbiv3spRmZ1XdM1jQbT7,Iluminatti,53k64d93T2Pwjy8x71zQVO,73,https://p.scdn.co/mp3-preview/bd73e6a39ec403800dbc1924cd846d7156f9434e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,Bellaquita,1tpbAGsGpZee5jDHMcLrUJ,Dalex,0KPX4Ucy9dk82uj4GpKesn,Bellaquita,3RWeME5ryDw9wxO99OoDgP,82,https://p.scdn.co/mp3-preview/c84f6082a34cb6d31e208a074bc6e2b581a25d1b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,Runaway,7BuSE9uTIw931wtZYzvZcQ,Sebastian Yatra,07YUOmWljBTXwIseAUd9TW,Runaway,0PijZTpKNGUvL12y7w4tZF,87,not available
19,Perreito,5LsUdPeqmKVGlPJre2sIRt,Mariah,0KKUc4amZyvswV2YL6WTar,Perreito,2h75BdwB5z9ueXOV37Af4d,73,not available
20,De Cero,4XfCa8VFYeTsKbXrVlpKIa,CNCO,0eecdvMrqBftK0M1VKhaF4,De Cero,1wh1ly3rDRvPmaGofkkGA8,78,https://p.scdn.co/mp3-preview/0f44179ae8120498aad55dd7c97a7cc7af698d21?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,QUE PRETENDES,25ZAibhr3bdlMCLmubZDVt,J Balvin,1vyhD5VmyZ7KMfW5gqLgo5,OASIS,6ylFfzx32ICw4L1A7YWNLN,91,not available
22,Sola,2sAXzDzH42hjqrVKkdP4hi,Leslie Grace,6BeO1KuAWBqFriL1mLHtNc,Sola,1vS653OjT1KG95dYSRk2a6,66,https://p.scdn.co/mp3-preview/59ff84f0d01dc37116a08a0d4df6a2bbc0614570?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,Callaita,2TH65lNHgvLxCKXM3apjxI,Bad Bunny,4q3ewBCX7sLwd24euuV69X,Callaita,06S3Qjh4QWLtn6c7CVhYh7,95,https://p.scdn.co/mp3-preview/23c0b25cf824c1bfd7a814fe7cd1264c31a5a9dc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,Otro Trago - Remix,4bTZeO72FwMa6wKOiqoynL,Sech,77ziqFxp5gaInVrF2lj4ht,Otro Trago (Remix),3hiJmThCss4ugTPzvgUnT1,92,https://p.scdn.co/mp3-preview/0fa4dbb8b2547fd7f9b7e54dd42e37b78af1edd4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,Señorita,0TK2YIli7K1leLovkQiNik,Shawn Mendes,7n2wHs1TKAczGzO7Dd2rGr,Señorita,2ZaX1FdZCwchXl1QZiD4O4,100,not available
26,Loco Contigo (with J. Balvin & Tyga),1f38Gx6xQz6r4H1jGVNBJo,DJ Snake,540vIaP2JwjQb9dm3aArA4,Loco Contigo (with J. Balvin & Tyga),3HXHo0qkSUO4M9p6PEnA01,85,not available
27,No Lo Trates,4gqMVEJSaL5nNeKj5WmVoT,Pitbull,0TnOYISbd1XYRBk9myaseg,No Lo Trates,4K6B1KumSxNR0SfbLk66N9,81,https://p.scdn.co/mp3-preview/728d1032b35d9b31f2b079c83fc20ad315b5b2e5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
