Hardly Art Records: Beginner's Guide,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,288,subpoprecords
1,Drown,0aTNcmmwmu5L0YGjuKC8PK,Chastity Belt,1tho5dJnzdYD57EQkM3SmK,Drown,6GrUBQuhQCLxW3lKlcXAXI,39,https://p.scdn.co/mp3-preview/d239e15f21ad37194c8d1a26ded6a1d963ac4d7b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Fuck With Your Friends,4VKYE1cYtJnlZLx4ajXM1H,Lala Lala,492I2sQFcHDcsZECYX25dE,Sleepyhead,1L3vOmYMc8UHmTVDh52kvl,38,https://p.scdn.co/mp3-preview/4e2af1fe45061b138caf7d171cdc0e29c8cc3dbe?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Turn Up the Radio,68q8Feq2Sb81ouh6NpciI4,Jenn Champion,4DNoAXTvMQBzmxWdBuIB6V,Turn Up the Radio,1HE46m0diGY0Hinz8yTj1L,32,https://p.scdn.co/mp3-preview/c5e63418aafc3b01becd17d1c3bcbc2e04546298?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Elena,1MTnkhZLcvMpTfLAgmgkTi,Chastity Belt,1tho5dJnzdYD57EQkM3SmK,Elena,091EVWF0IeJ2QwRxGhRPsc,36,https://p.scdn.co/mp3-preview/470f1137644e7c11c6cf941de11f2a19f73fe0b0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Ann's Jam,7LTI4o0pv08blwCMyhcTYE,Chastity Belt,1tho5dJnzdYD57EQkM3SmK,Ann's Jam,1rWWu7bDQF7m7cQw2zImHA,39,https://p.scdn.co/mp3-preview/2a17144c9b8adb2dc4db3d952c0b1828b73e71a6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Should've,2MMZWIqbC7G6lUVE07FjkP,Dude York,5AV475oA3v91U6e9tOGRm9,Should've,2Hb6hU1fYYwpjw7KWag2FR,22,https://p.scdn.co/mp3-preview/116aeadd5d887492df1342af676d3a556e1bcfcd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Headstones,66h5kigz7AsLEP7osE9A7Y,Girl Friday,0NZMcZVNXFBVdNb5BQj6NM,Fashion Conman,4tdeHYN3oCJ7aSjo56hO3x,22,https://p.scdn.co/mp3-preview/3464406fd8647b60443e64ac54946845bd2a73c1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Parking Lot,2nmqfA3eLVlgc1t08hWZPq,Julia Shapiro,278GKwKbKXZXFAk1ns0aPR,Perfect Version,43FQQVHJfUZzflPXa0Fg82,24,https://p.scdn.co/mp3-preview/91c90c49c56dd4689d02821a2ac4aa5577226744?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Box,3wW5c3cHdEQ9ynQcDLNKhq,Dude York,5AV475oA3v91U6e9tOGRm9,Box,6LO9mthWlWoyJb9aX5dfK5,17,https://p.scdn.co/mp3-preview/a6149ab111841ad18b5d34b51f2833467cf468d4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,Shape,1k3mjsOQgZ9rdGK7o7lJ60,Julia Shapiro,278GKwKbKXZXFAk1ns0aPR,Shape,723orvHNkAwiK8EPZNxYCn,12,https://p.scdn.co/mp3-preview/51b53f7e2e0b43018c871fe6c51f04591c5ccfb7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,Decoration/Currency,1YFpYsNiRBIvPOinqRZmCg,Girl Friday,0NZMcZVNXFBVdNb5BQj6NM,Decoration/Currency,5nUeRLFaNGDeIMq5c4jz2j,31,https://p.scdn.co/mp3-preview/f7a1208e5bcd0831bc132aa6bb54829efc3dea45?cid=fa83a2fec7c440b7a2795d600d6b2c7e
