Sub Pop Celebrating Womxn,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
80,Watch Me,5E0fzpmVS5kiovPu8LyZ5Q,Lorrie Morgan,0khzcQ6PQU5a6dl1Qss3pt,Greatest Hits,0h4UTgpQYFLzUw0xCtJGNV,38,https://p.scdn.co/mp3-preview/b90081a009d8253e7ff5e45ac46b62c9a548d1c7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
81,Maybe It Was Memphis,5d5o9XHIrAMKvr3Qp2aZTW,Pam Tillis,1SX44N5qjWuFcCK8WTO0c6,Greatest Hits,6rRHh8cEDENnGKh2GAtTKr,40,https://p.scdn.co/mp3-preview/b5f0a94616cf8bf9d42d4c5f9a772d1401279be5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
82,XXX's And OOO's (An American Girl),7b05yUcjnxPDUhWNL4nE3K,Trisha Yearwood,3XlIhgydjvC4EniPFZT20j,Greatest Hits,2p6Kod7VSlWtuQG5N6K2qF,50,not available
83,I Hope You Dance,65B1tEOv5W294uCKbmEcFV,Lee Ann Womack,738OS3zrCO782uDiUN9pet,I Hope You Dance,5NwzdF5qHEtXT6SepzhWJv,63,not available
84,Strawberry Wine,3ODF56f90W3qxDqxHAUi3v,Deana Carter,0aqrM7Fo3Ml66Kc5JAzmjt,The Deana Carter Collection,5WqK9zGqUlTw7IPY2k1Yqd,62,not available
85,I'm Alright,0MjT9xQqJrQlNrkWKZgFbQ,Jo Dee Messina,3ltFy7g6KKQPPttsdOMlq3,I'm Alright,4UuS4hlOMP5akz21glTQCL,61,https://p.scdn.co/mp3-preview/f6e7d33cf6a0ded94b3512a99c74c2dcf225bcb8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
86,Better Things To Do,69i3o59nwDIgBvPTvSbLQY,Terri Clark,0HLOP0AdsaWe5Pt5TNueGC,Greatest Hits,1iMjAhGRrCsK032pQ74bRF,34,not available
87,Guys Do It All the Time,4t2uVik2DKnAUMMWEnirWr,Mindy McCready,2uB5sjjJwj4kB6TrRGLYJO,Platinum & Gold Collection,79bbeVRhjWfNat8zL3E3qx,32,https://p.scdn.co/mp3-preview/4a9ef5bb4bd3a8f232238b962d4b2191c5ecba1f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
88,Love Can Build A Bridge,40XW3d74CGOrWPcNpJDeUi,The Judds,7MSTO40bsb3DOJQT6xLsIc,Love Can Build A Bridge,53q0MIHCc3NeBt075qOsZO,48,https://p.scdn.co/mp3-preview/1e8888f9ef1bbb82312faac07f044766678e3ed0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
89,This One's for the Girls,01CnYyPXMFRzOFVQBU8WMb,Martina McBride,3P33qFNGBVXl86yQYWspFj,Martina,3xtQSAQgeAV6TcvzyF4iDd,57,https://p.scdn.co/mp3-preview/59e1a5d2c8411ec9d646b70edef7493f59243d33?cid=fa83a2fec7c440b7a2795d600d6b2c7e
90,It Matters to Me,3rXdABev6vQtBCElztIl7m,Faith Hill,25NQNriVT2YbSW80ILRWJa,It Matters To Me,6Ki8tNYdetzeYqijkDlmds,54,https://p.scdn.co/mp3-preview/967718c12d9192c3c13eb8321bde61e475064e38?cid=fa83a2fec7c440b7a2795d600d6b2c7e
91,One Way Ticket (Because I Can),5NMcfca7MPpam8jnA2JqDh,LeAnn Rimes,2d3VHzlOEwXvmBdS4pzOPL,Greatest Hits,5GIEvyzVeUKAs6Uf2EeoqD,32,https://p.scdn.co/mp3-preview/4136b3029753172e529ba1aff35566e8ac59fa4b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
92,Is There Life Out There,1NIUECyq3vHFrWeFGKvESB,Reba McEntire,02rd0anEWfMtF7iMku9uor,For My Broken Heart,2j2u43lPOti5W1btEw8NN5,49,not available
93,Wide Open Spaces,0iEKsU36M5OYW0D1YCO1RO,Dixie Chicks,25IG9fa7cbdmCIy3OnuH57,Playlist: The Very Best Of The Dixie Chicks,1Nyy5DoE52p0bwrYJvP498,49,https://p.scdn.co/mp3-preview/b44445fa88e9b490bb1f4e0c97bdf2ec852a07c5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
94,Man! I Feel Like A Woman!,0IF0vGwaJQ8ZCh0QxhW6OV,Shania Twain,5e4Dhzv426EvQe3aDb64jL,Come On Over,0vOj0JVKv2bobFBBUTjgQF,21,not available
95,Down At The Twist And Shout,0usek03YMU1IuPLFzAfuY1,Mary Chapin Carpenter,0qAmeOULjwn04k6jMMeDyr,Country Dance Super Hits,5bySb9iJsD9QepIPfkZgSX,39,https://p.scdn.co/mp3-preview/d3c1c60498f2c3366bdccb2ca0784997d791d274?cid=fa83a2fec7c440b7a2795d600d6b2c7e
96,Diane,2hAbbp7lGnXsfbj3INaAIA,Cam,5WRElKaZsn1tGnrgmJVAeO,Diane,0eZUqKNF2gga7WUiR8HFB4,56,https://p.scdn.co/mp3-preview/25a847adced0a5768451931f217cc7000c59a794?cid=fa83a2fec7c440b7a2795d600d6b2c7e
97,I Feel It All,3ghgwo0BTPm329zGMQRfn7,Feist,6CWTBjOJK75cTE8Xv8u1kj,The Reminder,7bTdGfczXffzzNE9ssJj4Z,47,not available
98,Little Bit,0Ps4Eh6SQjeLnubbCsQTDD,Lykke Li,6oBm8HB0yfrIc9IHbxs6in,Youth Novels,65ain97ltDAxldCiOcBtHo,56,https://p.scdn.co/mp3-preview/094832c14dfca50ee2019ca7ddbda5ecf654a65a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
99,Wishbone,7d3xvNSMp9gyGzLR0jMb3C,Architecture In Helsinki,60eT7q88iLWKnuSXed1AGr,In Case We Die,5ClOLqu2lmrN7FnysTXsOv,20,https://p.scdn.co/mp3-preview/7251f305f89b3e82333c509b7fad1a8f5270640f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
100,Backstabber,6x2UwFzCwSKSS7EPs48lDI,The Rondelles,4twF3ELHVQn0u8HzbTDiBt,Shined Nickels and Loose Change,4wWERwZgvJtE4Y4bPsNL6V,1,https://p.scdn.co/mp3-preview/c2438155571caec4e8bacdfc22907af610960b1c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
