Sub Pop Celebrating Womxn,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
47,Friday I'm in Love,6yH4PtEs8t43GkU7DVORaN,Yo La Tengo,5hAhrnb0Ch4ODwWu4tsbpi,Stuff Like That There,3TlSSVWAeW4TB2FkVZ94dI,53,https://p.scdn.co/mp3-preview/c955682b44ae10cf048a319743c7182a49db5d2a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
48,Chrome's On It,7n9fSCvtsYcVEZiArv7tnN,Telepathe,6HV3653Bcv52VJvFICfGj2,Chrome's On It,7HvkJJzH7Jj5DSVtaHRX4q,0,not available
49,Head Spins - Extended Version,455zlaFgRpbBsEjmroSa12,High Places,3I3Tc8RnSiNgJFvL0EsuPK,03/07-09/07,74qGO62tE4HzOb5jU1rhYu,0,not available
50,Truck,2SJMm1mWgcy3pj2gMfwRiQ,The Octopus Project,7EFRvnUHNLWOYVPg8AuI7o,"Hello, Avalanche",7tmoPUVPkqOrLkVa3RwZdK,25,https://p.scdn.co/mp3-preview/570256f93e439cff803c5e5d7fd94578d952af90?cid=fa83a2fec7c440b7a2795d600d6b2c7e
51,LDN,48T3AtfhOgz3euMEO2Z4hS,Lily Allen,13saZpZnCDWOI9D4IJhp1f,"Alright, Still",3nxPzWEJBjzonYWtTNb0uY,48,https://p.scdn.co/mp3-preview/065408877292aa34d470067ed67864f5616988df?cid=fa83a2fec7c440b7a2795d600d6b2c7e
52,Chewing Gum - Vocal Mix,04EFBtzCTtg1SWQPK2HikB,Annie,7zt6Af78CalxaPDqORfw8L,Anniemal,3LN3dGIFGEqTjTDwTFFCj6,36,https://p.scdn.co/mp3-preview/41bae1f8e028a44b2e6b527c178d757a5d82e228?cid=fa83a2fec7c440b7a2795d600d6b2c7e
53,Beat Control,0hDA6UzmTcyUv5AajdwGm3,Tilly And The Wall,2dsXb3lvdajcCHgWZS4vxr,Beat Control,51uYqjPTCRZIk08KaxKpwO,22,https://p.scdn.co/mp3-preview/3a2c21417b6e29252135d76e2374bf088c874a60?cid=fa83a2fec7c440b7a2795d600d6b2c7e
54,Ce jeu,2KjJhGtseXQBI5Cg6ZZdc9,Yelle,0WbqAlM1WvfUD6dF7omThd,Pop Up,2UiP7sGjSxl52QtlWAXYVy,46,https://p.scdn.co/mp3-preview/c0df75d78e9e8f76c04b45c1fc3d8f335d7ec726?cid=fa83a2fec7c440b7a2795d600d6b2c7e
55,Water Fountain,0SRgVYcDYttX5Huc5FGB2M,Tune-Yards,0asVlqTLu3TimnYVyY5Jxi,nikki nack,7fBKkyLmSRlz3BAUfjYYFv,46,https://p.scdn.co/mp3-preview/fe616e0e6e2851ce794c8d89ce5bfe04cb2fdf40?cid=fa83a2fec7c440b7a2795d600d6b2c7e
56,Casa Blanca,4DXTjgtQIY9dQcunSkIi38,Guayaba,2Yu1awZURNoKz0gOdeDBz5,"Black Trash, White House",246fMtcdD8oteWkNJkic2I,11,https://p.scdn.co/mp3-preview/f29b1613c4417a381081feefad41c91ca7f73e08?cid=fa83a2fec7c440b7a2795d600d6b2c7e
57,Ghosts in the Shower,3aw7xmyJt513pNVSUx7cpQ,Chong the Nomad,586OHhbBhXRpOY8LezbUcK,Ghosts in the Shower,23wy33pMOnyAJVCpU8UFQv,38,https://p.scdn.co/mp3-preview/a31da9f9169b448712ecddd1031ab0e8881e1f11?cid=fa83a2fec7c440b7a2795d600d6b2c7e
