Sweet Soul Sunday,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,432396,spotify_uk_
1,Delilah,2MOsa4NltIx6KhJPaDhWAl,Aeris Roves,1O5IeYqvtwnWzlNq3Ux3jd,Moon By Island Gardens,76XVjqkXUROffb5jrbdeOK,56,https://p.scdn.co/mp3-preview/00c2ab5f6d74fbd6df4f9d092b4d98e15a67eaaf?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Let Me Into Your Heart,6HfXfC5aZR5fZq8Ag50lVI,Isaac Waddington,4ebKlOJFmoNuBQLKSEGDuH,Let Me Into Your Heart,0uVffzwyBDvOYbh8IrVVEc,49,https://p.scdn.co/mp3-preview/7d3579250f2c33aea1a323dcfbf630682e2555db?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,You,7h1GRMK9eeVwjYNl3VnEBE,Hamzaa,3TXjnAw0sg1VVdnR9fGdBs,First Signs Of Me,2vIJ06C2k4jqCL4jT5ckfo,47,https://p.scdn.co/mp3-preview/c6051842dd7e5a5645d316419fc7ee53056a2836?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Limbo,613oIUXt3mei6b747Ugbvf,Joesef,28EyduqESEOVMO6vglvaUZ,Limbo,02gmwXM8cg2Ly0qL7YqEBj,10,not available
5,Mind’s Eye,3UYKvI6JYzkp8eep9fcWT0,Jordan Rakei,24icoQNJSEWNu3XvqKBR68,Mind’s Eye,6KkwKYVuL4LmQyGelCjhUO,22,not available
6,M.P.B.,0w4QlIOtXEJEPvftQo9VSe,Womack & Womack,7qShKycqNUP0GLEiTENDVZ,Conscience,1Ekl9JY2EBWZ2xzR2Iog7W,55,not available
7,Lying To Yourself,7jpLx7Y8GCLvXwSQZ6qhQf,Lily Moore,1SQeTDXO492WB6aFvrntSS,Not That Special - EP,2BaKMdx0fIY62NkZchjxKk,51,not available
8,Ready When You Are,6YdWqo5fvo8VXRcELskCfK,Mathilda Homer,0uwGk8b2zINQFSKiLbK50Y,Ready When You Are,47sSqdqjxUwfqhfW6nNpdI,47,https://p.scdn.co/mp3-preview/71a4afc9c850812d4edabe0b1de67a4dff0e71e6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Try a Little Tenderness,0JykQXWGNwVGjV2HleUPuo,Pip Millett,1QfEfvB62EEl4upf2ANKkR,Try a Little Tenderness,7pNPnsQmwf86kDUcUbJQH0,49,https://p.scdn.co/mp3-preview/95300eafaad5d54005af9e2b7b7b0286d8895c79?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,Strange Roses,6JUZ97uMRSB2bKr0CMKyys,Ady Suleiman,5LuLeXlnT2jFxbx7Cg7j88,Strange Roses,704YDMBOnxoCOyEdYgSLu6,49,https://p.scdn.co/mp3-preview/fc3a2ace7c6907330955e313259071de5028c552?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,Lost in Paris,6lxcWIvMQK3yezxwFfZcKZ,Tom Misch,1uiEZYehlNivdK3iQyAbye,Lost in Paris,3OGqx2jmVKVkKOIOxGjOQC,57,https://p.scdn.co/mp3-preview/1683441657b333aa5feb5ae36891321696a10ee4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,Strange - Edit,5Ck2pBM8zZNIjIxeiEiVvy,Celeste,49HlOY4gkHqsYG9GCuhkcc,Strange (Edit),30vifvgruBQrs9w7fA1feh,58,not available
13,Probably Sorry,72VSo5LGhQz24MlULSh2G7,Mathilda Homer,0uwGk8b2zINQFSKiLbK50Y,Probably Sorry,143RT46s3JeoVZR8agkqQu,45,https://p.scdn.co/mp3-preview/ca69ec82b5da759c6f74b014e80490588147a182?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,Make It Better,2hUIF6VPqiEq9gM62UFwDI,Isaac Waddington,4ebKlOJFmoNuBQLKSEGDuH,Make It Better,3GC8T9ogmfsFxTM10twnH5,46,https://p.scdn.co/mp3-preview/9136ffc3526fb03622808dd7a4360fbe375fc797?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,Man On The Wire,5zIFXIDLeMcQCVy4uNBwNG,Max Pope,1pW42WHCsBicnNoBkcbD7i,Man On The Wire,57mIMGIvsGvhloXwoNC8aj,46,not available
16,Goodbye,0g7kI1eH14OX3VEftVuPT9,Tolü Makay,337qYJNRgFq2iddKtqiHDG,Goodbye,5KqOA1QqJzkFSLeSkMWBYo,42,https://p.scdn.co/mp3-preview/bad1ad4b80f47af1200d5592587b15bfe85715ca?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,Love The Things You Do,1ONzZIqZm1F9dEOPMDjdEi,Pip Millett,1QfEfvB62EEl4upf2ANKkR,Love The Things You Do,4PWJm5KgebAlYm2c1pg11p,53,https://p.scdn.co/mp3-preview/332df6f062cb38650b6e1d75f3c9b2777edf2e21?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,Mixer,58pJZsMEPXmYX8gvXWyt3V,Amber Mark,0tbeZu9lv8YEKSQ9tZSslu,Mixer,6xPqva9kzYP8usdKOUiHdn,63,not available
19,Almost (Sweet Music),7nDYw1nNAW4dAqgmW2W3tq,Hozier,2FXC3k01G6Gw61bmprjgqS,Almost (Sweet Music),2k7vcF0Yr1drY0YsJQAACa,25,not available
20,Devil's Juice,0snSmazlzJYdVZrTxmomMQ,Poppy Ajudha,6oPQiSj92N4mk5jXLtX1bl,Devil's Juice,1UTSfCJYrSYMFMQf8XGTsn,44,https://p.scdn.co/mp3-preview/0426c414004d38b2fe2e6da92e1be6541ae47664?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,Chocolate Brown Eyes,3FTAtF0cSGFTsPGOxdEmAh,Salaam Remi,0rlS0SzVFk8BoiAW0fGBbN,One: In the Chamber (Deluxe Edition),2vHNgHUCVVoiuBQQXT0wzu,4,not available
22,Who Saw Who,30Ft8JWX5NA4YI7QRI52j9,Tara Lily,1bt3qLrv0clLAZStcQf4zy,Who Saw Who,32CWCM5EJIjSPeYqlPzq6f,42,https://p.scdn.co/mp3-preview/fb1c8af38431e5c0645b8b52ec7eac86e12d53ce?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,Under,1s5SLEd0djUCuyQ5Wz35tQ,Jordan Mackampa,24WPEGLYPvEsmk4GSDFyST,Under,4hMN0yProqPlOvHPn9kxKM,46,https://p.scdn.co/mp3-preview/462183ac3ea0f33234b87c2a3a06550bc9f0c086?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,Don't Give In,62aWvmFONlusEPthH5CmA2,Joesef,28EyduqESEOVMO6vglvaUZ,Don't Give In,4nkVzPcDX2u2X9NDM2bTck,52,https://p.scdn.co/mp3-preview/e831bef904cc8d48b46ef73f556d52a512584e89?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,Never With It,1WmqVEXa1qiqyb2JbYb2Nh,Izzy Bizu,6b5YOgXIliAozdo49vUCJQ,GLITA - EP,4IXfPOkwd4JbnuNadooK7x,40,https://p.scdn.co/mp3-preview/7d452bcbc76ba97c7e8c4935f4205a7fe51d9d2a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,You Saw The Devil In Me,3MTNBnVNiC3KnxyZ2LXfc2,Liam Bailey,022EiWsch2zvty0qBUksDO,You Saw The Devil In Me,1N1ctMzZxUskZddjnUNFF0,41,https://p.scdn.co/mp3-preview/e236978e3c44b6322400b965b9c288db3d078150?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,Long Way Home,23VdpjPPUgWscU45SAZFIM,Durand Jones & The Indications,6TVVIyd0fsRDGg6WzHKyTP,Long Way Home,2wTI2Oc4lMH7NEPeAx6mRo,44,https://p.scdn.co/mp3-preview/c4aa6282c0bfaea34887032bb1bdee9b71bfb772?cid=fa83a2fec7c440b7a2795d600d6b2c7e
28,Jenny,664SzaC9wvcH9fGdZ6uwgS,Mae Muller,1BEUkE2CSUgHTLSBMZdnFB,Jenny,6xWNMRm3U3vyPCj1pVUID6,12,not available
29,Loverboy,7DHrin6fl2RV6ND1k3MF9y,Joesef,28EyduqESEOVMO6vglvaUZ,Loverboy,7w3ggwVB0OqAGFkboiozRS,57,https://p.scdn.co/mp3-preview/3f697d5b9cff8ab986b3e7b82233dc571eaa7ee9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
30,Don't You Remember,1Gs6ykVBp9dZFyG8ju69Oh,Jalen N'Gonda,2kEDso93O2hDgCbnuiSkkZ,Talking About Mary,3BzDWMRujwCzXsCHjWAaSg,45,https://p.scdn.co/mp3-preview/f5b168a0a31ec3e978e68800a9021f2772c66efd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
31,Silhouette,0WJ0pQmEdD8TVapiIAMouY,Grace Carter,2LuHL7im4aCEmfOlD4rxBC,Silhouette,5nfcaGzk2wBjCgrr6Xq0yF,11,not available
32,Lights On,0vpBmYdeqltCcOpufZCLcx,Izzy Bizu,6b5YOgXIliAozdo49vUCJQ,Lights On,36VDrxmWufPuIHVDCPbc5G,53,https://p.scdn.co/mp3-preview/695549c0e1face0ea3dbfe1246e28f83726ebb04?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,Rolling into One,1Y0VabpBsbn3ovrvEtjBKE,Jordan Rakei,24icoQNJSEWNu3XvqKBR68,Rolling into One,1UkTzXAw0kkxNGopeJiY1n,19,not available
34,Hot Water,4jHXc04Viw5h8QXWkGP7mu,Talulah Ruby,2TNbAqw8Vycd0xtFz7RWzZ,Hot Water,5LcIHgfQOHIr61bAueX6MG,38,https://p.scdn.co/mp3-preview/9ac6a6273d71558434b6ba4531b6a9aaf847f244?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,Selfish,2G2k2ZFsQkIEkAWDTvqHXM,Little Simz,6eXZu6O7nAUA5z6vLV8NKI,GREY Area,4Wwm4xg2748zhYuzDRFTgY,63,https://p.scdn.co/mp3-preview/8278bf516017c9b3e71102edd458865135967dcd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
36,Pretty Insane,4qiMxocFymeATNBYItzHcP,JGrrey,66rDbD3tWR3M1uNuIaDAGx,Pretty Insane,35JxRBAsRb3mcXIxie3nfs,47,https://p.scdn.co/mp3-preview/2c5202fd6741967ac518efa32113bb760872aeb6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
37,This Is What We Wanted,0CM4wMAt8xIsGbGUbEl8Ie,Izzy Bizu,6b5YOgXIliAozdo49vUCJQ,GLITA - EP,4IXfPOkwd4JbnuNadooK7x,41,https://p.scdn.co/mp3-preview/6d386d352a37d6aa2c1653fb4e19244b2271ca0b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
38,Lately,32NYAJbqdosamESI9uotLe,Miller Blue,2soHr8jGZ0ATxc6X6BgmbA,Cotton,0L5UjNm5Pv2eKa3K7uskPS,47,https://p.scdn.co/mp3-preview/5e3391be2b2dcc507c54166d17d5d121745fecd3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
39,It Is What It Is,6SYoRoUpmoNExhrZdfbmU4,RuthAnne,31rVRoX5ZG9ZyRbHvlEwjA,It Is What It Is,05FGnh87wuyDU0TtHordoB,44,https://p.scdn.co/mp3-preview/967afc86a38f14ad4aa5aee95e2a67fd6d69b728?cid=fa83a2fec7c440b7a2795d600d6b2c7e
40,Mother May I Sleep With Danger?,6rZtlYru44l92npSBTbUN7,Joy Crookes,5XMyhVhi5ZN2pi0Qwi1zXS,Influence EP,6znFcVbDZJpb6w4bSdRrXv,58,https://p.scdn.co/mp3-preview/ea2190981d75d9669f80736fb259169ed5a0176d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
41,Glass Shards,1Yhkq1TUW3d1WYyhS7Vt9g,Laura Misch,0NrVrf231eji48nhNUJTXe,Lonely City,7067zgNsGbFQdkyS6jL1wn,48,https://p.scdn.co/mp3-preview/4ac08c887437213c0886d844d5882b081881033c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
42,Make It Better (feat. Smokey Robinson),0BhvzFxq3FHiMdGcLiTphr,Anderson .Paak,3jK9MiCrA42lLAdMGUZpwa,Make It Better (feat. Smokey Robinson),2uiF3HvWDxAMupxCZ8t1VY,21,not available
43,Signs,5dcmPu0g6AuvR8hWsSIiCp,Jordan Rakei,24icoQNJSEWNu3XvqKBR68,Origin,7fn4t6YrZzqowiab2fugQK,53,https://p.scdn.co/mp3-preview/b48b073e9fad18bbd3a5dfe90210274896f9f235?cid=fa83a2fec7c440b7a2795d600d6b2c7e
44,Salt,3kZQJmj3P21J3ozco0LaUC,Sophie Faith,4LR3BRvTeWCiS1l16TqXVh,Salt,6YvZk4M6cF4GDHj42h871G,42,https://p.scdn.co/mp3-preview/52612abc4edf14498961276b537f363c5b405020?cid=fa83a2fec7c440b7a2795d600d6b2c7e
45,Sunday,3QysXZ7h7NIsi8WAusDCBR,Easy Life,7uwY65fDg3FVJ8MkJ5QuZK,Spaceships Mixtape,2sJpAWgdzITssIX4qeuifw,59,not available
46,Only The River,0OpuLpm4RWwZ4cZi3nz5cP,Alex Abbuehl,1gEjnEOtdOQE8OnnxlFRaM,Only The River,3B27QZhpGZsDnbZHIdonpC,50,https://p.scdn.co/mp3-preview/81775b48404e995e43a4868be5359825e8e4ea44?cid=fa83a2fec7c440b7a2795d600d6b2c7e
47,Like Sugar,0lWEatZXBBYUzEQX5aMeSj,Chaka Khan,6mQfAAqZGBzIfrmlZCeaYT,Hello Happiness,1QRhPsupQCDlD9EwTWumSA,61,not available
48,A Song for You,5spAjqC772iC2KzDvEkmSr,Donny Hathaway,0HU0U9kdXEHZVxUNbuQe8S,Donny Hathaway,4yzozr59813IAXnxhWUl7i,68,https://p.scdn.co/mp3-preview/03420ade331114ca526cc3cbc7fc7a71f11f045e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
49,How Does It Feel?,7nnz5nWr6iHtiEhH3a22HH,Samm Henshaw,1Q2mS59tFYLm2KGFoCgWN4,How Does It Feel?,2A3eHBDREs2rP4G7u9Gd9V,59,https://p.scdn.co/mp3-preview/469716bc2b65dee12b9596d8b45d1a2a32168599?cid=fa83a2fec7c440b7a2795d600d6b2c7e
50,Mama's Boy,6clKHZhRK9oYf7hSmmgPEX,Rachel Chinouriri,4wrzxtBZw20ufDstKyTnnP,Mama's Boy,5eJ7v3cfgDxwwGMSqh5PGj,41,https://p.scdn.co/mp3-preview/853f6abbfe33a525b6bd52dc3f4d64980b2aa0c4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
51,What Am I to Do?,2HtpC9dJ6jOLa4OMN0nnfj,Ezra Collective,5BRAUN0yN8557PLRZIr02W,What Am I to Do?,2e4B1dudmjNKztr1qBEA7N,53,https://p.scdn.co/mp3-preview/f8cb91f1a67c4e7c2782e237b9dda7c3d99b1aaf?cid=fa83a2fec7c440b7a2795d600d6b2c7e
52,Tears Dry On Their Own,6yLX8QnxlnEqZfs3YKCfjF,Amy Winehouse,6Q192DXotxtaysaqNPy5yR,Back To Black,097eYvf9NKjFnv4xA9s2oV,72,not available
53,Jet Black (feat. Brandy),70pZIQqQ37SrNCADx0FiPN,Anderson .Paak,3jK9MiCrA42lLAdMGUZpwa,Ventura,0YF8PfcGbsKg5IaFyPnlyY,69,https://p.scdn.co/mp3-preview/6707d744a11d14437601468f46935ee9a28a33a7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
54,Whatever Comes to Mind,0ntyYV99MFp7f7MGZlwYj4,MorMor,63vaeIIBKIe9zT91EORVbr,Whatever Comes to Mind,7i0hz2V6eKGFBqrvJANFsN,60,https://p.scdn.co/mp3-preview/c240ed8cd26dc8357921c6884fd5b6fe51f25f00?cid=fa83a2fec7c440b7a2795d600d6b2c7e
55,Surprise Me,5deVg0xkVdJQZ8at6uuNwB,Mahalia,16rCzZOMQX7P8Kmn5YKexI,Surprise Me,1id1lg4koE3zjecZSqBdOE,59,https://p.scdn.co/mp3-preview/ddd7d699f685c85d8be12ab98f99d7ba217991fa?cid=fa83a2fec7c440b7a2795d600d6b2c7e
56,Cold Little Heart - Radio Edit,7KX65PC1UZuImsUInThbav,Michael Kiwanuka,0bzfPKdbXL5ezYW2z3UGQj,Cold Little Heart (Radio Edit),55A6d8TOuiAs6zDiKj2c3A,73,not available
57,Paralyzed,4db80a53ijoTpZwZ0DTbRs,KWAYE,5dIssYf7lu8wufkQywN9WJ,Paralyzed,2gFCo2FU7jmB3g0OWJ2qEl,31,not available
58,Better Off,1rmxutSgq9DOSPmQAN0Vs1,JGrrey,66rDbD3tWR3M1uNuIaDAGx,Better Off,63FAPe3pCgL3MVdxci1DEe,44,https://p.scdn.co/mp3-preview/2b3ce7c61888f8bed723e07bfde8660f4db8aa93?cid=fa83a2fec7c440b7a2795d600d6b2c7e
59,Good Enough,718qSz1RKYo2VRQnGDXjbJ,Rachel Chinouriri,4wrzxtBZw20ufDstKyTnnP,Mama's Boy - EP,1DdkJAbrQethx3OnWtyNQL,26,not available
60,Bad Bad News,5CDrDzan4wRW3Dj4LD6meH,Leon Bridges,3qnGvpP8Yth1AqSBMqON5x,Bet Ain't Worth the Hand / Bad Bad News,7Csuf8rJjBOP4GK11pPCw7,58,https://p.scdn.co/mp3-preview/82b8702aa0cd4995ecd7ff37ead0fc9406e24033?cid=fa83a2fec7c440b7a2795d600d6b2c7e
61,String On Me,1uwSWf42TQ3ZvBAioIvGzG,MAX RAD,2Igm79AVp3dCbQhfF6I60Z,String On Me,7BjFCzQ4hmf1S7yvwUd7pd,42,https://p.scdn.co/mp3-preview/5aa1be8fd08bf8e25f2ffed4ac4442a5ef66e5cc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
62,Golden,03UZ8fbo1heGpeeVI380lY,shiv,5rxxzsO9zojzg0FfWVmIv7,Golden,0hNccp1ktroLsmDFPvUh0l,42,https://p.scdn.co/mp3-preview/a594c201b8160099f052fa9564db678ae9d82528?cid=fa83a2fec7c440b7a2795d600d6b2c7e
63,Hurts the Most,2Deded1cp4GM0jFR2Koflp,Rationale,2IQDM5URYGYfSMmwhTCmyy,Hurts the Most,0yTrrzTeqYQhYriOCaNH22,53,https://p.scdn.co/mp3-preview/0d6779e5c0520a55c6020c1d36010b863df9c351?cid=fa83a2fec7c440b7a2795d600d6b2c7e
