New Music Friday UK,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
60,Please Slow Down,2kOCDaHjAcqCDKTGsdlOsV,DJ Seinfeld,37YzpfBeFju8QRZ3g0Ha1Q,Parallax EP,3X8JO9msUK4tG6jIgTrhiH,39,https://p.scdn.co/mp3-preview/9b3739bf8191529bfa6f037652b0c17418c9615e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
61,cotton candy,1W6V7EnlPyk6iBqpqn32lx,iris,5jOiYJPp5e84cnK2KO1aNz,cotton candy,2OKFGj2jSRHw1nkWk35RV7,42,not available
62,playing the long game,3KEutvjpeSo7yqSSMQE0QH,Panda Bear,1R84VlXnFFULOsWWV8IrCQ,playing the long game,5sDdWnnTBeKSwfLZDF6o3i,48,https://p.scdn.co/mp3-preview/b42b2522285c92e7aae6c8720d7f8c623db1b831?cid=fa83a2fec7c440b7a2795d600d6b2c7e
63,Vanity,3I7axpzCW6bt5PhoM8kfrA,Jack Larsen,1UGH6A3IionoSVLLmqtl4o,Vanity,6FUrjjRfCi4MA9iI1BoLls,49,https://p.scdn.co/mp3-preview/c46e6c8f4efe89548d051a281249152931b64bea?cid=fa83a2fec7c440b7a2795d600d6b2c7e
64,In Good Faith,6llUGOubvMqi0uv0IpV8FP,"Bonnie ""Prince"" Billy",2zAvisjImPICTNsRgagqlV,In Good Faith,3LCDivwvpEz2oZ9icY8nun,29,https://p.scdn.co/mp3-preview/398dcb79f97e043fdd4908db55c83c0f3c1e6752?cid=fa83a2fec7c440b7a2795d600d6b2c7e
65,Boutique Taberna,4b2n87YqBfoYB0buEOOF2h,Toby Johnson,6aWiYkCceJsc6lorPBdvIg,Boutique Taberna,1KO5gi80w7uduNwldAySzu,33,https://p.scdn.co/mp3-preview/f5a4843cb41bdc89ffa82228943ed20f5ee6656e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
66,Make It Mine,1FuXGgmkGaeyyoLgK9QQ4q,Zubi,1u58ZRn45A7jc3QmucALbY,Make It Mine,6vc9isS6yke1z0O4pXySNr,27,https://p.scdn.co/mp3-preview/6c6f458d848aea3ab954ff1917471fc7722e1bfe?cid=fa83a2fec7c440b7a2795d600d6b2c7e
67,Shadow,2Wld3b6jIFZBJSvaUZesV0,Pat Lagoon,4WaDfJax1AahnapPlsWsDs,Shadow,0F0Z11qlbW64hzmPI2SXgC,27,https://p.scdn.co/mp3-preview/c3ec10c2191266a9e42f3b01dbbf194fb4903d5d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
68,Two Hands,6sScx7A12QirSJmHtb7pNJ,Big Thief,5QdyldG4Fl4TPiOIeMNpBZ,Two Hands,7pg8T6pajjHVZbiyB8bGxo,55,https://p.scdn.co/mp3-preview/adab9d88ee8d0ed012f7db104d5678f8ecab5367?cid=fa83a2fec7c440b7a2795d600d6b2c7e
69,Beauty in Disaster,0rnrEtB5kutH4b99WMmi2I,Dan Owen,3wrdNgjTSLLQZ382sPyoA5,Running to the Hills,7vpdvLJntIVyvVhdrZRkdt,33,https://p.scdn.co/mp3-preview/50cddd7fce8f07fa46e1588a0b0fa5f7c8237ab7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
70,Crazy Life,7A7JJmUjfOkxrrqiNneHA1,Cam Wild,3B2UGPQpqCxaQYMbShrgmn,Crazy Life,6TocVeXmTHcMLO1C1PDSPT,41,https://p.scdn.co/mp3-preview/ff296f217d2ca77c0da63626dae0a624e914b9ac?cid=fa83a2fec7c440b7a2795d600d6b2c7e
71,Condo,6h3OTSLTJubOG0RLkIW91i,Afro B,7oMRcCu0OYSCtCyS3P37iC,Afrowave 3,79dXMRWb9dGw08ud6M87GH,51,https://p.scdn.co/mp3-preview/b2b0f8cd60d58035debbd8ef302c42b0748783ec?cid=fa83a2fec7c440b7a2795d600d6b2c7e
72,Moving Parts,68VomBfmkEF0y60dGtFKFo,Julien Chang,0QwAWEp3r3Ut1dYNQb7JzS,Jules,5CrfOybAAx3Z8pNP9iTZ21,27,https://p.scdn.co/mp3-preview/e9995f42bf02e05dc80c534e7816f587233f8e70?cid=fa83a2fec7c440b7a2795d600d6b2c7e
73,Molly Malone,1dx0FhR7lkWj6njCXUvpYF,Louis Berry,7xn0Wut7w2BtP54HBd6hzf,Molly Malone,2nBAC1uqX0hL1dbMgG4QER,35,https://p.scdn.co/mp3-preview/faf4179fcec3c10a87986dfc3db521d21f333ef1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
74,Full Send,1bKLxdg9QOkwcOy3PYv7Fk,1991,2IP71LH7CbwddhsEXBI0fy,Full Send [UKF10],73hIrA5CbImz5wN4QSXgYy,43,https://p.scdn.co/mp3-preview/e595ae29a13e479656223b982b34128f6f149b8f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
75,You Can Feel My Love,3M7swxMtIQIeghgpA66nM2,LOGUOS,445lDxSkYtHIl3mtGRRl5U,You Can Feel My Love,31jAxJLFfrXohdlcUeOnVe,31,https://p.scdn.co/mp3-preview/760e44fc5fa22101184a0a455c43512bbbef1f49?cid=fa83a2fec7c440b7a2795d600d6b2c7e
76,Cat Dance,07waWhpTGlNDScZUseZqjp,Babeheaven,0RlWCq8bq0lJgR6ZTvcqjQ,Suspended Animation,7urckJWlla5DIYoyENg1vh,31,https://p.scdn.co/mp3-preview/b8ee0478d3a26addff0310fd159666f4f79d8f06?cid=fa83a2fec7c440b7a2795d600d6b2c7e
77,Can't Love Me,2xeGM3UGxt7RPxzMexXpeq,Kaé,0MlVpngXutOAKCM9Bkaj02,Can't Love Me,6KPR81GHQfFgaGpIqE81gW,28,https://p.scdn.co/mp3-preview/7b9b992fb9ef020a25492cca7197d20231cfacef?cid=fa83a2fec7c440b7a2795d600d6b2c7e
78,plastic knife,3Rb21cU0Oq1AP1LxBWi7VK,ili,4Yn7SW1ERvmPwQHPMiv8t4,plastic knife,4HK4BS3sBmZmM3RXucwIkD,30,https://p.scdn.co/mp3-preview/e56b1293d4d0d8754b143e384f1ed62ac810757a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
79,Ghosted,19Y21nRBFTdoAuySde7JCQ,Lost + Found,5mRE8kKA1XzOkZpPSiF5yv,Ghosted,6tJ6nhu4pqisNrL95Ahzmg,29,https://p.scdn.co/mp3-preview/49b1786aacb9f7eb16621f00a9d613303b70a88c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
80,Certi (Move Your Body),3fmMWiRMWqpfp4mYr2K6Pj,DJ S.K.T,05z4P0nQO00HG5WeErugd0,Certi (Move Your Body),6q5bGHmbT3prDCXFeUlo45,36,not available
81,Girl,7JZsCSCCHIBT40GX5Zcf6O,Girl Ray,0MoDfakkeeD4FwftxAXwEd,Girl,6SqBL8JlUuyzX3SR6nTQYf,34,https://p.scdn.co/mp3-preview/6f6d30ae5ecd59a0b3e2cc299021eb157bd92e1f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
82,Tried to Love,4sJutC2CvqWHzTzSZC8ep1,Madism,5UUdxfBMwm0hLlLgnZtBFv,Tried to Love,0UE1NgQShQFkOuSux99bJG,44,https://p.scdn.co/mp3-preview/fb8a2c5ed8d81dea3554f0a95af008fff19a4975?cid=fa83a2fec7c440b7a2795d600d6b2c7e
83,Monochrome - Portrait Version,1InFVFQbpfOiYw8C1rk7Ll,Yann Tiersen,00sazWvoTLOqg5MFwC68Um,Monochrome / Introductory Movement,1FTYcTFgXRMR1TsvrYFHwV,45,https://p.scdn.co/mp3-preview/a23c2ab4f8735073d4b5b0842382a2323198468d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
84,Freak Like Me (feat. Melody Thornton),4o68Jw0pYx8zFDwEgIGLDM,Harrison,58O8UPrTdl4u2buM0skj94,Freak Like Me (feat. Melody Thornton),68pdWeHPYZpKEZivriyKNN,37,https://p.scdn.co/mp3-preview/933822ec3e666e9294dcd9f7e2f39dd9083c489a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
85,Hungry Baby,7yjpux2zHz5p0Fv1BNXlAd,Kim Gordon,3n8qeKQViV1waeCzZmS4Tx,Hungry Baby,7y0FXbTyTXizY3u5pw7Ybm,33,https://p.scdn.co/mp3-preview/a88a034a344ccedeeda8aeb313f34602439a2a8b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
