Easy,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,309897,spotify_uk_
1,Stay Young - Acoustic,4JTJPnMP8bgByqHG6c0QMA,Maisie Peters,2RVvqRBon9NgaGXKfywDSs,Stay Young (Acoustic),4ipKTh2wh5ib5lXqaYHbIY,53,https://p.scdn.co/mp3-preview/423e6eba0a3f4ff5caffe7eb8d3b0470795a738b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,when the party's over - Recorded at Spotify Studios NYC,6H7fWtwEUHVfTyZD7zeG4w,Lewis Capaldi,4GNC7GD6oZMSxPGyXy4MNB,Spotify Singles,65mtbxKKczJgxPUeyVPUrc,77,not available
3,Bad,3xRcQ04b0l5RiU2w7lJhCD,James Bay,4EzkuveR9pLvDVFNx6foYD,Oh My Messy Mind,2aIsEIVLrAP75xdEhdVm1d,75,not available
4,Castles - Acoustic,7gVS92mQ6SBwxpl0bSQSTd,Freya Ridings,5pDjmC5mRl7vDJhsjVwNfk,Castles (Acoustic),0bX0JvaS7M9f2x1VvICVxj,56,not available
5,Sing It With Me - Acoustic,5VoAmDgLauPPfUNcVasc6G,JP Cooper,4kYGAK2zu9EAomwj3hXkXy,Sing It With Me (Acoustics),1XK0ARZ0qqFBLfH1IoA050,57,not available
6,Favourite Ex,1a1SQeSqUKzH5OUVTEx4ae,Maisie Peters,2RVvqRBon9NgaGXKfywDSs,Favourite Ex,0hIIlNhG6PZoQxCmSA24Uz,75,https://p.scdn.co/mp3-preview/57c84d691c92ed70eec76175eb2c67eb1bacb924?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Better Half of Me,114xcQz8sZ6fxRBTZmgmNE,Tom Walker,7z2avKuuiMAT4XZJFv8Rvh,Better Half of Me,3qMdA1s9e4FiWOlVFViq20,68,https://p.scdn.co/mp3-preview/399031dc531b563a49779932cac87f9c9f161d85?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Meant For Me,6qwGdW7MnqS7n95YOTKFaT,Lewis Watson,40ELTAg7Kg6vbWnlyx2n9R,Meant For Me,6Ayd3EDMuxdmmjEC6PGCMO,28,https://p.scdn.co/mp3-preview/353a8f23611af57e9cf80075b4056d1a5193cb02?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Isla,1q8w8yw4JRO8k1iMWJDiak,Toby Johnson,6aWiYkCceJsc6lorPBdvIg,Isla,28s2XfmPA5wWVgWQC4JvEe,51,https://p.scdn.co/mp3-preview/2c98f76c62c1ab67f560e5038db0b653373fd184?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,Best Part of Me (feat. YEBBA),5ug4vqGZ3eisGhY1IsziNX,Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,Best Part of Me (feat. YEBBA),6Z5DhADmyybfKNdymaPLjB,79,https://p.scdn.co/mp3-preview/9b06d400381716c72ee93e5d1db73b2e21158e96?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,Memories,2b8fOow8UzyDFAE27YhOZM,Maroon 5,04gDigrS5kc9YWfZHwBETP,Memories,3nR9B40hYLKLcR0Eph3Goc,93,not available
12,All That Matters - Acoustic,5tAkpRX2FCx8XWQOzb0zBL,Tom Walker,7z2avKuuiMAT4XZJFv8Rvh,All That Matters (Acoustic),36t1ObyoXjycfyKsYWHdIr,64,https://p.scdn.co/mp3-preview/36df58302074efc179493709bd5c62c7a2b83cbf?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,What If,6uPvKfUXdKD6pIVoO4rFaL,Rhys Lewis,4T2k9bgIoC8bbqjqiEl9vZ,What If,3coczD0Xkl7liE9cjvqX3R,66,not available
14,Love Again,6sVDMcXr4vS3OLqmJpfQne,RuthAnne,31rVRoX5ZG9ZyRbHvlEwjA,Love Again,1pHHBKK6bzn4eJHEUgJAnk,51,https://p.scdn.co/mp3-preview/c386317b1bfc2202559323616751d81c8ba9a949?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,Unconditional,2Z7UF5qoyCU6Ksnf6aTMOs,Freya Ridings,5pDjmC5mRl7vDJhsjVwNfk,Unconditional,40icOTpSW5lDFI2kyYHEkU,56,not available
16,Have You Had Enough Wine?,0HYbvIaLKFmIcyYYhtnWZE,JC Stewart,2TAqN8fwfaKauvviN4pOsv,Have You Had Enough Wine?,1rkoHNhJ9n0ZCRa3cspddw,55,https://p.scdn.co/mp3-preview/ecddf4f5f5991d0b1d01c04bdade9e87f08367a1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,Roads,00NT7AC3LGEHSjZlbrVhXv,KAWALA,58bHgbHOExsHSOGlf0uUkL,Counting the Miles,64gzaoOwHHBMz56wojifot,53,https://p.scdn.co/mp3-preview/cb8e1db87820005f3468bd50ea19839f715d4cda?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,Sirens,1EVus1vgkvjSZ7AGXTjMbX,LORYN,0ryyI8NGZJ4MLeRfwbkODZ,Sirens,2Hl1GmsR6cRLFmQUqpdPZ5,52,https://p.scdn.co/mp3-preview/00d491fcb86829d194a2eb6431f51fea3081208e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
19,Outnumbered - Acoustic,7FCdJdGEOBCHqZAYRoZAWV,Dermot Kennedy,5KNNVgR6LBIABRIomyCwKJ,Outnumbered (Acoustic),4nk0xj3tr6st2yzimGINin,67,not available
20,Sixteen - Acoustic,34a6wCNRt95qBFFFgldBzy,Ellie Goulding,0X2BH1fck6amBIoJhDVmmJ,Sixteen (Acoustic),4OvekmYzZEvqeitu4okDM1,60,not available
21,Come Home To Me,2K8elWg8ihrZRwZJ7Gy6L3,LÉON,4SqTiwOEdYrNayaGMkc7ia,LÉON,4rH2e0qPw9MrwOSdk9rKNe,69,https://p.scdn.co/mp3-preview/32c5a5e057154dd0dc6c99961c05a63a928ef80b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,Now You're Gone (feat. Zara Larsson) - Acoustic,1LbQs9rh40ILgZxDIzcJL1,Tom Walker,7z2avKuuiMAT4XZJFv8Rvh,Now You're Gone (feat. Zara Larsson) [Acoustic],5r9pOFocQRYkSDLSCa09cc,64,https://p.scdn.co/mp3-preview/4d8d15579680948bb6afbed8206a543983db2d60?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,This Is On You,2oeYjGXqPooFVy64aoqrJP,Maisie Peters,2RVvqRBon9NgaGXKfywDSs,This Is On You,1BTAYKbh1kQaNRJ2TSC8I6,62,https://p.scdn.co/mp3-preview/d3c4aafc723b949c4e32409b2346ee7dbe144d28?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,America,2ydhxOqJQrYEETtWcuD06y,Mabes,1kTrYYWMLQsBKlbINUg1Su,America,165tYANcQE4kZWM0NHx6Y6,61,https://p.scdn.co/mp3-preview/c6b31ec30e0cbe4e4b9230061490a49030c462b7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,Apollo (New Love),2JLPTE5z1NM1x4dlM2xFt8,Tommy Ashby,7y1RS42LqlRYnpONXTjN3t,Apollo (New Love),2BVVCzCVeIISiALcGndu8j,49,https://p.scdn.co/mp3-preview/013542305f19d17065158a5ebdd5c5b00b0210f3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,Something Better,734x5kcTkpSZpsprjOYDNH,Minke,4fTWIwXX49PpfrhxBHfkkw,The Tearoom,1QK0HHI0VhzbCBvFEDSIG0,53,https://p.scdn.co/mp3-preview/8b67a0c4d2098058b408d90682abb4f38b99a209?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,Stay Awake - Acoustic,2U8kPpGTv8tAHG0CgqwgeA,Dean Lewis,3QSQFmccmX81fWCUSPTS7y,Stay Awake (Acoustic),4PkaHR7pETYGCOB2QocK24,61,not available
28,Slide Away,44ADyYoY5liaRa3EOAl4uf,Miley Cyrus,5YGY8feqx7naU7z4HrwZM6,Slide Away,0SHGFAL8WZUvpWb5iLPp6E,90,https://p.scdn.co/mp3-preview/0cff2bb99981e4c697a584cbac6f5225d08a1e3f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
29,Hollow,2dojP1uWh51PhLlTMYIMue,James Smith,543ccHFPnZfJMD8tRGPtu7,Hollow,2OcR5Lm3zfwpGKzQg6Gh8Q,57,not available
30,Faith,7GV76jsKLVPMNPA96mXu2E,ANYA,0LtICwkx09q0oc4VjuwJTT,Faith,4Fyu3D6jQNBCWcNy7sTjHg,49,https://p.scdn.co/mp3-preview/4a444e7a6f7a52bb28fe8778aea5f2e6b095aa4b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
31,Pick Up Your Phone,4hIppgm5PYoVIoGtCCSJnh,JC Stewart,2TAqN8fwfaKauvviN4pOsv,Pick Up Your Phone,0R4xeAX58W4xrgIQ9OIJ6q,58,https://p.scdn.co/mp3-preview/a612ea34285bc778bcc78d53df16fce7f38c1feb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,Unspoken,66MxyiQy54baNhSyg3wiIn,Aaron Smith,5Nm4sZeWDNd1sOs5HcxAbl,Unspoken,7kRUXMREmvFYqvh5IEZvmt,66,https://p.scdn.co/mp3-preview/a80886e018ef1ad07931e0b39ccb49d611c6b964?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,Rumour of a Good Life,7G0R0wTup7aDC4MOsIgHEb,Toby Johnson,6aWiYkCceJsc6lorPBdvIg,Rumour of a Good Life,0CFvAE9MUv3uTCM9LPOqjU,56,https://p.scdn.co/mp3-preview/b423845408faab63e52462a579f1962ea0f0c4a2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
34,Nothing On You,6kZ3abguPUHM0TVrtlO2Kr,Lily Moore,1SQeTDXO492WB6aFvrntSS,Nothing On You,6pbaswdUATL0b4sU3DyK0o,58,not available
35,Sunday Morning,0CxVnKu6PG6tYTGVtSD8UU,Hamzaa,3TXjnAw0sg1VVdnR9fGdBs,Phases EP,67yZd1xUTES5qFQT9XNwZG,59,https://p.scdn.co/mp3-preview/61c6c4ea9d74ef14fa559cb8c1e081684e9e92d0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
36,Fly When I Fall,6lT0DHecA1thspBEZX2X1y,Lewis Watson,40ELTAg7Kg6vbWnlyx2n9R,Fly When I Fall,17yCOtauWGE5jmzNq3t2bv,32,https://p.scdn.co/mp3-preview/9fe260f5f6d5974b961bc41dae6fd1062387a4a5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
37,Lover,0bzbvANY6oETSJLc0wlVGY,Taylor Swift,06HL4z0CvFAxyc27GXpf02,Lover,3rYkgtFOo9AlPaeKTtn6pM,77,not available
38,Rebellion,6TN16NlALSStfcyluPibNv,Ryan McMullan,4tqPTKknmeQK1uDEFVfX4G,Rebellion,5xI1fOuJnv6EfLT0hB1k6W,14,not available
39,Falling Down,68GFPHr5LtadnQ8wOtramJ,Harrison Storm,5Ld19xtpAR80G2boTcHaVx,Falling Down,4h7Qc4WQRLAuyuRxEEDFkg,57,https://p.scdn.co/mp3-preview/a41ec23361ff6938cc2df59d51e2cac4905a5d8b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
40,Why Don't You Look At Me,2MBzCVdCQeXEBOY5DHP2Nc,Lily Moore,1SQeTDXO492WB6aFvrntSS,Why Don’t You Look At Me,346YDCdt87WEGa2yEpWbwM,51,not available
41,Let Me Hold You,1KPOljIkYzuv98nBPNN8DB,Nick Wilson,09Z3wZ88af1pfyJxziESQF,Let Me Hold You,7DVLUz7sUgLhg8doKLDZwM,49,https://p.scdn.co/mp3-preview/b93e6d687e758a030d97ba02a36623ba49fbc690?cid=fa83a2fec7c440b7a2795d600d6b2c7e
42,Don't You Dare,4NCjNWpT35pN9LAWKn8sUQ,Winnie Raeder,1QnifH4HAt0yWP9A9IcoMK,Don't You Dare,7tGqLggvvGYev8xD1y6NY9,54,https://p.scdn.co/mp3-preview/e38eba44db218034fdcaa5a82ee6682e09232632?cid=fa83a2fec7c440b7a2795d600d6b2c7e
43,Where Do You Go,3pil7DXQmpnQcImkoF4wz1,YEBBA,1ooV8YZC1KbpEcrmI8WH0F,Where Do You Go,74SSHu09e4vyHHMGKfw2CL,62,https://p.scdn.co/mp3-preview/870022e7a34f4b3289614707475b7ff8b6586975?cid=fa83a2fec7c440b7a2795d600d6b2c7e
44,Little Love,7kuknPPa148Ex9XUpYvvIZ,Tom Speight,02U4dXZhGSo07f66l8JZ91,Little Love,2Q21uR1dGlu2eLpH6skFc2,52,https://p.scdn.co/mp3-preview/af7d4ffc9d574ca815e9bfa0bb63ab4f011f17f8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
45,I Don't Know You Anymore - demo,6QSH5lHbiKxOTqc9WSdi09,Sody,01y8iBZYk8aeNfPsuTVrAt,I Don't Know You Anymore (demo),0oEcktTBdE01o80o1ZSFsO,58,https://p.scdn.co/mp3-preview/579a6a753a202f5e7a55e35cdd725f94c53c4a7b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
46,Cocoon,262cfjvGP76taxiz0fKkLN,Tommy Ashby,7y1RS42LqlRYnpONXTjN3t,Cocoon,22ex6tXErVufAs9fBIpsIH,42,https://p.scdn.co/mp3-preview/34ab347272c8b2847b0f1ef83f58ff3892535bea?cid=fa83a2fec7c440b7a2795d600d6b2c7e
47,"fuck, i'm lonely (with Anne-Marie) - from “13 Reasons Why: Season 3”",322tcqPhma7F6hfCeLisx0,Lauv,5JZ7CnR6gTvEMKX4g70Amv,"fuck, i'm lonely (with Anne-Marie) (from “13 Reasons Why: Season 3”)",60sI3iRfHfu7YpcTpZ29W1,92,https://p.scdn.co/mp3-preview/f516b7ef3c83e390a1c965c5b3730ebe4a6c667d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
