Your Coffee Break,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
10,Me & Magdalena,7CAKy2TEByPCrt4A0SJb5v,The Last Dinosaur,69sFt37arbuC0hGSFAoWqZ,Me & Magdalena,5QzJTvNNz2iY3GGFKVqsxO,49,https://p.scdn.co/mp3-preview/712b675c6213957476956ebd4e7f3a8c44c3b786?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,Moment Of Surrender,4f25p7B3SRzh9Yep7o3w6G,Nick Mulvey,3x8FbPjh2Qz55XMdE2Yalj,Moment Of Surrender,3kjn9W0g15GXc6Dkgs3OmY,57,not available
12,Isla,1q8w8yw4JRO8k1iMWJDiak,Toby Johnson,6aWiYkCceJsc6lorPBdvIg,Isla,28s2XfmPA5wWVgWQC4JvEe,51,https://p.scdn.co/mp3-preview/2c98f76c62c1ab67f560e5038db0b653373fd184?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,Ran Away,78zr1MlCMHyqdwTC1LcXRD,Hollow Coves,7IAFAOtc9kTYNTizhLSWM6,Ran Away,3qROKPKW1RPxVDr0v32Kso,55,https://p.scdn.co/mp3-preview/dccf95addbacc5a00f0795854c88307e9d69c005?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,Uranium Heart,299XosbE5oAc7uSku5qBDB,Highasakite,5awQWdBpLqN2KFVRN8w56T,Uranium Heart,64alMmj6H1PZCD6C0TcOK6,29,not available
15,The Barrel - Radio Edit,3HJGY8vPq6zI8mEDl6a6K4,Aldous Harding,3lmR0qMiGuoIF9UC54egcG,The Barrel,266my6GRmoIUzp0eSEJX6Q,35,https://p.scdn.co/mp3-preview/d462944b9be5beb66d5c783324b29a22aaf06409?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,Old Days,0a59Y7aoq2FucM7Q6xXHFV,Benjamin Roustaing,5soL2yvcsjVjFBaAF4gcdI,Old Days,3wRXDBpaDaP8EV9ecDq3wW,52,https://p.scdn.co/mp3-preview/0ce48d44d0d1099fd62d009a232041ecf7596e2d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,Boxes,3yz6xWeKk5lPd4afjt02RC,Billie Marten,02YLJJnWC7YQVixkjEBRn7,Feeding Seahorses by Hand,6hGu9RB3CDDdorBicf4dMo,47,https://p.scdn.co/mp3-preview/94539946bf1ea6b7427060a91e14e31d05fcfeea?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,A Little More,4MjMWeU6r2aOrH0kqEVTTU,Peter Whitaker,20ummgOmQDjIjshUVQSmGa,A Little More,1VQFMUgQamT43hK4mmIPt5,48,https://p.scdn.co/mp3-preview/8503f2320ebcadd2b8039c70cbe6c51f58321451?cid=fa83a2fec7c440b7a2795d600d6b2c7e
19,Paper Plane,2LrtsB3zBZC8RFR18iM4pY,Pete McCredie,0Cgijkl49Ktl93nFDK9CTi,Paper Plane,5zzXs9auJI6W75bqwtVmZo,41,https://p.scdn.co/mp3-preview/eac73f7fa2f27b9de6059753d9e559855996dbd5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
20,Thousand (feat. Lisa Hannigan),12VVXFEYxro5C61KyWee9C,Rosie Carney,3Aut8hgiqZSy2qmJluZMU9,Thousand (feat. Lisa Hannigan),1NI7pFzmcyiQ9Nk8VDDvUS,24,not available
21,Safety Net,03UNcBiAtKnzjexA44CACP,Lucy May Walker,4GiM6Vc8u1qayXEAEdxPlS,Safety Net,2xkUGixwW5lH8vRecZZEK7,41,https://p.scdn.co/mp3-preview/4c50189f6d1c012ae07f7db4a65d82b045fc1199?cid=fa83a2fec7c440b7a2795d600d6b2c7e
