Alternative 90s,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,682209,spotify_uk_
1,Friday I'm In Love,4QlzkaRHtU8gAdwqjWmO8n,The Cure,7bu3H8JO7d0UbMoVzbo70s,Wish,0aEL0zQ4XLuxQP0j7sLlS1,76,not available
2,Tender,42cxPm9jgbaxIVN77XA1m6,Blur,7MhMgCo0Bl0Kukl93PZbYS,13,5YuZ4DjvtZBywtIbHIqtGJ,64,https://p.scdn.co/mp3-preview/86f00165c56a20a7c5839a91728a969d0fdbdb18?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Common People,0LEoCPq4QlV2h41Fm5ENJ3,Pulp,36E7oYfz3LLRto6l2WmDcD,Different Class / Deluxe Edition,1W0fmt3UzzyxvzRqvHoNFw,15,not available
4,Loaded - Edit,6CInKVeUjxZYpTLd177d0S,Primal Scream,3wury2nd8idV4GecUg5xze,Dirty Hits - Limited Edition,55vpieVkyI8wm5lQEasuQN,14,not available
5,The Boy With the Arab Strap,5GPPI3rnZDptLYRN4vTUoZ,Belle & Sebastian,4I2BJf80C0skQpp1sQmA0h,The Boy With the Arab Strap,0PnuQg8OK4KoOPrwhgyKRQ,58,https://p.scdn.co/mp3-preview/382fdd71cd9e1c17c760a65d92cd32d30d7c009c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Karma Police,3SVAN3BRByDmHOhKyIDxfC,Radiohead,4Z8W4fKeB5YxbusRsdQVPb,OK Computer,7dxKtc08dYeRVHt3p9CZJn,75,https://p.scdn.co/mp3-preview/5a09f5390e2862af1687f3671db3d6f84a813a45?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,There She Goes,4c6vZqYHFur11FbWATIJ9P,The La's,47Z8LEl3LnQkcpva0xSthT,The La's,1djwiQ802xeU8Q45jv1b0x,68,not available
8,1979 - Remastered 2012,5QLHGv0DfpeXLNFo7SFEy1,The Smashing Pumpkins,40Yq4vzPs9VNUrIBG5Jr2i,Mellon Collie And The Infinite Sadness (Deluxe Edition),55RhFRyQFihIyGf61MgcfV,75,not available
9,Movin' on Up,4vb5W8R6XHysd5oKSNUx8j,Primal Scream,3wury2nd8idV4GecUg5xze,Dirty Hits - Limited Edition,55vpieVkyI8wm5lQEasuQN,10,not available
10,Linger,1aLNpg2kKvUncflV8xE5AA,The Cranberries,7t0rwkOPGlDPEhaOcVtOt9,"Everybody Else Is Doing It, So Why Can't We? (The Complete Sessions 1991-1993)",6AR5l9eEiU5gMPv2wT1L9A,18,not available
11,Motorcycle Emptiness,5ibELGcXGqX5x9TWFeNPxY,Manic Street Preachers,2uH0RyPcX7fnCcT90HFDQX,Forever Delayed,17n0hrkbvXosApi3q1ANiv,62,https://p.scdn.co/mp3-preview/f2e37682c31f175ff1baf7ea44dd7ca036c67e46?cid=fa83a2fec7c440b7a2795d600d6b2c7e
