Indémodable,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
25,Berlin,4mxY9GZwD5swtjzXgjzak8,RY X,2KjAo6wVc9d2WcxdxSArpV,Dawn,0ht6cjokjU8Xhwj6uABgfO,11,not available
26,Busy Earnin',3g86N0SqyfxEVNMHlmW3RE,Jungle,59oA5WbbQvomJz2BuRG071,Jungle,6IH6co1QUS7uXoyPDv0rIr,64,https://p.scdn.co/mp3-preview/aeb7f40920f48fd89460be0e5580cfa4d262ff6e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,Disparate Youth,7d23MhPFE9eB3U8DPRirnL,Santigold,6Jrxnp0JgqmeUX1veU591p,Master of My Make-Believe,69jrxUSjHoEu6PeBMq3273,60,https://p.scdn.co/mp3-preview/25b3e506c1b2542efab2ffc754a2d6bddefe0cc6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
28,Two Weeks,0iTpQYzJnYgh7kIxyq8A2O,Grizzly Bear,2Jv5eshHtLycR6R8KQCdc4,Veckatimest,6FIFqclBriPCb0SjWDaHIk,70,https://p.scdn.co/mp3-preview/d7918651392a70a6f338485def1982f1865c23b7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
29,1901,1mvyqSb1tOvtVP1qfWEyPa,Phoenix,1xU878Z1QtBldR7ru9owdU,Wolfgang Amadeus Phoenix,2TVvPbLNPTCZS8lPHs1rZW,64,https://p.scdn.co/mp3-preview/cab75790dd36721176158c47a838537751aba68d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
30,The Suburbs,3FlRCCFDjncyst5vCeTu1O,Arcade Fire,3kjuyTCjPG1WMFCiyc5IuB,The Suburbs,0SH1MyyVD3y8KIBhJo6t9o,18,not available
31,Hey Now,4Dc5a9H4Ug2zpNFP14itSz,London Grammar,3Bd1cgCjtCI32PYvDC3ynO,If You Wait,0YTj3vyjZmlfp16S2XGo50,6,not available
32,Lets Go Surfing,6NtLv8Gib08OxCYWZ8xc3i,The Drums,0p5axeJsbtTCXBrRVoKjwu,The Drums,6n7e5M7KvFflDBmhcl8qMl,57,not available
33,Young Blood,2YSlbwlmDFtkqz7PLSWUeT,The Naked And Famous,0oeUpvxWsC8bWS6SnpU8b9,"Passive Me, Aggressive You",3HJ6KvW4Lpuhc1FbWmQhOL,9,not available
34,Heaven Can Wait,5FrbEiNS4IT5AAlU60XoVn,Charlotte Gainsbourg & Beck,3dizsPWyElv4nOl8imFhnb,IRM (Version Deluxe),3yskvqosKohzIMFeEAHAFt,40,https://p.scdn.co/mp3-preview/9072c8ed9b4b0e1348f05e492ca1f9b827b1cdc4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
