Savoir-Faire,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
10,Makes Me Wonder,4CK5N36s67X1AqgelSo3Gi,Tricky,6hhA8TKRNryM8FNzqCqdDO,Test of Time,4KIAk5Lw7tgBfoxsfEPfyf,30,https://p.scdn.co/mp3-preview/63c7613a3d808a7c6e105cbfd12a424841c6185e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,Night Flight to Kabul,2UOJzmgaN4jdFH9cSeurqK,Mark Lanegan,1fpXM23IoNckJ7NDAm8YJQ,Night Flight to Kabul,5MvrwYrdaOUUy3dkXXDXkc,43,https://p.scdn.co/mp3-preview/7ed655c06e6dbc52ae3a951fc4c4c0b14a2bbdf9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,Armatopia,1u8bDV0SepvEMoYI523xq1,Johnny Marr,2bA2YuQk2ID3PWNXUhQrWS,Armatopia,0Hl3LMExycP05chdDDYXWd,47,https://p.scdn.co/mp3-preview/1886c543f61b849c7c15050eca32169e4b609342?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,Saw Lightning,0JeNWvckrkYpR8cY5A4Phs,Beck,3vbKDsSS70ZX9D2OcvbZmS,Saw Lightning,07lnywbH13RKD4XuGgRs59,59,not available
14,Sketch Artist,11i6yFh3Io0MOMUMFBtNBv,Kim Gordon,3n8qeKQViV1waeCzZmS4Tx,Sketch Artist,2GGw3wbtWGWJcVOQ54MBf8,38,https://p.scdn.co/mp3-preview/661c07a3ebcdafc14727cbe49617328888595e38?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,Kantori Ongaku,20ITxdJZk7A72NaKvw1PAF,Devendra Banhart,1YZEoYFXx4AxVv13OiOPvZ,Ma,1FjqYdqCz7Sg5kNC3mYjWY,52,https://p.scdn.co/mp3-preview/cd8916df771d44cb9a80490cfbd6e6166a38a0dd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,Divine Hammer,3q8s2ppItE6dodtODm6EXd,Ben Lee,06y1hH4hu3rcTUXHJevPCf,Divine Hammer,4RfLS2SWRyqi0qB5SyeIB6,30,https://p.scdn.co/mp3-preview/970c9e68054475a348364b74d7585fafbf1fd53f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,Creeps Are Everywhere,6SojqojMzoVfNjSluF1Cy7,Mudhoney,7LuYiSXiWs86rwWJjEEgB9,Morning in America,2nZwh0vvAdoeEHWEs6Cmaj,38,https://p.scdn.co/mp3-preview/71260ad58b34e6df9717f4f89a8f0e8c51b3dd03?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,Morning Starship,4j6Pq3SGop6DSZLd28DTjx,Morrissey,3iTsJGG39nMg9YiolUgLMQ,California Son,1mcgyF1m7SiR1R5Wos78Q1,50,https://p.scdn.co/mp3-preview/31f51ac390159fd0df2c2e69af7584cdc9df7103?cid=fa83a2fec7c440b7a2795d600d6b2c7e
19,Catfish Kate,30BD3DBxv3wnyBxTinDeVJ,Pixies,6zvul52xwTWzilBZl6BUbT,Beneath the Eyrie,4XUtkoya9Ai7VeG4a1yYWN,53,https://p.scdn.co/mp3-preview/3fa989e63654f94b8d87e0d034d180a68a81a1fc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
