New Music Friday France,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
22,Sommeron,6hci4VoUfwxbhG76szxvzM,Kraak & Smaak,7c5qu1gNlg8jWDzzmlp89O,Sommeron,7jHlhuw85jH0VbLK228LrM,40,https://p.scdn.co/mp3-preview/6f81bf4468e0dd58c1aa7ad713df83d07574ed43?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,not available,not available,not available,not available,not available,not available,0,not available
24,XNXX,2bpe4mIntXNrleUkVvL7pu,Dinos,1QPdp5duV6lV4XINCzjwQ2,XNXX,7xnlPUEtsvKXnCckgvFSiq,57,not available
25,Barricade,0PSj54qCoKwNSHry64RatK,Elliot Moss,2xGCGoulmU85qYdpb2Z4xx,Barricade,2F2kpvmhIxbyGlnwDtHGb5,16,https://p.scdn.co/mp3-preview/531a68bc02680459ce20c2e30b599c3a17ce0713?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,Big Booty (feat. Megan Thee Stallion),3g8sG483Es7NcJyXgkF1nT,Gucci Mane,13y7CgLHjMVRMDqxdx0Xdo,Big Booty (feat. Megan Thee Stallion),109HkQfABlciphATRx9VnF,70,https://p.scdn.co/mp3-preview/b40c40518744a1ae9a5c18a48ba85fc45025d6a9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,Jump,7yEM9hYRsw9R3pJB5W0gxb,David Guetta,1Cs0zKBU1kc0i8ypK3B9ai,Jump,1y8yeYpcaqJB0DWN9KWUlb,65,https://p.scdn.co/mp3-preview/702b54763fd2a3c7d429ed3b2d626bb69a0f9492?cid=fa83a2fec7c440b7a2795d600d6b2c7e
28,Overtime,1flJa1SvgmYzlLSa0AXgJ9,Chris Brown,7bXgB6jMjp9ATFy66eO08Z,Indigo (Extended),2rICHwivbZlmMnzEDmGNXX,67,https://p.scdn.co/mp3-preview/836d4b8526deefee6686146b889f4bbe3bc790bb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
29,Used to You,55OUCSy92BYCmhjOuzFQcf,Ali Gatie,4rTv3Ejc7hKMtmoBOK1B4T,Used to You,6DY36Etteqk1q32tl8ACPv,70,https://p.scdn.co/mp3-preview/754ecd2aab10c4028d196d080af9a49b8d22e82a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
30,Rari,3jUqLa1ed5K25iZuO5TQMT,Gradur,2tcoLkA9Hexz70Kuc1NTUl,Rari,3PZlbMaWPBsr0kLsfYuMa9,66,not available
31,Ride (feat. Kehlani),6FmnsSVdJJojBYzecDlpPO,YK Osiris,7meyrw7Or5DwteYxDJrkCM,Ride,7MWDbgk0WUzO5pg0g3H2cX,64,not available
32,Champions,3CxxCJdGx0ek10DwOWfIA5,James Blunt,7KMqksf0UMdyA0UCf4R3ux,Champions,0ESUlBLp4YSMMap5rQIhvt,59,https://p.scdn.co/mp3-preview/90e7c3f28856c064fac7abae8d1f1e7ff63fc769?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,Sur un coup de tête,01hxgAgxzSBjDrasl7rGq3,Maëlle,5Ha8JdCWeJ8vdqEhzgiSU5,Sur un coup de tête,2cQ0FsIlIsAA8KHRSBztKi,37,not available
34,Legacy,4tBhxkSjuIDQkJoYw1gdic,Mike Posner,2KsP6tYLJlTBvSUxnwlVWa,Legacy,2TruOZvZLZuiREt6k9L9Wu,58,not available
35,Dembélé,5ifa9RYry6g47ljSTL0Tnw,Driks,3mTLkUsH6xz7b0UjcNcVsN,Enmalaøue,4jl8nzwOsk2XiOpfG6N6D3,44,https://p.scdn.co/mp3-preview/76c9523190bbac23fb40e32c56b5b9876b6fec67?cid=fa83a2fec7c440b7a2795d600d6b2c7e
36,Beat of My Heart,76CrkEsjBMyJyxymvmx2hK,Lost Frequencies,7f5Zgnp2spUuuzKplmRkt7,Alive and Feeling Fine,1oBajnDtZiBg03ebaFZYoj,36,https://p.scdn.co/mp3-preview/64702056e8b3733203d4c9c7ea9d320a140c4fdb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
37,Jopping,5WrEilrRI5cIW0DxMvQYPZ,SuperM,5BHFSMEjfLVx1JwRWjAOsE,SuperM - The 1st Mini Album,1C1qYeSC9RdgbrKXpZCTSJ,75,not available
38,Gucci Pajamas (feat. Chance the Rapper and Charlie Wilson),3950uQm4KQL3ckerKBeXYp,Guapdad 4000,0NcPKaSNIHAM2RfioH9vMT,Gucci Pajamas (feat. Chance the Rapper and Charlie Wilson),432608DLpP0hExluDkY3Yh,62,https://p.scdn.co/mp3-preview/e726b14668627c5fb930f081c9d799471b93ff0f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
39,Repeat,3Ij2Ioz9UNXfVuod2uJXBK,Rémy,1rT9J8vtPCzEKL7oGntxnr,Repeat,3TfgWmZlhNQbXLSJYKsq2U,49,not available
40,Goodbyes,6Mmfn16y9FPXhjvneVFE9e,Joachim Pastor,6eNOjuJSfKkAvbiGW90AkZ,Goodbyes,0yLqr3ASNFW3E2bCwMRkGv,44,https://p.scdn.co/mp3-preview/b6c43f56bed4541f6894f5d300196f4fa4a3d127?cid=fa83a2fec7c440b7a2795d600d6b2c7e
