Suprême R&B,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,243223,spotify_france
1,Say My Name,7H6ev70Weq6DdpZyyTmUXk,Destiny's Child,1Y8cdNmUJH7yBTd9yOvr5i,The Writing's On The Wall,283NWqNsCA9GwVHrJk59CG,77,https://p.scdn.co/mp3-preview/26cde6756e631b05cb8b83e99bec8eac00980073?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,What's Luv? (feat. Ja-Rule & Ashanti),2mKouqwAIdQnMP43zxR89r,Fat Joe,3ScY9CQxNLQei8Umvpx5g6,Jealous Ones Still Envy (J.O.S.E),6vMgb2mih3pPiWUxF8VEdI,74,https://p.scdn.co/mp3-preview/1ab4e265221ece1b9a6ba722d1430bd070825221?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Dilemma,4nthV2eZAXnt4yiJMocLkG,Nelly,2gBjLmx6zQnFGQJCAQpRgw,Nellyville (Explicit Version),502wXEj9iWWdqaAi0CO75M,15,not available
4,I Know What You Want (feat. Flipmode Squad),0YImOCkIJ2PWhCXaURCZnY,Busta Rhymes,1YfEcTuGvBQ8xSD1f53UnK,It Ain't Safe No More. . .,3cBk22r1tb6omRQ4jr6SE8,67,https://p.scdn.co/mp3-preview/5537f3e8e73e10ba6cfbf9385b702570b655931a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Let Me Blow Ya Mind,5DCA1FOUDBURlRTNg4ganf,Eve,4d3yvTptO48nOYTPBcPFZC,Scorpion,5z1Su2S6WXspjhLNBkAScm,14,not available
6,So Sick,4SRqDmPxYX0pUb5B5ut2Ri,Ne-Yo,21E3waRsmPlU7jZsS13rcj,In My Own Words,1WO7bigEZckVrkzPBjAsiQ,17,not available
7,Let Me Love You,3ibKnFDaa3GhpPGlOUj7ff,Mario,20s0P9QLxGqKuCsGwFsp7w,Let Me Love You,7EXstuWka51pNFzEAidEol,78,https://p.scdn.co/mp3-preview/cf789f03af0823c236804eac219c0589da733bd3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Loyal,7kqcudBGM74MXVoYMaoWkC,Chris Brown,7bXgB6jMjp9ATFy66eO08Z,X (Deluxe Version),4yOWnTrCkOOpl4IiVnpj3H,16,not available
9,Always On Time,3J4YoloryJCieZ9kapS1oL,Ja Rule,1J2VVASYAamtQ3Bt8wGgA6,Pain Is Love,019lJMwYCbjeWxhLBQFuPn,10,not available
10,One Dance,12VWzyPDBCc8fqeWCAfNwR,Drake,3TVXtAsR1Inumwj472S9r4,Views,0G1ffjfFuTUTVjDrVdLimH,68,not available
