Punk Español,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,46126,spotify_espa%C3%B1a
1,Esclavos del Siglo XXI,0tk6HwFFBSkbrn8sGKaZgq,Gatillazo,3XrunnoiCGkRTanrnsPRam,Siglo XXI,2fwFXVTTeMyJj7IbIoFQZy,47,https://p.scdn.co/mp3-preview/c2d26ca36a084d0817194993cf3d2e1fa1bc2a51?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Adios Reina Mia,52hHIF5rYiUi0AtPyvMrY2,Eskorbuto,3AXQ8iTveAp1uA5NlbK8qb,Demasiados Enemigos,06jJMaPtFcbDkuzuIeKywk,43,https://p.scdn.co/mp3-preview/250aa8960f3e9e21aaa64846053b5c819441c053?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Pégamelo a mi,75koSjKCBKxK9SFS70pBBQ,Def Con Dos,1O4hqQz2nV0jrlF9VEFBNK,España es idiota,5f1M1eiKzVAmo2lOpU7adF,30,https://p.scdn.co/mp3-preview/05fd812559308a6732c3fdd1304ae336c409aecf?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Ahógate en el W.C.,0dbNnj32OnJ7ZIRHgJQECe,La Broma de Ssatán,1Ybml4lquzjr1JzrQEaZPA,La Broma de Ssatán,5b6pc99omqGrDAsfgkIcMK,13,https://p.scdn.co/mp3-preview/4b4955797e7d38b7f70d9f743a1228da559b58b8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Mi Primer Amor,2oRmhBSPhWNScSkwR7x8xi,Piperrak,0kya4eL7YgduZ1RAbO6Uou,Arde Ribera,4miZbn6vSzsHLvCUMSBX1s,50,https://p.scdn.co/mp3-preview/7640423ace992db81df4e842c2b8c349a5008d15?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Amor Frenopatico,6YjmFAhmoUJydfvpDj0PMT,Comando 9mm (F),06U7a1JQBlxvAuZAa9H4fG,Camino hacia la ruina,7z6A7KRuF72XBB8VcvUbIh,25,https://p.scdn.co/mp3-preview/caa9d00efc79d42c7fd26a9da26fbcf493d3eb1d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Por ti,7tbmPVO7BOZ3uBTkQ4lwFV,Segismundo Toxicómano,0sKBEhvr6hz7Wpptw0fY8U,Escapa!,6MQUQgI1RKD4wHu2Qc16iU,46,https://p.scdn.co/mp3-preview/83f000fe50e626f1c5641b9c1b3d938d5be4427d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Ellos Dicen Mierda,6bsiPYRqISKkHN9FpgffKP,La Polla Records,3vHlZN6pTa2zOl2eVxiEdJ,Ellos Dicen Mierda,0QjDaIXJLrgirtJMFWIu8R,53,https://p.scdn.co/mp3-preview/965253f5f4f0e727e9746dfbbe70c964ea485f8c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Hace unos años,2F1Cwsgf5gM3F7dBGzRToU,Hirurko,0BQq2aDVUsbg5SqcvFBYm7,Hirurko,5V6pwnfhXnp4TtZn0AoLAZ,22,https://p.scdn.co/mp3-preview/1a7f23afd02e77d56773163b5703ac7dbc2aa489?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,Salgo a la Calle,3KOep0HeA6PxeoLT4I4Ixx,Elektroduendes,7oboTHVarRYloS0WJxGSJW,Salgo a la Calle,3wdwyHXHc5NKboxzLsE6pS,39,https://p.scdn.co/mp3-preview/1f21c975fb2ac18883a62ef74fbe794b5d2f68c9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,Desde mi pecera,4EngJo3IphMqzDWZig5ZHx,Strawberry Hardcore,1paudE705UbfZ2ArQsX7uJ,Todos vamos a morir,00llhCPk3aIHtqS3m8nRvY,26,https://p.scdn.co/mp3-preview/ed97e6aae06a9822c7a45ed51df10b90ee8055cb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,Prefiero Caminar,0SUYFrnEmh4QZOdThDoJ5B,Disidencia,1ym8Cw2gG6nn8hgk4Vjkht,Bienvenidos a Occidente,1F2GuNExWo3absC9LEqEcY,31,https://p.scdn.co/mp3-preview/4f7b4b35c58fdf265129fa7cc18f382df7eac9a8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
