¡Dame Más Cumbia!,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
75,Ahora Te Puedes Marchar,3eaJ3AT7TTyNRy9h8HdNSD,Tachame la Doble,2UBTW5IxC68BjDnf17zA3p,Ahora Te Puedes Marchar,6gQqMMMdBtC2pptUM3ke55,38,https://p.scdn.co/mp3-preview/54e422d68c080bce765d69afb0371c6a7229da72?cid=fa83a2fec7c440b7a2795d600d6b2c7e
76,Mata,6h8rrNrOCdBbz37IhcvApT,Marka Akme,4SgKWjM7cJDCh2aY9H4HZf,Mata,3CGpmpfvOQT271L1avoGI3,50,https://p.scdn.co/mp3-preview/33c9e1e769efbdbe649b630ebf5cf828c81a2692?cid=fa83a2fec7c440b7a2795d600d6b2c7e
77,Fuiste un Amor de Verano - Cumbia,1jh4rsUx5LuPiVQGzwF1g2,VI-EM,44hJXrVhoyA1fV1dn4wdHC,Fuiste un Amor de Verano (Cumbia),3o0CmJnYZBDOvVHUjjnW35,43,https://p.scdn.co/mp3-preview/ac3ba45338bbaeb03d616f7aa3a405884705ae4d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
78,La Cobra,4wwPnfPuXellY3BJvDzD3R,Las Culisueltas,6GfDEGpIgzDdxCBpNCF4Np,La Cobra,6Zfr5Ejo4wiIHZQn8FrFh7,41,https://p.scdn.co/mp3-preview/df42054f0545653d12254c101e8eca2d2f790d18?cid=fa83a2fec7c440b7a2795d600d6b2c7e
79,Que Regreses Tu - Remix,3rRmwt3Dvh0iLbTNNQrU8r,j mena,6iYRN5eaz8LSxvwkhmwkRj,Que Regreses Tu (Remix),1fCpODsGuHN2stF8ZwIzl8,5,not available
80,Llorar por Amor,4H611cwWZfRGk5OrAde1kl,Commanche,7o6GWu8PprO89hxuS9OiPu,Llorar por Amor,2KLJDLTHxzjG9ZCcRJEdQB,36,https://p.scdn.co/mp3-preview/263ad262a4ff4295af4193a708d0246e5c8e0d13?cid=fa83a2fec7c440b7a2795d600d6b2c7e
81,Te Metiste,6lgHNsNnN2ohPCBPtXwqvI,Jackita,4QPzOa9mWjgUVvy9ObVGo8,Te Metiste,0GJd4LBfN3dlrFpcxH1Dko,38,https://p.scdn.co/mp3-preview/8318de1f3cd61d79624cef19dab25436cebd0783?cid=fa83a2fec7c440b7a2795d600d6b2c7e
82,No Sé por Qué,5XDOSPhQK1mHVAZ0W2mrpY,Los Bonnitos,7d1kmnhwauydKmuAvjgQrH,No Sé por Qué,28hHOOTDvttaLhuINZ5uyX,40,https://p.scdn.co/mp3-preview/0faf9de08e8ab5addc777391b4d27f2741b87a77?cid=fa83a2fec7c440b7a2795d600d6b2c7e
83,Si Tu Supieras,1lyJIjlGdT429sZpukV0Ih,Ke Personajes,06Q5VlSAku57lFzyME3HrM,Si Tu Supieras,5SYW3HfQPkp7vIglyaF0Uv,47,https://p.scdn.co/mp3-preview/65dd9f18805c0bc7440f2235af557612bd59e340?cid=fa83a2fec7c440b7a2795d600d6b2c7e
84,Besándonos,2gOPinSozhDvxYt7LA00co,Dame 5,0J65S0gB0D1gDEd0hK196k,Besándonos,4sawUcBKQZozhq8LovXgoZ,49,https://p.scdn.co/mp3-preview/b035f8135a5c9f9211871aec5765f3cf9916d932?cid=fa83a2fec7c440b7a2795d600d6b2c7e
85,La Quiero Conocer,2HNBSacyB6jm04n9dX2Mse,Marama,4GepMkTgrIZECoCC55vqjW,La Quiero Conocer,3VqKraf5oJa2zmPYam1MKz,52,https://p.scdn.co/mp3-preview/6a974c3e79e2e705ab70c3464671215680be63cb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
