¡Dame Más Cumbia!,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
19,Márchate ahora,3voxukrHBXctzxdSbCycey,Los Totora,6Cv7YpJ01y71mdgm4szmU2,Sin mirar Atrás,4XhxlkhkuQFRIOJCVN2Mpi,58,https://p.scdn.co/mp3-preview/e1015bb40c03a2925685d9be3c337205c1c76d64?cid=fa83a2fec7c440b7a2795d600d6b2c7e
20,Juego de Seduccion / Persiana Americana / Corazon Delator / Cuando Pase el Temblor / Tratame Suavemente / De Musica Ligera,4LVAaT0AupDe4EKttxYazr,Los del Fuego,5L6GbwWUM3Oi5GPnkmmp24,A 30 Años de una Pasión Inexplicable... Solo He Nacido para Amarte,2oAr9qO4Lfm8PgSBHgox8l,53,https://p.scdn.co/mp3-preview/0929b0961098497f8af7607a0b9a21da6348cb93?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,Cuando Se Pone a Bailar,1MpKZi1zTXpERKwxmOu1PH,Rombai,5KQX0Ui06LVm6PApyicRFK,Cuando Se Pone a Bailar,2PnTfdBKqkOYtazDgtClqX,61,https://p.scdn.co/mp3-preview/42716708255d8f084e9faf7ae3c87f3109db33cb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,La Noche No Es para Dormir,3gEebOzxHpEwElicl1XBy0,Mano Arriba,4YBAOrBF9vBB9inOLtpRzp,La Noche No Es para Dormir - Single,0u1mCu9Ka7zyTx2lWbyntW,51,https://p.scdn.co/mp3-preview/515bd78db71badd8b0ee049154773694226cfc5b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,Soltera,4FZJUfuJ2iWmYQGP049z34,Agapornis,27Yc5RzJf27tJfqezJnHY1,Soltera,4uM4WTmkJe26VYRq5NKHq8,56,https://p.scdn.co/mp3-preview/f496622d529c799db6586ea924e15bdeca72e4e2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,Escápate Conmigo,408q39K0rnY815TF5x52tb,Nene Malo,58UPAlQ4MRWEDLhfdP4VcN,No Está en la Flecha Sino en el Indio,0c5AlFdcK0Tv073nYxrOBA,54,https://p.scdn.co/mp3-preview/6bdaa58566ecf816468d6fb3201efa64b43d3fa3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,Ya No Tiene Novio,0SiWVtwTPUoano0e5jvwn8,Otto Bunge,52B23cu0u8HfuhNLQIhtZn,Ya No Tiene Novio,5pGUyvkN6cw85W0rE8n3kp,41,https://p.scdn.co/mp3-preview/1c731378a260edd112d321d9e5c9386a9684825a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,Piel a Piel,2q3B7GLCEA4uYvuo2g5P82,Dame 5,0J65S0gB0D1gDEd0hK196k,Piel a Piel,2yNvAGaBafYOZbQsG7wQaJ,55,https://p.scdn.co/mp3-preview/fc70f9da991dd72f892e535a3f0663621082a73f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,Locuras contigo,5jMvnSyOgGY8JpvHqeyVOg,Rombai,5KQX0Ui06LVm6PApyicRFK,De Fiesta,5QcyFFfTjCqvhVUO9Dl8pf,59,https://p.scdn.co/mp3-preview/57d11083c0f830d6d2b0df202339b33e6e1f93cb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
28,Vuelvo Contigo (Alex Dover Remix),13HpPm50x0EaZJSqFnHPkq,Chule Von Wernich,09QoQi6E7GP5AePICzRcZe,Vuelvo Contigo (Alex Dover Remix),70XN8OmucQDJBJIa7nTLVD,49,https://p.scdn.co/mp3-preview/6f69aac9e751a1f21e2f68f14c1d773be25654bc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
29,Casadas,2ESTB7UxMMlSsOilH4XFxK,El Polaco,3ucYybVr1mTuB04HtoBDCc,Casadas,7GyDc35lgVavaPjfhyUC5J,49,https://p.scdn.co/mp3-preview/8146b28b2cce3838d761fa9ef948ce99b1f398fc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
30,Si Me Llamas,3UxHUMMCUX9Stf7WuKwtK2,La Kuppe,7krUxybhp1bUwFBxpOtmZb,Si Me Llamas,25fWCLsrLsPJxLtI3zjbVl,52,https://p.scdn.co/mp3-preview/15a8aca798cae2880728082a0a9de47d2ea66ef5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
31,El Equivocado,5vy1C7DD9xJ5fRB3KqV6Kq,Mano Arriba,4YBAOrBF9vBB9inOLtpRzp,El Equivocado,3LHzk7liRBPmmpvzTE5h8p,49,https://p.scdn.co/mp3-preview/7cedd0c21841fc5c11ba233f7b6d540bf17cd148?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,Que Rico Baila,5QTWB74jDroxV6DvMqV533,Rombai,5KQX0Ui06LVm6PApyicRFK,Que Rico Baila,3VPmkC5efo6HJDW4oKQhLp,57,https://p.scdn.co/mp3-preview/fb2ca6f1f54f225790511529a6e6683281d4053c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,Mil Horas,3HP8U9uve8jKq8cNo4J649,Grupo Play,2PFG7Z9o7dUTCCVAuzZYJS,Mil Horas,2aYeEaM0BJdpkZXFmXhVjy,45,https://p.scdn.co/mp3-preview/3dd0516edec9dd5630fad77ca3911b61135c99ad?cid=fa83a2fec7c440b7a2795d600d6b2c7e
34,Tomate el Palo,7Geqbi4bkZ6AM9yDeSHr5b,Miss Bolivia,4xx3PjUWxXY0qEXUdDhrwx,Miau,5cYwo4qHagCDmawKmY12PY,53,https://p.scdn.co/mp3-preview/ba37cbfb1c6206be5ef8f0906694580eaef06b71?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,Lloviendo Estrellas,21YzxJr5n5ljqXkOh2Rewy,Tachame la Doble,2UBTW5IxC68BjDnf17zA3p,Lloviendo Estrellas,4ZQc6ZZUXLRs5A0a2mOMpw,42,https://p.scdn.co/mp3-preview/80255e7aa2fd4f0259b8bf0b17bbebb62acbf83d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
36,Algo Tiene,5L5ct7rhZeYKLkb0qJn168,Natalie Perez,1Y99HOeRzRc27my6NJE3rE,Un Té De Tilo Por Favor,7qE2hhKOnaMpBWv7XUnX4A,58,https://p.scdn.co/mp3-preview/1ceed921859741f1994fb79205785d5682937e46?cid=fa83a2fec7c440b7a2795d600d6b2c7e
37,Nada,7BltBqVFgT2EcuFecG0lzp,Mala Tuya,0CLDI7ZZQOL43R0C2yfL6V,El Día y la Noche,4sXpJL2Iy5GZa07iKdFbbn,47,https://p.scdn.co/mp3-preview/abb9389fee2d7ddffed3fa79e9efb7a15acb3eb1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
38,Chica Brasileña,5gwCA6eUUqFNg5VVWo2Yzo,El Super Hobby,4nTNHKAVWQyqnvRuBW4N4V,Fuego en la Noche,0R0srt4VrapSD65tIQnTfd,50,https://p.scdn.co/mp3-preview/ac382a4dffadb811e0e17efe4bf5a7c2c236099b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
39,Muchachita,7rmT7CeqEFft8Os5chlRFW,VI-EM,44hJXrVhoyA1fV1dn4wdHC,Muchachita,2nTJmiRskbuFjqqehqyUuU,48,https://p.scdn.co/mp3-preview/a27fa34636523c9c1728a8ead2c0e3f17c57b8bc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
40,Me Niego a Perderte,6qywqcqskr2WWHlEjgqlz6,Modo Avión,7lDhdRdV3e2zZ9MAEg8kbp,Me Niego a Perderte,0NKNUbZdQ49LT0fzPsO1NN,39,https://p.scdn.co/mp3-preview/fcbced00f7348864563a81a6e129f83c557d7c8b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
41,Jodido Corazón,5gUwVD9u7RryDOP3tk52OP,Hernan y La Champion's Liga,04XdCDDrPnnqidaVBTOQjt,Jodido Corazón,3vf7r2oc46hcO1tVhI7XK2,49,https://p.scdn.co/mp3-preview/d528d41b6a2790a3b27f5647a5789cb66c65a838?cid=fa83a2fec7c440b7a2795d600d6b2c7e
42,Noche Loca,0gzcET27nREY6aD8LJU9wD,Marama,4GepMkTgrIZECoCC55vqjW,Todo Comenzó Bailando,0yLhNN1wvArT1xOU9Y8s4S,59,https://p.scdn.co/mp3-preview/6c0c62865c488a438f18f5ce045c1ed0072b43ff?cid=fa83a2fec7c440b7a2795d600d6b2c7e
43,Lloraras por Mi,6RIbI3LsAZXfkBo5L48YoB,CantoParaBailar,288dJOiQmxw6pTZ6fqpbiQ,Lloraras por Mi,6NeslMHNyo6imAQNkEOaly,44,https://p.scdn.co/mp3-preview/d796fd99f386d6e4dc7aeabe6c81bdae4e1b1e02?cid=fa83a2fec7c440b7a2795d600d6b2c7e
44,#TBT,1k27bT44YX7rvR7HY2qD0u,El Villano,6nEgkeR03q2qtKZmrVq100,#TBT,2eJYzjcsOMFbyLwQgVfZhG,58,https://p.scdn.co/mp3-preview/b3f91672b04669b4fbced6a36006a02443423d96?cid=fa83a2fec7c440b7a2795d600d6b2c7e
