Bandas Sonoras,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
23,All That Jazz,3nAuX0TA8yhqsPDHO8ybFe,Chicago Ensemble (1997),5mitnQA7skz8pAo8W6t9ph,Chicago The Musical (New Broadway Cast Recording (1997)),5zgxFgQiGAqNmAY5EhgVWv,47,https://p.scdn.co/mp3-preview/2a248cf58d009a79556dc665d536b89a9eae77a4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,The Power Of Love,2olVm1lHicpveMAo4AUDRB,Huey Lewis & The News,7A9yZMTrFZcgEWAX2kBfK6,Greatest Hits: Huey Lewis And The News,0u34k1ANjgZ47uQfG9yaLj,74,not available
25,Can You Feel the Love Tonight,4f6jZRNyjZQ8ltv1txgZUG,Elton John,3PhoLpVuITZKcymswpck5b,The Lion King: Special Edition Original Soundtrack (English Version),6V642KcHwzOSyYGwH58kgO,47,not available
26,(Everything I Do) I Do It For You,5nydh0uIcz9gxSoJY6FtTn,Bryan Adams,3Z02hBLubJxuFJfhacLSDc,The Best Of Me,4kbE34G5bxaxwuCqz0NEw4,14,not available
27,La valse d'Amélie - Version originale,508AvcfQL1jBYNdSrA1GVn,Yann Tiersen,00sazWvoTLOqg5MFwC68Um,Amelie from Montmartre,6hzdQgjn3wTJhOUI4cVKu2,4,not available
28,"Star Wars, Episode IV ""A New Hope"": Main Theme",2o660Ri2wTg7Rv6cKbFBCe,John Williams,3dRfiJ2650SZu6GbydcHNb,John Williams Conducts John Williams,5R8j8Y0vi297HrnHQhymkB,42,https://p.scdn.co/mp3-preview/c5747170dde6c1fae5e6eafd3a280d1202b723b8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
29,Iris,6vrUTGn5p8IrfTZ0J6sIVM,The Goo Goo Dolls,2sil8z5kiy4r76CRTXxBCA,Greatest Hits Volume One - The Singles,0UccZZgelTAbbk3OSPZymO,77,https://p.scdn.co/mp3-preview/956923574bf91206435e9774d13f6dd775a49cab?cid=fa83a2fec7c440b7a2795d600d6b2c7e
30,Mission Impossible,3Kf0ZYgeknOzJFxK4krGhk,Mission Impossible,2ZViqkMuOqaHstf6Ffef9A,Mission Impossible,3iORrfqq2iex2Fh0axmW1N,0,not available
31,The Way We Were - Soundtrack Version,5Bq7fGTTrjWACyQSn6zpRx,Barbra Streisand,7jmTilWYlKOuavFfmQAcu6,THE WAY WE WERE: Original Soundtrack Recording *,4oHuJ4j14JnT2ve3LgJayj,53,https://p.scdn.co/mp3-preview/25e923638c041d423c2bc707f8b4673ee9727df7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,Volver,1NaNgB6GpFI1EDgjB8DcRC,Estrella Morente,5gKJbL392PiokTPUoL7N6D,Volver: Música De La Película De Pedro Almodovar,0jVz9VNj1IkCYGtHFd7S21,44,https://p.scdn.co/mp3-preview/039bad277c82c83b58217f94c864e7f43048a33f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,Unchained Melody,1jFhnVoJkcB4lf9tT0rSZS,The Righteous Brothers,4b0WsB47XCa9F83BmwQ7WX,The Very Best Of The Righteous Brothers - Unchained Melody,5CFmNamq1ceXn8RFJ9i7p6,66,not available
34,Footloose,1KjqybxJeKMlq1h5s6YhIt,Kenny Loggins,3Y3xIwWyq5wnNHPp5gPjOW,'80s Pop Hits,7xY34kpisIxOv8WMnNN8wg,39,https://p.scdn.co/mp3-preview/53e403f289cd52d49c07c4caccc3ad351f044481?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,Old Time Rock and Roll - (From 'Risky Business'),73ISjyJUgcMIcztrZ5xeZt,Friday Night At The Movies,0vWJnrBCvPOS7aBgXsBS2q,"The Tom Cruise Collection: Music from the Hit Movies Top Gun, Rain Man and Many More",5XHz1dpMg3cS39WJRNTgVX,34,https://p.scdn.co/mp3-preview/a325d0b5724a509d45174d8f2c95436b7be389a3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
36,When you Wish Upon a Star (Pinocchio),0g46vm3IPzjOiez5hIoihn,Magic Philharmonic Disney Orchestra,4T7qyIhhGwwhMIrZVHLafi,Disney Classics,4zBJW5PBdRl8qnuhYrfOCy,34,https://p.scdn.co/mp3-preview/129ab3ac68cb1d7dc8a289c9ebed4b8c42622eb9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
37,Summer Nights,0ej0YkMM8E0WOWuWVZliDh,John Travolta,4hKkEHkaqCsyxNxXEsszVH,Grease,3ku54lKW19XjXwhNkNdtzZ,59,not available
38,Someone In The Crowd,39ncDMVidHOeQgeC5anYZM,Emma Stone,68Uwx1d3EbjDJhYsLjqvIq,La La Land (Original Motion Picture Soundtrack),3GU8BzFEAdFSRjc8jZkL3S,64,not available
39,Empire State of Mind (Part II) Broken Down,1YrcoIgCT7FpR1eCtaDEV7,Alicia Keys,3DiDSECUqqY1AuBP8qtaIa,Sex and the City 2,4mjmruGDBeBDkXcy0zThWQ,43,https://p.scdn.co/mp3-preview/92965efc84f987abbee29476d291ccffedfbbb6e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
40,"It Had To Be You - From ""When Harry Met Sally""",2LOqlJIemb64FGcTAYpsap,Movie Sounds Unlimited,3Ymkx0MrMErcAjpnEBCqyJ,50 Best of Chick Flicks,73ez76yKn7QOB7cMoZVEnH,29,https://p.scdn.co/mp3-preview/f6cf2dbd64af6df4f9d4b5b6f9461288efdd01bc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
41,West Side Story: Act I: America,1RZ6jzlPeEaDeKYe7IJ792,Leonard Bernstein,2LmyJyCF5V1eQyvHgJNbTn,West Side Story,1kA4RO70idrEQkOX3zlRfa,48,https://p.scdn.co/mp3-preview/04560fc882f73cc8d6b836f24b16f137ba76c317?cid=fa83a2fec7c440b7a2795d600d6b2c7e
42,Eye of the Tiger,2KH16WveTQWT6KOG9Rg6e2,Survivor,26bcq2nyj5GB7uRr558iQg,Rocky IV,3t3BbpFJiGcXl4jI5CRLLA,77,https://p.scdn.co/mp3-preview/9e37f230afd37042e49f3d144c3b94e0b39ef8ba?cid=fa83a2fec7c440b7a2795d600d6b2c7e
