Radar Indie,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,139224,spotify_espa%C3%B1a
1,Perdona (Ahora Sí Que Sí),1AODZVWUeYlsKoFTo2iyEA,Carolina Durante,2BVE7Pqd8kxv9xEsuvoJoE,Perdona (Ahora Sí Que Sí),6lfDtQxgcGSUNvJJNKranS,59,not available
2,Lo Que Te Mereces,5rQ4vhUUoBBUl99j7Ms9M3,Viva Suecia,57s0ep3eNSg81D7ZxiuHbC,Lo Que Te Mereces,5CPe0rHEG3D0WmNi8RbWZM,52,https://p.scdn.co/mp3-preview/37619c36497e44d51a8445bcc72f69b5d7ff0684?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Si Estás Tú,4T5XguPFSIrPliylAkUlPq,Delaporte,1GDip5phlxYzeZ36vnf9kJ,Si Estás Tú,2Q093N8qvz0B74yHM0l7eV,49,https://p.scdn.co/mp3-preview/6a966f3b990e7799c7e0f2042446c933a85fd9ba?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Agua y Mezcal,5tMLIgw6yxobsAyIVvfHo5,Guitarricadelafuente,0oBiYchunKTMDesVICwrvL,Agua y Mezcal,73pVSGyUpVervpSru5En9G,62,https://p.scdn.co/mp3-preview/7d2f9175ab405225754401f5aba19160be54251c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Reina,5zOYyBx0RqHUa0QTb4xBUA,Miss Caffeina,1uvhwixGrZkuT2gpQQWgYb,Reina,6VcjUyIpC7AJmCGZcoiAKW,53,https://p.scdn.co/mp3-preview/e8ff72439d1b3c219deefb1251cd69a91e55a7a3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Bailando Con el Viento - Feat. Mikel Izal,7GyrhtQUvdCM1I6FZusRfI,ALIS,3yVOHNWnsCHuaaOCnflSRD,Bailando Con el Viento (Feat. Mikel Izal),4Uo8how7CehdRVF7efBl7r,48,https://p.scdn.co/mp3-preview/9973f8827e1154179631a75dbce5801884e79ece?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,La Flecha,7HDU7PsyYbO8twWQc8vkNk,Beladrone,58WqEMuBUmJXIc7ubM91xI,La Flecha,58b8oI9RSZbyiLk9lcmhYV,24,https://p.scdn.co/mp3-preview/e70697fe4898e2e1d4927cb822fb48e70eb93c2a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Un Alud,2gYuASHMtye5Y7eIUJzqnX,Amatria,5aINmhPWfAHvZ5qaMdBezq,Un Alud,6jTcc7ipU706YOnz0Zq4YN,50,https://p.scdn.co/mp3-preview/07b22ae5a9b473b713e93d39a6b65d045300929e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,ABC,5BAHP1SSe7fdFsWTu9yoiU,Guitarricadelafuente,0oBiYchunKTMDesVICwrvL,ABC,1F3345mWITbnR2aysaUwZB,62,https://p.scdn.co/mp3-preview/7003f25d43354aa2966b5eb6f5dfe570e442add3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
