Merge 2010,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,5,mergerecordsofficial
1,Written in Reverse,79OPqYKyZLGNY0x06smsmH,Spoon,0K1q0nXQ8is36PzOKAMbNe,Transference,2laFBdVKIFTExgJ46dsRna,26,not available
2,The Mystery Zone,6QO3FshHV8q1tV41reHF0N,Spoon,0K1q0nXQ8is36PzOKAMbNe,Transference,2laFBdVKIFTExgJ46dsRna,24,not available
3,Trouble Comes Running,5a2Os6lBC2S8BPdkJ8LYqb,Spoon,0K1q0nXQ8is36PzOKAMbNe,Transference,2laFBdVKIFTExgJ46dsRna,27,not available
4,I Can Hear Music,4FuPEXLaaZeXn3Xgm4xstv,She & Him,3CIRif6ZAedT7kZSPvj2A4,"""In the Sun"" B/W ""I Can Hear Music""",16JCmZuwCW0bqLWvgcIfUO,24,https://p.scdn.co/mp3-preview/f986efa6255617164dd8ac09f5438f900e5a9dac?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,In the Sun,2blR2KdhatiHBdX7zr9lED,She & Him,3CIRif6ZAedT7kZSPvj2A4,"""In the Sun"" B/W ""I Can Hear Music""",16JCmZuwCW0bqLWvgcIfUO,8,https://p.scdn.co/mp3-preview/f862e0bbe780eb9b850a572a7cee2a3cd5b81c73?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Fall Hard,3uZCKKHrK1d3xwuBPQlx0L,Shout Out Louds,0UOrN3LNaKApiOSdvJiETl,Work,7HilMFwE3sdYIeP5hyFWPu,21,https://p.scdn.co/mp3-preview/5ccf51d6b76ff8083168221e082350b734109b81?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Walls,3nQsiwp0d3yFCRS1MWqsUt,Shout Out Louds,0UOrN3LNaKApiOSdvJiETl,Work,7HilMFwE3sdYIeP5hyFWPu,13,https://p.scdn.co/mp3-preview/a6a333084deeaf8da53d4512b6a3b123f59adf33?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Show Me Something New,1pi8TwfAFotvJlJPISpBl4,Shout Out Louds,0UOrN3LNaKApiOSdvJiETl,Work,7HilMFwE3sdYIeP5hyFWPu,13,https://p.scdn.co/mp3-preview/5869149c1488813188991df6d7623ae1f7eebc99?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Fall Hard Pt. 2,0K8yqqf9zgyqiFZstG6YgS,Shout Out Louds,0UOrN3LNaKApiOSdvJiETl,Fall Hard,6sd1wmTdkVXFNFjnLb4lvA,1,https://p.scdn.co/mp3-preview/02bfacba4da12b0313ae6fde41b2d70bac94fca4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,Can't Explain,530AgBDo9bVkJ6OmA3LOIO,Shout Out Louds,0UOrN3LNaKApiOSdvJiETl,Fall Hard,6sd1wmTdkVXFNFjnLb4lvA,4,https://p.scdn.co/mp3-preview/24af3a885bb58a61f92d02ddc9613035cbdbc7d1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,Thieves,0NVDfMErqXFbZWm8jEhRhm,She & Him,3CIRif6ZAedT7kZSPvj2A4,Volume Two,2nwEXhIhwmJv6T6MQff1xk,32,https://p.scdn.co/mp3-preview/ce30bd3e112284455f0e92df126e3530400ea03b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,Gonna Get Along Without You Now,6YHTAZlFSsvlJXjqX2MZQ8,She & Him,3CIRif6ZAedT7kZSPvj2A4,Volume Two,2nwEXhIhwmJv6T6MQff1xk,32,https://p.scdn.co/mp3-preview/db5df50142a93536310558636e3237d2ed09c8ce?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,Don't Look Back,4UxXY94anamQ1ECbjfjx1Q,She & Him,3CIRif6ZAedT7kZSPvj2A4,Volume Two,2nwEXhIhwmJv6T6MQff1xk,28,https://p.scdn.co/mp3-preview/daea18d73e7e52fd70fe6e3cc36e6de8b5ced259?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,Dear Headlights,5udBcOxtFCIgfBJkXsrELx,Radar Brothers,4MB4RJ1LO8j2aWmUZyUV1u,The Illustrated Garden,7712Bs3rZdogIwdKF4vd4c,1,https://p.scdn.co/mp3-preview/ac954c7b447b590c7fcef6ac3aabe86144ae827d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,Horses Warriors,15tdqbCg25Do0u5LKrSK5s,Radar Brothers,4MB4RJ1LO8j2aWmUZyUV1u,The Illustrated Garden,7712Bs3rZdogIwdKF4vd4c,1,https://p.scdn.co/mp3-preview/8aa0ec17fb7176f7c38f985ed48f8d5d76092872?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,Quarry,4G1aMcuLwfIqzsY3ldUMvj,Radar Brothers,4MB4RJ1LO8j2aWmUZyUV1u,The Illustrated Garden,7712Bs3rZdogIwdKF4vd4c,0,https://p.scdn.co/mp3-preview/640360b095d58c5fe061b9895aa76a84dccac16b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,We Are the Men You'll Grow to Love Soon,6BrmUE7ASPVry5ig5lF35j,Let's Wrestle,4cahkB07i9FIb0x9rycgR2,In the Court of the Wrestling Let's,1GUr9MbJn3NzKxT8nCXnpO,18,https://p.scdn.co/mp3-preview/dab4393e9f85d18dd7fe916a6826b44c0c68a0c4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,In Dreams,2egBUFgoqLUKkuMvOttT5q,Let's Wrestle,4cahkB07i9FIb0x9rycgR2,In the Court of the Wrestling Let's,1GUr9MbJn3NzKxT8nCXnpO,4,https://p.scdn.co/mp3-preview/260145e12921143376a13929c3dee9d8db734475?cid=fa83a2fec7c440b7a2795d600d6b2c7e
19,I Won't Lie to You,2QFGBjxTFp02AzV2q2TrE2,Let's Wrestle,4cahkB07i9FIb0x9rycgR2,In the Court of the Wrestling Let's,1GUr9MbJn3NzKxT8nCXnpO,9,https://p.scdn.co/mp3-preview/92734864d022cea4f1b845bf0912796cf2a01625?cid=fa83a2fec7c440b7a2795d600d6b2c7e
20,Odessa,5K6TfvT7sKAuEatUpHVvPQ,Caribou,4aEnNH9PuU1HF3TsZTru54,Swim,0UP8fME7u9wS7mSQlkzCCO,2,not available
21,Sun,2mSc1qAsAhcpPMWSWQvU0h,Caribou,4aEnNH9PuU1HF3TsZTru54,Swim,0UP8fME7u9wS7mSQlkzCCO,0,not available
22,Leave House,4aKvTS9NalAf7mpMNjYLq5,Caribou,4aEnNH9PuU1HF3TsZTru54,Swim,0UP8fME7u9wS7mSQlkzCCO,0,not available
