My Indie Valentine,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,65,mergerecordsofficial
1,Desire,2id3yB9tZdbpjCp2tkjhXn,Ought,2VhVBXSB8n2KxuzKVZNxTY,Desire,62FGlQSuFoLiRnZIh3klDW,15,https://p.scdn.co/mp3-preview/9a8943e7350879ba449315069eb5d4ab65beac3a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,I Wanna Have You,78MWfak3Kt83gjRmi4DyNo,Sweet Spirit,32L6HnQe9jCXLmjpnS2XSQ,St. Mojo,1YR9EJeU57rdDHErQrCj5l,5,not available
3,Mystery of Love,0MNNKSUU9OOQ8DSGWduw79,Sufjan Stevens,4MXUO7sVCaFgFjoTI5ox5c,Call Me by Your Name (Original Motion Picture Soundtrack),531pUFZ1BbEhfXDxitF8TU,60,https://p.scdn.co/mp3-preview/577c6a7a87f75bc9ec7422b0522fe1f2594b1450?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Ghostly Fading,3t1ThVa69HJEnESNCVdyDq,Hollie Cook,1fwuUuFbqXJx3B17PUhFCE,Vessel of Love,5GdBwp9XyC9EBC0f4x2ee1,32,https://p.scdn.co/mp3-preview/b5c75987c2018c23b43521e89229398e76d8d7fd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,(No One Knows Me) Like the Piano,5zOnoB8FdZudDcPX4O8WqF,Sampha,2WoVwexZuODvclzULjPQtm,Process,2gUSWVHCOerKhJHZRwhVtN,64,https://p.scdn.co/mp3-preview/2f75e58b437e79666186f10491e391b6fb58f305?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Sunday Candy,6fTdcGsjxlAD9PSkoPaLMX,Donnie Trumpet & The Social Experiment,0ojcq9LJQWMawQdFDw3M0L,Surf,3eM1KTKmpqrQOvuvYY42cr,69,https://p.scdn.co/mp3-preview/7a6944ec3bd4bd1ea1a5a27cc15ef81fe229a707?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Sparks Fly,37NEAFwzKuT3bU8nGq20AE,Waxahatchee,5IWCU0V9evBlW4gIeGY4zF,Out in the Storm (Deluxe Version),4SJmMYX13ZQc4V2y1KSKqR,17,https://p.scdn.co/mp3-preview/768f4777a015de8cf1e74ca44cff5cd53a3cf156?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Don't Know Why (You Stay),1RlSGqUgFqPdZTu72RStD3,The Essex Green,2hLQppESVnOV9ntMD3uA4G,Cannibal Sea,2Av6qUBLEPu7GCsnPGMenP,24,https://p.scdn.co/mp3-preview/3edaadab251e0e6a4acdccf376bf824a82d12326?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Color in Your Cheeks,31IphwwZwN42INOI99xCqZ,Ibibio Sound Machine,4J6CnIqPEtWYn3la2YYj2c,Color in Your Cheeks,5PSEvz3EgkbNUKK16WEJxR,36,https://p.scdn.co/mp3-preview/3ccb77a744658b33aff4141e2ddabc3db1167d75?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,"How We Met, the Long Version",5x4QLij6TWJGtHH0w0Zt5K,Jens Lekman,7tzI4rSFTHafjF18ZrNZWx,Life Will See You Now,1hXSxD7wpxEHXiLkk69EaQ,38,https://p.scdn.co/mp3-preview/58e904b9886512c15504e8d9f3b12c7fde8c01f9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,Water Me,4d9GVZP50tSxTfBvHEHUPx,Lizzo,56oDRnqbIiwx4mymNEv7dS,Water Me,3ilSFuW4dw5c2HBbNxORjh,14,not available
