Full Frame 2019,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,2,mergerecordsofficial
1,Wanna Come Down,59J21wqDFjteChgm9ZP7RP,Ibibio Sound Machine,4J6CnIqPEtWYn3la2YYj2c,Wanna Come Down,5wUvTC9nbRxqOJI6OCFarw,29,https://p.scdn.co/mp3-preview/6789a89cab41bf0fc72249f33f986bc5b0001d1f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Cosmic Cave,4jYREYvxXkVKnDv7y1A8yo,Ex Hex,2LdMozrLZExZ27oOAnUgkb,Cosmic Cave,0bqjBjAjXH7NISVKnAemTZ,30,https://p.scdn.co/mp3-preview/7b18d3ef8795210980ec1b5750f958921c56b2b6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Everything Is Falling Apart,1TFRdEaqsCt0BmVS7zlBjy,Teenage Fanclub,2Sp19cOHSqAUlE64hekARW,Everything Is Falling Apart,1p0jfVE3lz0gD2quErpOW6,18,https://p.scdn.co/mp3-preview/0fc43f43f9e7a58d2adae3ae9fa365f37e2dbda9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Dose Your Dreams,7zL1HkrJGtymDvrNSoxxVa,Fucked Up,05C3EDw4Rf0qMhrdjFKncL,Dose Your Dreams / Accelerate,0EGrEhHymMCulMjY26hHNm,5,https://p.scdn.co/mp3-preview/b6d5901923e742a6024e032cb25cec13445ad833?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Future Hell,2ReYZnVMAtIxYa3BE71AYp,Swearin',5Hd2TLBA44nP3ftPAC1ZlZ,Future Hell,7ol8Tma0KxnzBkrBiWrW3w,11,https://p.scdn.co/mp3-preview/cbb11143b49fae4eecd39877452d9d4485f2e263?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Sweet Like Chocolate,2xc6Q8UQtha6aS6qOoDlPz,Hollie Cook,1fwuUuFbqXJx3B17PUhFCE,Sweet Like Chocolate / Dub Like Chocolate,51QBcEQH4EkL0svgyX67i4,29,https://p.scdn.co/mp3-preview/7667e32e138996b31f982ff21d769956aa9527f3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,In My Secret Place,4jAZidehiLDHtnSibfJ2Mt,The Magnetic Fields,6RWjTQqILL7a1tQ0VapyLK,Holiday,7EHpguu9kylNKjC1EcS1fR,21,https://p.scdn.co/mp3-preview/57a733dd8ec03063ef5da159ee6524f8c31f8778?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Gracefully,6JbUYxNygyzfJDkZynfVoo,Jade Hairpins,0sCQZaT5rz9fVUdjZw80Nh,Mother Man / Gracefully,5njKlWxEDpiqYXDfGmvqxk,0,https://p.scdn.co/mp3-preview/aec6b9bf4be613b3619b44e5fc6709423f30faac?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Future Hell,664T70o28HO8l6js2tuuHR,Swearin',5Hd2TLBA44nP3ftPAC1ZlZ,Fall into the Sun,1sARtWikSa6TA4T5neDIBO,21,https://p.scdn.co/mp3-preview/9f933912cbc04ba57469c5d50e60c3ba99a2503f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,Cadaver Sniffing Dog,6E0cMFOToYiZ73aSao2T7I,The Mountain Goats,3hyGGjxu73JuzBa757H6R5,Cadaver Sniffing Dog,23VXaCHfAGNWxuy5vro3mn,25,https://p.scdn.co/mp3-preview/d24eeada3b677e639d116be32e37699377bd46bd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,Shout It Out,7lIzE623NJ4LAuPBfY6IeS,Mikal Cronin,6QobJ3vnalBTlsdOrvQTIt,MCII,2spxrQq50aGqf9Barvc8fg,22,https://p.scdn.co/mp3-preview/c8d056a9c12cb34d1d07ba91fe11268b74074df8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,Cemetery Lawn,69HCvzX2Q3gX6qSWIqPb2A,The Rosebuds,1uatpkp2CbVMmQlMKFMAwe,Night of the Furies,6Z9BCIwHKu1RIFeLJUA04f,6,https://p.scdn.co/mp3-preview/24316c67d5cf5865ea3cdd157918a4a5d08b27bf?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,Watching the Wires,1a8tr9WccENfZxTjMwcepd,Hiss Golden Messenger,37eqxl8DyLd5sQN54wYJbE,Watching the Wires,2cDwPoKbXfRhXuZ9EFEfII,31,https://p.scdn.co/mp3-preview/972d55a7c6a1cbe989d6a77bc09219cc52aadddb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,Brush Your Hair,275kBVg6XkydXws99SA4RV,SACRED PAWS,0loUVauivVQPRdqkbd250b,Brush Your Hair,7AMJUyOKWu0GExHdrSobYZ,6,https://p.scdn.co/mp3-preview/b1f53d299d4534d1e76ba3ca500805acd2713595?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,Man in a Hurry,4GOINDdFbMmVgydTPooA8Z,William Tyler,3iexGtoBAyCUbxOKeru5py,Goes West,0JbGIBNY8NDj1rpV6BAOCD,26,https://p.scdn.co/mp3-preview/232442e0ebdc036f5062b75e90214e54e2989fa0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,Misfits & Mistakes,4OlGHzDB7z0lRd8FyJCvut,Superchunk,7lmde7T1WJPFwv1eR6melP,Leaves in the Gutter,6SOEfSBYojEFEOII99lkts,12,https://p.scdn.co/mp3-preview/e10a494c1c9f5f3e4a8fea7f645fb5c01f0d511b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,Power Chords,67FneEU03nnBfJ8oUNZ53e,Mike Krol,2c34ZzVmfwzsNHc05x3uzR,Power Chords,7mbTl6QiFejJ5s07soGh7Y,35,https://p.scdn.co/mp3-preview/42d6598b5a01d925fbaeaa75ede62eb18267b09a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,Suck It Like a Whistle,2sN3obfLPC9UUrbFTSg9sG,Sneaks,40iUcsx6LWJ0DEPryPmU30,Highway Hypnosis,7hAZAQ6Q9eltTdw5WxCWmP,23,https://p.scdn.co/mp3-preview/bd19b4967a6f71609332f50faaf68ea35e683ab2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
19,Everything for You,5QpNU8ogL8msb0g6mHbhMu,Lambchop,2Lhs0asnFQiLuntn3s8p78,Everything for You,6rv3H4shCMaf8hm412AHPq,13,https://p.scdn.co/mp3-preview/e7cc7b084e00586be655c0eaf3a7bf36daa7cd99?cid=fa83a2fec7c440b7a2795d600d6b2c7e
20,Chain Reaction,5Hc4iS2EUuSbATFyXjqmWf,Martin Frawley,6DG6DqhJ5kP5vOJPYmfjDF,Chain Reaction,3Ta9r14RSEo8Nv4xCXTZp4,9,https://p.scdn.co/mp3-preview/879d251fea0381cb99dba516761ecca0aa241d42?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,"Noel, Jonah, and Me",0snrL2Dl6LxFeJ9CrX1cdy,The Spinanes,6lz8TrJesUMdGhKoyXTTda,Manos,14ZZ9MPl2LrCKfToeCIUE5,14,https://p.scdn.co/mp3-preview/831c7fd01bc8286ffb123faf48719c829a2f7cd3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,A Place in the Sun,6qMeTTEKn9cwxa99DgOmdi,Telekinesis,3faZppLa0MVUYBlyp7zDAo,Effluxion,6gvJZRQgk9ah7ilEIM2GcX,17,https://p.scdn.co/mp3-preview/5664104ba958530dc8b656530f64bf4e2845f7b5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,Desire,1tT5chPCkypWTJZDsjy5zn,Ought,2VhVBXSB8n2KxuzKVZNxTY,Room Inside the World,3vF1GQeq3Mnu13x0Rkakhv,39,https://p.scdn.co/mp3-preview/7797a749b4ff66d44d3bd556c42d34291ea89315?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,Kaputt,56dIfld2EW00CPbB3zA6GE,Destroyer,22ojy4H4ZVpowC4lRRC8In,Kaputt,4WtvNVR7QeHUZGtHth9zND,46,https://p.scdn.co/mp3-preview/e7d509710e6846b540a97d6511dcfb6081941d4f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,I Miss Your Bones,5w8AOfkCNB3IhyBRTRGrCn,Hospitality,6xgfDCWKp5rIIO7sllJ6us,Trouble,4IpjPZhNDBRwPSOmhIC6aF,27,https://p.scdn.co/mp3-preview/d0a798c127b74072b42491095f28df875188adda?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,Thirty Dozen Roses,5HCy2WE8KP0Mu9KtKnvRKg,Bob Mould,0fWvSXbvztkeHEnEuYvU2A,Sunshine Rock,1BwE4dnyuM1ML3iA8yy2e5,25,https://p.scdn.co/mp3-preview/9ef310483fc4385402fa6ef0336c7a08051e053e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
