"Vampires, Ghosts, Zombies - A Halloween Mix",Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
36,Wounded Birds and Vampires Own the Edge,5r4TCDsrZe9OqxendVlq7q,Guv'ner,0nt4Tol65jI2HFfFtuofg1,Spectral Worship,7B3uNy4QQTWQosUqOFpDAh,1,https://p.scdn.co/mp3-preview/0de7fc64db9ba92e8c4ab87767354af5d1de3ce9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
37,Scared Out of My Shoes,3653CBcd8snc0qhbK3IvJW,Lambchop,2Lhs0asnFQiLuntn3s8p78,Tools In the Dryer,2S3whGcaoNtm9ItRyRf9Rd,0,https://p.scdn.co/mp3-preview/564b6fb41872d8024c2b6d28f9f8688970543cfa?cid=fa83a2fec7c440b7a2795d600d6b2c7e
38,The Dark Is Singing Songs (Sleepy Time Down South),6xAF4vDcbYteBpjnTOUsLC,The Music Tapes,0Xjtselvq13TzhtPlo7g0r,Mary's Voice,4wVowTPAsbvpOQXK68ajPt,18,https://p.scdn.co/mp3-preview/27bf96d623286f224f1dbc4f46061a6ccfb0a613?cid=fa83a2fec7c440b7a2795d600d6b2c7e
39,Skull Versus Wizard,6gs02deYrFjgDoSHaykcrx,Times New Viking,0oFIPnarjYKDTVgNQU0bbo,Dig Yourself,0D1asBXPTg00WrVK1L4gWA,2,https://p.scdn.co/mp3-preview/d197393ba17249fe5e5b72608bb1309eb5d2984a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
40,The Devil Needs You,7n0a6WmfIWgYjHUGsxA0Jh,American Music Club,6uHjKRsYGaElOrKWlSEji3,Love Songs For Patriots,5GJyVKLUQ1VvgJhId3XVj0,0,not available
41,Skeleton Blues In B Flat Minor,5Wfior1thv1yiQOmpIab7C,Matt Suggs,3NWMa1rkA43u5S8cZZV1g5,Golden Days Before They End,2wcmPOhLCKQtkrttAF5duV,0,https://p.scdn.co/mp3-preview/a1078c6ec0a88684c81f7d60e48c15f57495cfbb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
42,Cemetery Lawn,2qL1jMeBmFS5n5sp5FqCOn,The Rosebuds,1uatpkp2CbVMmQlMKFMAwe,The Night of the Furies,46AoM1rIKJBWVoX3X8RTBu,0,not available
43,Apparition,07DTg6LZzPLrjmEGStRXhN,Flock of Dimes,1TTfuOdEtj8lin2zR4OWmP,"""Curtain"" b/w ""Apparition""",33Va2srDqHpz3reXHb57IP,6,https://p.scdn.co/mp3-preview/f77ad0dab8209dfe2dd9a14dec65e0eafcb0e969?cid=fa83a2fec7c440b7a2795d600d6b2c7e
44,Hannibal,6veBVr6hih1XxiuGig2xJH,Caribou,4aEnNH9PuU1HF3TsZTru54,Swim,0UP8fME7u9wS7mSQlkzCCO,0,not available
45,Wich Is Wich,19tCme8y9ywORi36PkQhOy,Jonny,1LEW204oH4iY94QpJybFLH,Jonny,5tp2tIFpDEjj8ezpUgLe2K,1,https://p.scdn.co/mp3-preview/1220a3da223debb1ddebd8022858e5f316dccfe0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
