All Out 50s,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,963442,spotify
1,All I Have to Do Is Dream,72nqbbrKjhXmDdRXQGq115,The Everly Brothers,4ACplpEqD6JIVgKrafauzs,Fabulous Fifties Nostalgia Vol 5,5Bi3wDUlDlfKUYb5S5kcY6,9,not available
2,Dream Lover,1KLpjQFgubHI3GkAICCNH3,Bobby Darin,0EodhzA6yW1bIdD5B4tcmJ,The Ultimate Bobby Darin,65okcRJHUVUrFiDG3I1Sz8,63,https://p.scdn.co/mp3-preview/f2cfbea96801e0fe3ecc810fd674214a7d8b1ce4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Under the Boardwalk,65jrjEhWfAvysKfnojk1i0,The Drifters,1FqqOl9itIUpXr4jZPIVoT,Under The Boardwalk,7AgI5vniflcbh86Znea7yM,70,https://p.scdn.co/mp3-preview/8cf57563d7553159042a312443ae361880c57b41?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Everybody Loves Somebody,78VG6M1i7JQXBdygmWFwye,Dean Martin,49e4v89VmlDcFCMyDv9wQ9,The Reprise Years,6anBFHbt3PaNwDKWbsVkzG,62,https://p.scdn.co/mp3-preview/d2b12a99c2d07cc5f085acf174f75889678ecc0a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Take Good Care Of My Baby - 1990 Remastered,1MR7XamWS0XH6vZxeeRdE0,Bobby Vee,5MX2l6ewjOaeWn1lYNhzlO,The Legendary Masters Series,434hmQ0GM7ynBeMZz5BSQ3,62,not available
6,Blueberry Hill - Remastered 2002,2NkAoxQOr6MGdMB5JDTU81,Fats Domino,09C0xjtosNAIXP36wTnWxd,Greatest Hits: Walking To New Orleans,0SFClXD5CAnZ6vzrcTzXgQ,59,not available
7,Beyond the Sea,3KzgdYUlqV6TOG7JCmx2Wg,Bobby Darin,0EodhzA6yW1bIdD5B4tcmJ,That's All,5MsJK0kqiYIJDmd3cjkGMn,66,https://p.scdn.co/mp3-preview/265a0fffe03b363973ddf23f0c8f4e55a3d0b45a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Will You Love Me Tomorrow,038uhVbOVY9RUMR93PZ56G,The Shirelles,0x83OBqixqdCHnStP5VMcn,Will You Love Me Tomorrow? The Anthology,0P50pSnk73fmyFAeqrQUmA,8,not available
9,Bye Bye Love,1j7HyD3cxyYw9bMFevxWyR,The Everly Brothers,4ACplpEqD6JIVgKrafauzs,"""All I Do Is Dream"" Everly Brothers",6c6lTSg4kIOMQ52CkTTUEx,8,not available
10,Breaking Up Is Hard to Do,7utoClKnLShFg6u6dZ20gp,Neil Sedaka,5N6GwJzOcOY5kv8p0NjhYL,Collections,7s1t3zA17RfNVhMYv2v52o,54,https://p.scdn.co/mp3-preview/615c303c30f5fc61255d856d316ce955e16bb41c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,Hello Mary Lou (Goodbye Heart),0IMS1Za69G3KHMX4liB2Nr,Ricky Nelson,73sSFVlM6pkweLXE8qw1OS,Greatest Love Songs,6B2Bk4rcGuYVjlMukQHJJL,55,not available
12,Be My Baby,1WN4uNclrDuczTO3bCr8s1,The Ronettes,7CyeXFnOrfC1N6z4naIpgo,Presenting the Fabulous Ronettes Featuring Veronica,0CoNLgOwcZGBUSwd9fAZuy,53,https://p.scdn.co/mp3-preview/4cc65df2093b5e80f8f7629525adac09f2510e04?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,That'll Be The Day,3wvZ0ZS3alz4zH2CNhR3AC,The Crickets,4r7JUeiYy24L7BuzCq9EjR,Rave On: The Very Best Of …,4FDsAwhD5dXXEkcUdG5I59,8,not available
14,(‘Til) I Kissed You,1vVY5vd4kowd70TdTuEjfV,The Everly Brothers,4ACplpEqD6JIVgKrafauzs,Top 100 Hits - Rock And Roll,2YVKgCKM0IgHxxmLzWutm3,5,not available
15,Mack the Knife,3E5ndyOfO6vFDEIE42HA8o,Bobby Darin,0EodhzA6yW1bIdD5B4tcmJ,That's All,5MsJK0kqiYIJDmd3cjkGMn,61,https://p.scdn.co/mp3-preview/e8b0f9dfca9fd213711a72271025bcb8014e4a13?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,Travelin' Man - Remastered,2jc4wyf3ys0zKCpxHRjEYx,Ricky Nelson,73sSFVlM6pkweLXE8qw1OS,The Best Of Rick Nelson,607RtLzi6P55QVhosSAGwQ,57,not available
17,"Return to Sender - From ""Girls! Girls! Girls!""",3uwIoa2emQILz6BmH6MtiW,Elvis Presley,43ZHCT0cAZBISjO8DG9PnE,Girls! Girls! Girls!,6wH0jlf2q1yCprUO5XWSdz,62,https://p.scdn.co/mp3-preview/bc26e58d6ef90d9c69373b717ebd0739dd09050f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
