The Scene,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,328687,spotify
1,Lonely Codependent,5B0mLTZ1ZyrxwkhDefj31f,Kayak Jones,3adoUmYo7HrLl98fB1nnhW,You Swear It's Getting Better Every Day,6K7s0FB8KGLeVkLvZ9PWTf,31,https://p.scdn.co/mp3-preview/858a0de3939fb3de13f00855e2d1496c9c2ead58?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Better Now,79HhaJyKuJyFGEgOlHrHiP,Sunsleeper,3KHHh4WVfyUa9ZwE63jdir,Better Now,1CL8zLHtZY8d4w01m7RPV9,18,https://p.scdn.co/mp3-preview/fa11535493050db1157811639d3c88136c020c87?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,She's A God,2RSWXsgLoiGfuHHJk5ykxr,Neck Deep,2TM0qnbJH4QPhGMCdPt7fH,She's A God,4xxdLKcI0SaURrkrqt5LAu,62,https://p.scdn.co/mp3-preview/fdce2e2f0c2712de729a25fa22acc34337e2ee01?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Steady Glow,7z0BWWSUAfK2nq59IAHAyf,In Her Own Words,3NBHNlkwYabSLvnisILPSI,Steady Glow,7xXGabh3KEE6qt7pk9iro3,43,https://p.scdn.co/mp3-preview/445202f9156e45d41ba81a76b196d7186c5e7eed?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Lavender Bones,27wvnSTpsyS9k06aDtXvt8,Stand Atlantic,1W2Fv4YUnjC8hx2qQd6fGh,Lavender Bones,6CvGI6E8zQzbHLXPEsWnnt,49,https://p.scdn.co/mp3-preview/5bd9a9b4938f00c0505ce167c9004d0a594a32e2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Moving Boxes,7lSqt09mk5hlzVWLzYIuWI,With Confidence,2PWXHVDEtObSmUrNhfPRav,Love and Loathing,07aGx2IErugtk4d7clL03j,58,https://p.scdn.co/mp3-preview/fbc4398a2a283516abdf7bfdad5cf753945280c2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Make Up Sex,3auTmPYRvKkwKbszol3eSV,Lizzy Farrall,6ifpb96yDqUFuSIpM62FTa,Barbados - EP,6pkOxw5Oomob272mLqBnd8,10,https://p.scdn.co/mp3-preview/1b91e446e46c70ba92353d7ce6fd6783fcc86e30?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Break Me Down,19zeIKIKfqwONdb9v6l80j,Out Cold,19YZoaNwpqy1vPn69ofnIC,Break Me Down,3WXJhBqkjbR88bVH1RMe6n,19,https://p.scdn.co/mp3-preview/95a9a222e42aa334868b1aa3fa683bcff6a5b373?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Alone with You,3jLj7HQNl4LXc9vNuwcFyw,In Her Own Words,3NBHNlkwYabSLvnisILPSI,Steady Glow,7xXGabh3KEE6qt7pk9iro3,50,https://p.scdn.co/mp3-preview/4a50be3081d68d44e5da019efb4938309ec49bbf?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,I Think I'm OKAY (with YUNGBLUD & Travis Barker),6bWBLZLBRQEJ5KsLicouNB,Machine Gun Kelly,6TIYQ3jFPwQSRmorSezPxX,I Think I'm OKAY (with YUNGBLUD & Travis Barker),6iGIjsBt4RJQFYlBBiNk39,60,not available
11,Numb Without You,22aSl53GhZ1y0R4neQ11pd,The Maine,4o0pNHbyj36LPvukNqEug0,You Are OK,0DRUOQBsax8QLUVctbEIAT,28,not available
12,40 Over - Alternate Version,5Jh8SBqHT91x7shg2VNNWx,Seaway,0JXDwBs1sEp6UKoAP58UdF,Fresh Produce,4WWoHnK6aJKPPUiVrS9cnk,10,https://p.scdn.co/mp3-preview/fa6ac8c79064e95afc44b4435f7aafbb0ec039d3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
