All Out 80s,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,6261482,spotify
1,The Best - Edit,2W2ieVidLIx9TDvxu0ZT6F,Tina Turner,1zuJe6b1roixEKMOtyrEak,Simply The Best,1ZFC0iOKUp4M16eHXVaeG4,72,https://p.scdn.co/mp3-preview/738d50b081e945b2ef2b392e902571b261b92ed1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,You Can't Hurry Love,4YUlGNZfYA6EUE5KDsGqpC,Phil Collins,4lxfqrEsLX6N1N4OCSkILp,"Hello, I Must Be Going",0FqbBSfKYpnhGWa5M1TxkY,31,not available
3,I'm Still Standing,0lzpfrTARexLFXEACKSXTh,Elton John,3PhoLpVuITZKcymswpck5b,Rocket Man (Deluxe Edition),1vsWzNT3lzLt7RNLUdUVZB,26,not available
4,Crazy Little Thing Called Love - Remastered 2011,6xdLJrVj4vIXwhuG8TMopk,Queen,1dfeR4HaWDbWqFHLkxsg1d,The Game (2011 Remaster),58alCatewkjNm9IM1Ucj67,75,not available
5,Uptown Girl,5zA8vzDGqPl2AzZkEYQGKh,Billy Joel,6zFYqv1mOsgBRQbae3JJ9e,An Innocent Man,3R3x4zIabsvpD3yxqLaUpc,79,https://p.scdn.co/mp3-preview/fcc3b727931ee5011d48e54124f7982cebc0433a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,What A Feeling,0aAR5HogGoT68EWFbyRFqx,Irene Cara,3oZa8Xs6IjlIUGLAhVyK4G,What A Feeling,7C65CLdoGCQZ739kfYVcwY,69,https://p.scdn.co/mp3-preview/bc6a35d8a3dbdbed0a7c7fde9a9ce6c4fc3207a6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Don't You (Forget About Me) - Remastered,0A4PZuepTcIQVvA5m7R0M1,Simple Minds,6hN9F0iuULZYWXppob22Aj,Celebrate (Greatest Hits),7dKQCCQnnkqgRQFxKRDqkJ,77,not available
8,Every Breath You Take,0SNGe4xksgp7CGnY5kMXOJ,The Police,5NGO30tJxFlKixkPSgXcFE,Stranger Things (Soundtrack from the Netflix Original Series),0CTCk1eshEadFqZ4NBfe9N,68,https://p.scdn.co/mp3-preview/a0aaadd12a0a4c8d925411ed687e5aa0145b2a22?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Africa,2374M0fQpWi3dLnB54qaLX,TOTO,0PFtn5NtBbbUNbU9EAmIWF,Toto IV,62U7xIHcID94o20Of5ea4D,85,https://p.scdn.co/mp3-preview/dd78dafe31bb98f230372c038a126b8808f9349b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,Walking On Sunshine,05wIrZSwuaVWhcv5FfqeH0,Katrina & The Waves,2TzHIUhVpeeDxyJPpQfnV3,Katrina & The Waves,1UQG78YJjaBySRMh0A8Uw7,79,not available
11,Karma Chameleon,3XDeeP9wBZzGhIPZmLfEEx,Culture Club,6kz53iCdBSqhQCZ21CoLcc,Colour By Numbers,0VgBqlPrvUQsOqSwzA0fET,66,not available
12,Summer Of '69,0GONea6G2XdnHWjNZd6zt3,Bryan Adams,3Z02hBLubJxuFJfhacLSDc,Reckless (30th Anniversary / Deluxe Edition),2o2G49EPi4lua5zgxUKhLL,82,not available
13,Don't Stop Believin',3DtK601PJiNPe8COo67unB,Journey,0rvjqX7ttXeg3mTy8Xscbt,Flash Back Internacional,0xHBgcc8mjG1FILI9NPrg9,64,https://p.scdn.co/mp3-preview/6f7efbe0df0643974dc650e0bb3c44c39848fb0d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
