Rock This: Best of 2017,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,63090,spotify
1,Feel It Still,6QgjcU0zLnzq5OrUoSZ3OK,Portugal. The Man,4kI8Ie27vjvonwaB2ePh8T,Woodstock,4VzzEviJGYUtAeSsJlI9QB,81,https://p.scdn.co/mp3-preview/c32d9479367a99fcf5f881e23e1381e6f87214e9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Lights Out,1060gzllf4b0UETAXisR5l,Royal Blood,2S5hlvw4CMtMGswFtfdK15,How Did We Get So Dark?,3Rz6kF8eGqrDOEteo5YsBj,65,https://p.scdn.co/mp3-preview/ebb9ef2f90a577e91dd8d01257803aac30447f3c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,The Sky Is A Neighborhood,3kdMzXOcrDIdSWLdONHNK5,Foo Fighters,7jy3rLJdDQY21OgRLCZ9sD,Concrete and Gold,6KMkuqIwKkwUhUYRPL6dUc,70,https://p.scdn.co/mp3-preview/cf2588ff2b6975ec32815b83c6afc15fdedda76b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,The Way You Used To Do,7dBMQbBKG6n9HkVXkUKnhQ,Queens of the Stone Age,4pejUc4iciQfgdX6OKulQn,The Way You Used To Do,6HiS1OC87eIa2QJifFSrRi,55,https://p.scdn.co/mp3-preview/e0554425f35d7605b1ded2fe6062d84a7c879c29?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Rx (Medicate),2UZtI2HUyLRzqBjodvcUmY,Theory of a Deadman,74eX4C98E4FCrAMl39qRsJ,Wake Up Call,1P2L7DD1DCqb0VfpMyByLl,72,https://p.scdn.co/mp3-preview/9f469bdf015e441ab0679c92a98d80313585e4d4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Highway Tune,7aOor99o8NNLZYElOXlBG1,Greta Van Fleet,4NpFxQe2UvRCAjto3JqlSl,From The Fires,6uSnHSIBGKUiW1uKQLYZ7w,72,not available
7,"Young Lady, You're Scaring Me",6PtIXICwmoxCgLjw2zApDs,Ron Gallo,4rfE3kN2zKNC9L9tt3iVOg,HEAVY META,6w5N3oL83KiitLdFcCrzTj,60,https://p.scdn.co/mp3-preview/875d75dff78798d8cd862e729f5a80b04fd178e4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Jungle - Radio Edit,7Jg2M1wTxqyIZEfZgRpHz7,Tash Sultana,6zVFRTB0Y1whWyH7ZNmywf,Jungle,3H6WSHcSwJCvl0YSL7aoJb,55,https://p.scdn.co/mp3-preview/1a1787d072e620b65b97af6923434287e7dc272e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Legendary,5ny146QcjwyWUUhJDLv3Ch,Welshly Arms,1xKrH6GSh9CJh8nYwbqW7B,Legendary - EP,1ewy3UCj11RI5NpR5cYbCS,48,not available
10,Little One,5y1jgbDNgTfxoWXv3FhH2Q,Highly Suspect,2pqd3HsfsvcBGtHvPOg6eg,The Boy Who Died Wolf,3TC40H9dIJArFzy0rWnWCg,61,https://p.scdn.co/mp3-preview/f09c2f7dd643f55692a05ae01392326f879334dd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,Go To War,4A0LV6W7IUKPP2pyAZ356E,Nothing More,39VNwvlQTqE9SvgPjjnMpc,The Stories We Tell Ourselves,4tEmy5QxiF1b65HxuGnkco,60,https://p.scdn.co/mp3-preview/9c079b15b8c88212b66cde9ad313b86c2df12f20?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,Freeze Me,4bnnP9Z5d7MWCY930hRcGK,Death From Above 1979,18H0sAptzdwid08XGg1Lcj,Outrage! Is Now,5CaXSYkjqVmKuorB8IBS2h,1,not available
13,Come Together,45HAjqRWiNv6mMPw4NvZrU,Gary Clark Jr.,01aC2ikO4Xgb2LUpf9JfKp,Come Together,1FA0rfTpK5dost6Zk4pxjC,67,https://p.scdn.co/mp3-preview/31ea5e41d9af8a261c3f9153a2c964c314a7dec5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,No Good,0gnS1k4dyGPuD3TtHFaCD8,KALEO,7jdFEYD2LTYjfwxOdlVjmc,VINYL: Music From The HBO® Original Series - Vol. 1,3K6FbYh9Hlet8XXryMuqPc,50,https://p.scdn.co/mp3-preview/d439916ab51b08d4b64702cd11be97aa9dcfd3ed?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,Love Is Mystical,12pdXFcruNcPUbZypKUDgz,Cold War Kids,6VDdCwrBM4qQaGxoAyxyJC,LA DIVINE,7ivgZAxvcUXk33Jk4Hi7On,64,not available
16,The Man,5aWhs651KYM26HYM16kRdk,The Killers,0C0XlULifJtAgn6ZNCW2eu,Wonderful Wonderful,72ZfMxLCPG8mlWC0TXfZQi,70,not available
17,Walk On Water,5UMD1Iz7yyVK8Q5FLsVt3q,Thirty Seconds To Mars,0RqtSIYZmd4fiBKVFqyIqD,Walk On Water,3PXrILqM1bJoj2EUhqs8X3,7,not available
18,Believer,1NtIMM4N0cFa1dNzN15chl,Imagine Dragons,53XhwfbYqKCa1cC15pYq2q,Evolve,51s30K7a36ORx6AAaPBRRY,14,not available
