Great Music For Terrible Times - Matador 2018,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
13,The Rover (DJDS Remix),5Vj97l6mpmVzX9B00WPhbN,Interpol,3WaJSfKnzc65VDgmj2zU8B,The Rover (DJDS Remix),0N8ZWyOE3BHAQrKHJPAzXJ,40,https://p.scdn.co/mp3-preview/341fa8b0de0b3030563251eb3e570c7024363008?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,Time Fades Away - Recorded at Spotify Studios NYC,4k8gS9jSq9707NumLSkssT,Yo La Tengo,5hAhrnb0Ch4ODwWu4tsbpi,Spotify Singles,5dJeEVpkKTZ8s9Xr4inHTT,33,https://p.scdn.co/mp3-preview/32335828a7eb9f361ab316c8448e3ac827162b5d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,If You Really Love Nothing (Reimagined by Pêtr Aleksänder),3SBpB6BomyoXdY1ZKauiyo,Interpol,3WaJSfKnzc65VDgmj2zU8B,If You Really Love Nothing (Reimagined by Pêtr Aleksänder),3H34uyJ2hKQW0b28ZzXshY,35,https://p.scdn.co/mp3-preview/5586788519e353bbc21c04ac380089420e56f308?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,You Don't Need,7s9dKZqrHIJXsz4O3FOzP1,Body/Head,7iWLSJUrdU7ijowTmAHMCc,You Don't Need,2YkR5NHFPtVApSbl2cD9kg,0,not available
17,Loading Zones,4LwIz0EnIsvfiCWwsYyS0Y,Kurt Vile,5gspAQIAH8nJUrMYgXjCJ2,Loading Zones,527vBXlV0C6QhbMiSNsHoy,49,https://p.scdn.co/mp3-preview/a1c2248bc855ff2d34882fdf868b4087d90a3e5c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,You Don't Need,62wX2lShkcMFQXU2D8IYJQ,Body/Head,7iWLSJUrdU7ijowTmAHMCc,You Don't Need,3xsWwbismK6RbZKQoPje6a,16,https://p.scdn.co/mp3-preview/e2bc36d2a82fb153a07c01494ede134509f64031?cid=fa83a2fec7c440b7a2795d600d6b2c7e
19,The Rover,6EhB9ke1tDcyWXP6G6HXZn,Interpol,3WaJSfKnzc65VDgmj2zU8B,The Rover,27ySvF0xYWXQ0mJOn3kNMZ,51,https://p.scdn.co/mp3-preview/883269cf81dacf375bb3a49ebe3a5ecf92dd8b15?cid=fa83a2fec7c440b7a2795d600d6b2c7e
20,Bodys,6QbI1KSaDQhftv6aGHT5vn,Car Seat Headrest,5PbpKlxQE0Ktl5lcNABoFf,Twin Fantasy,20U1UWeGcGq7JVW0tf8yfH,57,https://p.scdn.co/mp3-preview/25c3de5e3ebdadce2d88aed737ecb4561044639e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,Refute,5HyXw7O24o7OMvTa155iSv,Stephen Malkmus & The Jicks,7wyRA7deGRxozTyBc6QXPe,Refute,3r21hYOFNo3GmghlWO6AUF,0,not available
22,Bomb (Girly-Sound Version),0iInUMrkWaGGUkPwIY1Ntk,Liz Phair,2LXeJdQVcFkhkWydphLI74,Bomb (Girly-Sound Version),5QmKO2r2rTMcEtcbuOpPOd,0,not available
23,Shades of Blue - Recorded at Spotify Studios NYC,6eqaU4suKIW8M2P6uDnZSd,Yo La Tengo,5hAhrnb0Ch4ODwWu4tsbpi,Spotify Singles,5dJeEVpkKTZ8s9Xr4inHTT,41,https://p.scdn.co/mp3-preview/54d1c6e104f0ac9db6f00508fb69f1ee97ef94d5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,The day the music dies,0YFbZcABXTjdlmWZzqmlpY,Iceage,03hlOXqRyyXO3ectp3eEbU,The day the music dies,69Kl61KNUi2Kd77sVrKCKs,12,https://p.scdn.co/mp3-preview/b962fc540510904f4511379883ddfd8be41670ef?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,Shiggy,6BGNdnDlD0yRh7S3b1HUGK,Stephen Malkmus & The Jicks,7wyRA7deGRxozTyBc6QXPe,Shiggy,6sOJxElnV5AUVoXQtovDUk,0,not available
26,Slip Away (Mura Masa Remix),1XoFL2IOCBOd4pTZR2xwi4,Perfume Genius,2ueoLVCXQ948OfhVvAy3Nn,Slip Away (Mura Masa Remix),1DDBvdZOM8hO3y3IEjzV5E,39,https://p.scdn.co/mp3-preview/253b81f8e3dabab25bb181dd88961c9e52694063?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,Heat Wave,3twm1m2HtONUDBkUE4iPju,Snail Mail,4QkSD9TRUnMtI8Fq1jXJJe,Heat Wave,27TbVRfck2PTdWcKFnYBkR,36,https://p.scdn.co/mp3-preview/68a446e6acc2a73253b905285fdc6b36a9b13b8e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
28,Divorce Song (Girly-Sound Version),5T34bUAPvwC40os3uV4aja,Liz Phair,2LXeJdQVcFkhkWydphLI74,The Girly-Sound Tapes,6CVNwm9i5fhBwlaV54gAOH,16,https://p.scdn.co/mp3-preview/eb900239528044abcb796d5625fc184a02d59fa9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
29,Take it all,5FOetLDclMYDN8ETjDeATF,Iceage,03hlOXqRyyXO3ectp3eEbU,Take it all,29JuXwtTRLoPEmgkEE2ste,22,https://p.scdn.co/mp3-preview/de530bf6fcba3d4a8fbcb04cbe8639b3e5f34668?cid=fa83a2fec7c440b7a2795d600d6b2c7e
30,For You Too,6BuARH7nrDZXH9MytcSQiq,Yo La Tengo,5hAhrnb0Ch4ODwWu4tsbpi,For You Too,0DpzblHMQO3CZXTnXdHnGh,0,not available
31,Next of Kin,6fgLU4V5e1GsYa0rseKYUy,Lucy Dacus,07D1Bjaof0NFlU32KXiqUP,Next of Kin,5pZwkqoRkjSX1ZBqKmnYYH,27,https://p.scdn.co/mp3-preview/c4f1494d933e7f7b05fb4a0b33564a1545173b8b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,Pristine,1JK7oWiemlE6d4zAMnHWvS,Snail Mail,4QkSD9TRUnMtI8Fq1jXJJe,Pristine,5XYvtCyxdwbsk2XIdLPFgU,36,https://p.scdn.co/mp3-preview/b97f8fe32a38250728b8e4164bd4aca6eee48491?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,Cute Thing,4jDzXRAdlK9yUxzd7UGZTn,Car Seat Headrest,5PbpKlxQE0Ktl5lcNABoFf,Cute Thing,1SEYYiFvCSV84j9iYE7Ndd,36,https://p.scdn.co/mp3-preview/0a6bb999806c125fa1830bad7ae21f5a04909afa?cid=fa83a2fec7c440b7a2795d600d6b2c7e
34,Pain Killer,1n6QxTSueuOIE7k0V444Er,Iceage,03hlOXqRyyXO3ectp3eEbU,Pain Killer,0aX9nzgB8XJh3C02BFj9GN,0,not available
35,Middle America,5XAB2EOpZ8LVLZUDIkm5W8,Stephen Malkmus & The Jicks,7wyRA7deGRxozTyBc6QXPe,Middle America,7jhOu4LjTcfsxC3IqjnPzH,28,https://p.scdn.co/mp3-preview/dad78b8d8d3f5f311f5444ee4a4d9076f68723dc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
36,Shades of Blue,1N4z8GZNd2xFe2ZrYu5BiN,Yo La Tengo,5hAhrnb0Ch4ODwWu4tsbpi,Shades of Blue,166TNrZOPy9vhQEmehzLra,0,not available
37,Catch it,4PDd6XyAZBSaZ3RjlyEpWk,Iceage,03hlOXqRyyXO3ectp3eEbU,Catch it,0ESfpQhaJLXXfV5KTzlyS2,23,https://p.scdn.co/mp3-preview/81e042eef1f9d3bc32452e919f50e9fd53ffe09b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
38,Nervous Young Inhumans (Single Edit),0g1DaZgscf7qHu7EcumKKC,Car Seat Headrest,5PbpKlxQE0Ktl5lcNABoFf,Nervous Young Inhumans (Single Edit),5SlxfvkIPT6A0ynKvKeBr3,29,https://p.scdn.co/mp3-preview/f2ebd57069d7f6dfb7841fa6fe53b9e121b7114b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
39,"She May, She Might",4DY3a1XTHABmK39mcrQTgd,Yo La Tengo,5hAhrnb0Ch4ODwWu4tsbpi,"She May, She Might",6Dz8v9vFS9IWnrUBKXh0DI,0,not available
40,Addictions,7Gh2SINVJ8l4wCqgu94DjG,Lucy Dacus,07D1Bjaof0NFlU32KXiqUP,Addictions,1P5qetVTuhvQgvmo4C7NCO,29,https://p.scdn.co/mp3-preview/5815468848c527be7cf6fde91e572f2571949585?cid=fa83a2fec7c440b7a2795d600d6b2c7e
41,Out of the Pool,1YkpEauRFDSteDjrO9is9w,Yo La Tengo,5hAhrnb0Ch4ODwWu4tsbpi,Out of the Pool,7xLNGqEUZmVOMMnkWDhuI4,0,not available
42,Night Shift,3ONaqCb780ATQB9j3vSoi2,Lucy Dacus,07D1Bjaof0NFlU32KXiqUP,Night Shift,629CzKiV2SbwuMSU0O9rIt,43,https://p.scdn.co/mp3-preview/11ff58f96758165ae3d0580925fe74b3852b4aab?cid=fa83a2fec7c440b7a2795d600d6b2c7e
43,The Same Star,0NRYLvo9Q3aPlbyHawJypc,Belle & Sebastian,4I2BJf80C0skQpp1sQmA0h,The Same Star,4U033WdZriezOgoKGWVA6o,32,https://p.scdn.co/mp3-preview/3bf3bd270cd0434c4ac57d81c5c7430a6aff4493?cid=fa83a2fec7c440b7a2795d600d6b2c7e
44,You Are Here,7HLg8nE06evR3lUUpTlCCk,Yo La Tengo,5hAhrnb0Ch4ODwWu4tsbpi,You Are Here,6C7pPy0VKEnugCVB7SJDxD,5,not available
