Matador Picks: Interpol,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,16,matadorrecords
1,The Weekend,41s19GuE9OVOQuDubCMhhT,Interpol,3WaJSfKnzc65VDgmj2zU8B,The Weekend,42Iu8fkTVdXj0OXhl9to3i,11,not available
2,The Rover,6EhB9ke1tDcyWXP6G6HXZn,Interpol,3WaJSfKnzc65VDgmj2zU8B,The Rover,27ySvF0xYWXQ0mJOn3kNMZ,51,https://p.scdn.co/mp3-preview/883269cf81dacf375bb3a49ebe3a5ecf92dd8b15?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Party's Over (Lao Remix),6x3JLmNExYOQScwIetbMIi,Interpol,3WaJSfKnzc65VDgmj2zU8B,Party's Over (Lao Remix),0R4QabJmK2KGBVOUm7d5qf,35,https://p.scdn.co/mp3-preview/5945aed2b8b97505abb7ba7301b759e4e908d7c5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,If You Really Love Nothing,7h4RBE1rGeHMoU7722HGVY,Interpol,3WaJSfKnzc65VDgmj2zU8B,Marauder,1LINxDMagUFRCw8VYbLBGL,62,https://p.scdn.co/mp3-preview/bef97c47ab4f8ed7c1be26a5f281cbdb2bb88bcc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,All The Rage Back Home,41g3tCnqP8yTauiPQPndVO,Interpol,3WaJSfKnzc65VDgmj2zU8B,El Pintor,0PNquUhkW8X80jKMEHXs5F,59,https://p.scdn.co/mp3-preview/83ce2e88fe61b25438433d887c272b4d14e41c56?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Evil,6B182GP3TvEfmgUoIMVUSJ,Interpol,3WaJSfKnzc65VDgmj2zU8B,Antics,58fDEyJ5XSau8FRA3y8Bps,66,https://p.scdn.co/mp3-preview/99f10107099aa5257143dfc62aca2e4d9fb8993d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Obstacle 1,7wvtiQ3o8ELEmk2NjSSPpX,Interpol,3WaJSfKnzc65VDgmj2zU8B,Turn On The Bright Lights: The Tenth Anniversary Edition (Remastered),0YOTy70NrfSFvKAbzLY9GF,63,https://p.scdn.co/mp3-preview/34f914ee585bfd9bf1db78d5a29a06ae33606bce?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,The Heinrich Maneuver,4VmqrMPBppKFkOw2zuEIt8,Interpol,3WaJSfKnzc65VDgmj2zU8B,Our Love To Admire,49agqemJmnDfTA8nqod1qy,36,not available
9,C’mere,1PAlCnDz8T0k9f2LRuQ6Wn,Interpol,3WaJSfKnzc65VDgmj2zU8B,Antics,58fDEyJ5XSau8FRA3y8Bps,58,https://p.scdn.co/mp3-preview/83063dd31084a633de2170dcb0397d83cd3336c9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,Untitled,5Egv98uHm9HN0iFSfV3qFC,Interpol,3WaJSfKnzc65VDgmj2zU8B,Turn On The Bright Lights,3o0yqWz9EsyBSmMFiq6lwl,42,https://p.scdn.co/mp3-preview/734dc2c7fa7d8858b504a30216770f411acd7723?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,Number 10,6CWMsBNUwhfMkgWN3BVNZq,Interpol,3WaJSfKnzc65VDgmj2zU8B,Number 10,2mLKqMPGn2ofblyNfBv5tK,29,https://p.scdn.co/mp3-preview/f4537a808a7657bbdbf5ad2b37a7f523b4195919?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,Leif Erikson,13Jwh1PJKxeCzDPQj2SILq,Interpol,3WaJSfKnzc65VDgmj2zU8B,Turn On The Bright Lights,3o0yqWz9EsyBSmMFiq6lwl,39,https://p.scdn.co/mp3-preview/ba1219031d781181f8cfbe3a5d6ea8dad24151e1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,Twice As Hard,5yliXGiVY5kQLhkc7G9WuC,Interpol,3WaJSfKnzc65VDgmj2zU8B,El Pintor,0PNquUhkW8X80jKMEHXs5F,41,https://p.scdn.co/mp3-preview/228e7761629b994323716a2463ff9afbf4de8156?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,NYC (Peel Session),7E1OafGdpvoTd1PQWhp40w,Interpol,3WaJSfKnzc65VDgmj2zU8B,Turn On The Bright Lights: The Tenth Anniversary Edition (Remastered),0YOTy70NrfSFvKAbzLY9GF,28,https://p.scdn.co/mp3-preview/f54fcd07dece36395506deb3bd2de72f95914402?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,Flight of Fancy,6DggPjFjHLJkB9iGloA19p,Interpol,3WaJSfKnzc65VDgmj2zU8B,Marauder,1LINxDMagUFRCw8VYbLBGL,48,https://p.scdn.co/mp3-preview/3a7e0bff36152b8846158a388d63019f0cbdab73?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,Ancient Ways,2CsAQIqnwtHuQLTFksxUZV,Interpol,3WaJSfKnzc65VDgmj2zU8B,Ancient Ways,4ByVjpqhHRuZ56y5t2dN9R,14,https://p.scdn.co/mp3-preview/90edde618574dead06377f590312a6762d1cf581?cid=fa83a2fec7c440b7a2795d600d6b2c7e
