Matador: Revisionist History,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,45,matadorrecords
1,Evil,6B182GP3TvEfmgUoIMVUSJ,Interpol,3WaJSfKnzc65VDgmj2zU8B,Antics,58fDEyJ5XSau8FRA3y8Bps,66,https://p.scdn.co/mp3-preview/99f10107099aa5257143dfc62aca2e4d9fb8993d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,NARC,6taHi4hVcsu0cBZJ3QT6hp,Interpol,3WaJSfKnzc65VDgmj2zU8B,Antics,58fDEyJ5XSau8FRA3y8Bps,49,https://p.scdn.co/mp3-preview/400a89fc977ac6d1ba6ee5787e0bb598ec55a489?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,X-Ray Man,3AEadEQxFJ2SMD4XWRIwjg,Liz Phair,2LXeJdQVcFkhkWydphLI74,Whip-Smart,7b2JNONmqJRtIKTofRdcFp,22,not available
4,Dogs Of L.A.,4Q3Q7HnaHYxZ8RTwErNWAn,Liz Phair,2LXeJdQVcFkhkWydphLI74,Whip-Smart,7b2JNONmqJRtIKTofRdcFp,21,not available
5,Freak Train,6PpekNXEdQp1jLjmjMJ4Rd,Kurt Vile,5gspAQIAH8nJUrMYgXjCJ2,Childish Prodigy,3LJQ0Hfr5fbaor3iBWg9c4,38,https://p.scdn.co/mp3-preview/74170bc2f38562fe4112bf09b92ad390b424ecd7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Monkey,6LGMz8ybH9FU3n684sajt9,Kurt Vile,5gspAQIAH8nJUrMYgXjCJ2,Childish Prodigy,3LJQ0Hfr5fbaor3iBWg9c4,21,https://p.scdn.co/mp3-preview/ab53c50497290cd74692cb084a0c9ff58b199d21?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,He Turns Down,5SzRuqxdcoueJqFrlmdCkk,Cat Power,6G7OerKc3eBO9sVkRNopFC,Moon Pix,0PBUZ2KHPp5Q9fybGuT2ry,30,https://p.scdn.co/mp3-preview/57ceec5d5d96b8ff42b6e498b203feede575f4af?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Metal Heart,4omnfKQRBPbu7XuFpjcj2l,Cat Power,6G7OerKc3eBO9sVkRNopFC,Moon Pix,0PBUZ2KHPp5Q9fybGuT2ry,49,https://p.scdn.co/mp3-preview/9066d815b5cfa3bbf853c37c8e7c4ca1a526cf63?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,It Could Have Been A Brilliant Career,0UDerYmScoVsACIOBzBaOg,Belle & Sebastian,4I2BJf80C0skQpp1sQmA0h,The Boy With The Arab Strap,3uhUPlgihiYPLc0Wuhy31V,27,not available
10,The Boy With The Arab Strap,48wMTk5P8xP4lRuVA5uLsD,Belle & Sebastian,4I2BJf80C0skQpp1sQmA0h,The Boy With The Arab Strap,3uhUPlgihiYPLc0Wuhy31V,48,not available
11,Big Tall Man,7b45FyyXv7DddQtJPB7GsP,Liz Phair,2LXeJdQVcFkhkWydphLI74,Whitechocolatespaceegg,7eWv8vdJnYcTIP2BkQRNPy,19,not available
12,Polyester Bride,3Tbs9O6zy07BjjCU1omonJ,Liz Phair,2LXeJdQVcFkhkWydphLI74,Whitechocolatespaceegg,7eWv8vdJnYcTIP2BkQRNPy,36,not available
13,Baby Vampire Made Me,5fiy9MVNGmQKga42aZNyrp,Helium,7mefbdlQXxJVKgEbfAeKjL,Pirate Prude,3TVrfbEBIQTimq6UtUe3vv,10,https://p.scdn.co/mp3-preview/172e7876fbde0d5b2eea017780796f7b3a45cf84?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,"Wanna Be A Vampire Too, Baby.",5D1erIV9SdS8wzR2vZ8109,Helium,7mefbdlQXxJVKgEbfAeKjL,Pirate Prude,3TVrfbEBIQTimq6UtUe3vv,7,https://p.scdn.co/mp3-preview/e7d12c6805bbebe6748e6b673e999e26100430d5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,Body Bomb,4WIDfsHS3nPStqWQ7IqK3i,Unsane,2C3gpQ0UMPjrOQ4FYdylRS,Total Destruction,67ePkh7n1K6XMKF9xKeBxn,12,https://p.scdn.co/mp3-preview/2139536fe93a31d5ae19d1aff627bc9d06980197?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,Black Book,7Croh3TzL85habd7ZL1vX5,Unsane,2C3gpQ0UMPjrOQ4FYdylRS,Total Destruction,67ePkh7n1K6XMKF9xKeBxn,8,https://p.scdn.co/mp3-preview/eeacba0d76288c40468450088346f0e7576d9e24?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,Cut Your Hair,42A0QPOvw1bumGoVbRb2KV,Pavement,3inCNiUr4R6XQ3W43s9Aqi,"Crooked Rain, Crooked Rain: LA's Desert Origins",4YqxiKEVG0OuwX0g2XWW99,33,https://p.scdn.co/mp3-preview/ff648a162f719cbfd0d78fecab90da5d14970d46?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,Range Life,6lAZ7xfP9su2ZvGk1rRc3R,Pavement,3inCNiUr4R6XQ3W43s9Aqi,"Crooked Rain, Crooked Rain: LA's Desert Origins",4YqxiKEVG0OuwX0g2XWW99,56,https://p.scdn.co/mp3-preview/5bbc1c2f6c502a8ced3ab5f3e92b9264c2c2d5c7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
19,Anti-Orgasm,75kcC92jxy5n12nTfsORoo,Sonic Youth,5UqTO8smerMvxHYA5xsXb6,The Eternal,5qo7iEWkMEaSXEZ7fuPvC3,27,https://p.scdn.co/mp3-preview/ba25171f21c20b9813dda312421d9e7f1bd506ca?cid=fa83a2fec7c440b7a2795d600d6b2c7e
20,Poison Arrow,21Da5ohcR2TxdDmrBcAe1I,Sonic Youth,5UqTO8smerMvxHYA5xsXb6,The Eternal,5qo7iEWkMEaSXEZ7fuPvC3,20,https://p.scdn.co/mp3-preview/123b29f73e9d0238e6c32a86df55dceb8e35ce1a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,It Ain’t Gonna Save Me,2SW0eGJ2TYBJdhms9p8z3a,Jay Reatard,3cAGUcRbwsFHwKbJv8FT4T,Watch Me Fall,1ZK2pVHi5kjw9kqdlA9JCf,33,https://p.scdn.co/mp3-preview/ff04e7989021cf4f2901c1dd71b694c5f5c1001e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,I’m Watching You,1FUoP2RsROi5JUOEYGNAbr,Jay Reatard,3cAGUcRbwsFHwKbJv8FT4T,Watch Me Fall,1ZK2pVHi5kjw9kqdlA9JCf,18,https://p.scdn.co/mp3-preview/fac09dd2bf9b0056285fb46c424532a4f1bae1c7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,Girls Of Wild Strawberries,37WpFpma5wo43nIllkcrId,Guided By Voices,4oV5EVJ0XFWsJKoOvdRPvl,Half Smiles of the Decomposed,6QnNUDSrtybfhMKsRgzL0P,17,https://p.scdn.co/mp3-preview/156d8913781f0328eea332bfe9cc2ec02c0b1749?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,Huffman Prairie Flying Field,233THDWrAeNBoHak2K24gQ,Guided By Voices,4oV5EVJ0XFWsJKoOvdRPvl,Half Smiles of the Decomposed,6QnNUDSrtybfhMKsRgzL0P,14,https://p.scdn.co/mp3-preview/0bb95fd44b2a1300f994d72f569c894c45b9a553?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,Here To Fall,0dYYL9irJYI1Z6gEvbvOka,Yo La Tengo,5hAhrnb0Ch4ODwWu4tsbpi,Popular Songs,5Vi8AMs747kpnUAJRrGx0p,24,https://p.scdn.co/mp3-preview/def4a55b3be4157561e48c95e6c361e0e8e4cf54?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,And The Glitter Is Gone,7p8PXUifkAKmp5XRq6viT7,Yo La Tengo,5hAhrnb0Ch4ODwWu4tsbpi,Popular Songs,5Vi8AMs747kpnUAJRrGx0p,17,https://p.scdn.co/mp3-preview/374324356f22a845251f8f663fd9ef5b713a90c3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
