Seattle - Downtown,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,20,spotifyusa
1,Stupid Goodbye,4tN07no3fmJAk5R2pGTy0p,Zefereli,1HO9mrkPx8QzgF6A8GsVkB,Stupid Goodbye,6CSpIYbP5OeWf2uLwqr66y,11,https://p.scdn.co/mp3-preview/3ac217561c6e59226c8278384fc8561ca2397e08?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Peaches and Cream,2SLZ2rX5773RS16mcqBxG7,112,7urq0VfqxEYEEiZUkebXT4,Part III,6QlbqTqKJt1UnuH3PLz9mb,68,https://p.scdn.co/mp3-preview/24735540544ed7b6a00866a330177b444cbb43bb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Dustism,2OsmOTariM8whWzvPsPAeK,This Will Destroy You,0MG4LXIw7n4x0wjDc6WYXk,Another Language,7JbUvdIr1yepIxZy9rt3un,42,https://p.scdn.co/mp3-preview/28956906f91d8a06a4470b0e25e2797139d2c8cf?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,When I'm With You,37PCsjatdVXAmpDPfPAevZ,Shitbaby Mammals,0ywByHdn2fhTxWZDtH6Bln,When I'm With You,6o22HK06sFeTG3UYjf37Qp,0,not available
5,Kyoto,4dUwjchLzFAa9xFN4O33Iz,Lucho Ripley,5oOijeEUSB2xVblXIb8YfP,Mirakler,0oN1Xcld4xsVwvdtf8QUB0,16,https://p.scdn.co/mp3-preview/a5c0ee0aba251fd769afb37fa42e334b729c2721?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Controversial/Confrontational,3xhqfD90UWtF6WiKwOMPmB,Globelamp,0ezw3bHcRkNIGBBu0cukQe,Controversial/Confrontational,4BcKYbIs8RbOy6NmpamxGj,0,not available
7,Whelm,0pSXCaQdKPZAyFVfm1eXCY,Western Skies Motel,40RXNwMD0UdGRmeDrrfUdt,Settlers,0OwphA7THNGQe8IUFHYtih,19,https://p.scdn.co/mp3-preview/33657a0ffd3d6d87244db498745fc41a630c528f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,First Fall,2TgGlxFm2D0Abt4Iao9pEF,The Echelon Effect,20lGLFmdtadbUYmqzFRcA2,Sierra,6ivAgfz6fzB5SFAzGUbp9g,29,https://p.scdn.co/mp3-preview/289f4d1312e3235a7ec080d8e67a78977cdf8f34?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Take Me To Church (Acoustic Cover) feat. Matt Wright,2iNnrc56yZP4jBBLkPc5bx,Megan Davies,09kCHZp9iFO2FJNb9lR6G5,Take Me To Church (Acoustic Cover) feat. Matt Wright,2B4RGo8z3KZUkjM5HqotjR,61,https://p.scdn.co/mp3-preview/455035f748a46cd03c15774f3d418de8c618b26e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,What Took You So Long,0ikFMVbWg8RzMyDFjmgehl,City of the Sun,4DkYxtaASIKQnk4Gj0TB7k,Jefferson St. Sessions,4F2MxyKzBsG7be5C0vpJH3,33,https://p.scdn.co/mp3-preview/95ed86e8b1b45fbdb6397b0dedad0b9f87307796?cid=fa83a2fec7c440b7a2795d600d6b2c7e
