RTJ Run the Playlist,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,122,spotifyusa
1,Out of the Black,2nIulsLMiP2SMTDrtxfQXX,Royal Blood,2S5hlvw4CMtMGswFtfdK15,Royal Blood,7DJijwZ2wqJrgLpcRMxs3G,55,https://p.scdn.co/mp3-preview/46dd9e93f7d4fdf2d2f4dff21c5b4b35a75d4d7f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Champagne & Reefer - Live,2PatEYrrVBNx5LPjTL2ruP,Muddy Waters,4y6J8jwRAwO4dssiSmN91R,"Muddy ""Mississippi"" Waters Live (Legacy Edition)",7Dy6z1nWHNIF2IKCARP9QN,46,https://p.scdn.co/mp3-preview/99df5250b7e31daa25515927f8f51c5a47a51382?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Whipping Post,40ypi7yqrSU8aNb3CY2lKA,The Allman Brothers Band,4wQ3PyMz3WwJGI5uEqHUVR,The Allman Brothers Band,4FBu5GGExc54BrpdKEqJJQ,1,not available
4,Midnight Rider,7egyR1d4Xmr1TsmpJct9bL,The Allman Brothers Band,4wQ3PyMz3WwJGI5uEqHUVR,The Best Of The Allman Brothers 20th Century Masters The Millennium Collection,7a1xwcbhy0AYoLM8f2ikqc,5,not available
5,Preach,5CVdwvnAjg70y8OYTAnYbA,Young Dolph,3HiuzBlSW7pGDXlSFMhO2g,High Class Street Music 4: American Gangster,4CJGK61c7UeRbcR7jOJpoA,0,not available
6,Good Morning,27eO3EGKIUU7yug1eOxUZu,Kanye West,5K4W6rqBFWDnAN6FQUkS6x,Graduation,3SZr5Pco2oqKFORCP3WNj9,8,not available
7,Two Words,6GI114RuBiRyc09NcXyU6y,Kanye West,5K4W6rqBFWDnAN6FQUkS6x,The College Dropout,3ff2p3LnR6V7m6BinwhNaQ,1,not available
8,Jesus Walks,62r62ArmWq38cu6QCVgyTc,Kanye West,5K4W6rqBFWDnAN6FQUkS6x,The College Dropout,3ff2p3LnR6V7m6BinwhNaQ,10,not available
9,Top Billin - Acapella,59vYYvb9JS5IQAp8xpf0CY,Audio Two,10toSzLMkc2zIYiiAemHt1,What More Can I Say,4ULe1bx6XkffNvsbB9DHr6,48,https://p.scdn.co/mp3-preview/92f5ae28cd5535427a0fef8d34b36e753272dc4f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,Player's Ball,1RXEb6UTxJ05RffnAWfUOE,OutKast,1G9G7WwrXka3Z1r7aIDjI7,Southernplayalisticadillacmuzik,3l5AwLKqQ42VJbc5lTuP8G,61,https://p.scdn.co/mp3-preview/31bc45c47bc5eeebfa75a46db745fe60043ef161?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,Dazed and Confused,6hu1f1cXSw7OAqhpSQ2zDy,Led Zeppelin,36QJpDe2go2KgaRleHCDTp,Led Zeppelin,3ycjBixZf7S3WpC5WZhhUK,64,https://p.scdn.co/mp3-preview/b603773ce8c52809d755bc6ae987ee3be5f99f67?cid=fa83a2fec7c440b7a2795d600d6b2c7e
