Wake Up,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,67625,spotifyusa
1,Viva La Vida,1mea3bSkSGXuIRvnydlB5b,Coldplay,4gzpq5DPGxSnKTe4SA8HAU,Viva La Vida or Death and All His Friends,1CEODgTmTwLyabvwd7HBty,80,https://p.scdn.co/mp3-preview/bb0a310830636ebf8e5f6a1fa03d129a9724f7ec?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Elevate,5BxVRqpZi6tIhAap1ZjzVD,St. Lucia,5WId4o5jdGVhptNU0uqKxu,When The Night,7fbye8EAeiLsiKAe2upMEh,56,https://p.scdn.co/mp3-preview/983050532cbf1fb32bae3023cb3811e08dd1e06d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,"Downtown (feat. Melle Mel, Grandmaster Caz, Kool Moe Dee & Eric Nally)",1pWcwCBnN5dVSXvosxoGj3,Macklemore & Ryan Lewis,5BcAKTbp20cv7tC5VqPFoC,"Downtown (feat. Melle Mel, Grandmaster Caz, Kool Moe Dee & Eric Nally)",6mLTxyMX1EOsUIt5ex4kCX,2,not available
4,Lovely Day,0ACACkoHUwgfgY5CxVIL4N,Bill Withers,1ThoqLcyIYvZn7iWbj8fsj,Lean on Me: The Best of Bill Withers,0XmgSYx9bj4sqpcXVgKs2C,67,https://p.scdn.co/mp3-preview/d1ba88e99cd758b289541cdc448941b4a3d73614?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Wake Me Up,4h8VwCb1MTGoLKueQ1WgbD,Avicii,1vCWHaC5f2uS3yhpwWbIA6,True,1s9tU91VJt4sU5owi29GD3,84,not available
6,Can't Sleep Love,1klGbW5a9qTBFUjFfddbmU,Pentatonix,26AHtbjWKiwYzsoGoUZq53,Pentatonix (Deluxe Version),6qf9tE8pNRW0kX1Cucrixr,62,https://p.scdn.co/mp3-preview/44e9e407fc2218a7ebcf14a0310f908822f1a166?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Confident,3DXXKDbbZKyAZfNb96ST3q,Demi Lovato,6S2OmqARrzebs0tKUEyXyp,Confident,56yYgfX6M5FlpETfyZSHkn,47,not available
8,Wake Up,2uljPrNySotVP1d42B30X2,Arcade Fire,3kjuyTCjPG1WMFCiyc5IuB,Funeral,0aGwrXjKIfAMlj1vBYLtnR,11,not available
9,Love Myself,0xCmwofyCiXdhoBsMSNj2w,Hailee Steinfeld,5p7f24Rk5HkUZsaS3BLG5F,Love Myself,7IOGGleQTdhE3TVCb9vMzt,13,not available
10,Money On My Mind,2FFOQpNyN4us5DaVaf6Qcc,Sam Smith,2wY79sveU1sp5g7SokKOiI,In The Lonely Hour,2Jg7JZ0ZXOGje1bkq7CVgK,1,not available
11,I Can't Help It,4QSjp5nuuNAdlzUbVhICRM,Esperanza Spalding,5bepW5vcdRzheNc0F8lHJ5,Radio Music Society,0GRy0tSYoSbtuOziEDnDnZ,38,not available
12,Come And Get It,161nSMdnYYUTEOhipcA7JF,John Newman,34v5MVKeQnIo0CWYMbbrPf,Revolve (The Deluxe Edition),07JSdE1vVybin0YXccpEoz,58,not available
13,Ain't Nobody (Loves Me Better),3vbqb78xzvD3CJl7ZeW83c,Felix Jaehn,4bL2B6hmLlMWnUEZnorEtG,Ain't Nobody (Loves Me Better),3NC0WEl19sJosOSW0812Iw,51,not available
14,Feel Right,2ENBaEOC0Jgi2au9Jt7y7d,Mark Ronson,3hv9jJF3adDNsBSIQDqcjp,Uptown Special,3vLaOYCNCzngDf8QdBg2V1,52,https://p.scdn.co/mp3-preview/daa8310b9da8ba316ba1cfcdab16b2b3f9c4efd7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,Rather Be (feat. Jess Glynne),3s4U7OHV7gnj42VV72eSZ6,Clean Bandit,6MDME20pz9RveH9rEXvrOM,Rather Be (feat. Jess Glynne),4UB0J5V3JsZZtNR360pZ6r,73,https://p.scdn.co/mp3-preview/a9d9d2d68603e22dd2f04693c8e29e4f5823e09f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,Walking On Sunshine,05wIrZSwuaVWhcv5FfqeH0,Katrina & The Waves,2TzHIUhVpeeDxyJPpQfnV3,Katrina & The Waves,1UQG78YJjaBySRMh0A8Uw7,79,not available
17,On Top Of The World,6KuHjfXHkfnIjdmcIvt9r0,Imagine Dragons,53XhwfbYqKCa1cC15pYq2q,Night Visions (Deluxe),1rzDtYMpZDhRgKNigB467r,68,not available
18,Reflections,2PtBhfoPZ6VYtXkrE5FrCH,MisterWives,5ivCbtrcD5N4rD337xIb2z,Our Own House,726GB3GTBwPdsGr5XzOQbz,63,not available
19,Warm Blood,37iFlmC2ZbLcRtyZYPLSYA,Carly Rae Jepsen,6sFIWsNpZYqfjUpaCgueju,Emotion,6UjZgFbK6CQptu8aOobzPV,47,not available
20,Hit the Quan - Original Version,4OjuzM3rTWp3q60mEldNSF,iLoveMemphis,3GsIlcwgQDJVjHD82mbA0Z,Hit the Quan,3fiDZIrP7VOB1xNVeYPIpo,56,https://p.scdn.co/mp3-preview/7ab50d70a7ad14fe01089e6123591d76d03d68ea?cid=fa83a2fec7c440b7a2795d600d6b2c7e
