HOT97 Best of 2018 - Top 50 Songs,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
10,New Freezer (feat. Kendrick Lamar),2EgB4n6XyBsuNUbuarr4eG,Rich The Kid,1pPmIToKXyGdsCF6LmqLmI,The World Is Yours,1Hno6CtKbaFNAEPjRHDrc6,72,not available
11,Sky Walker (feat. Travis Scott),5WoaF1B5XIEnWfmb5NZikf,Miguel,360IAlyVv4PCEVjgyMZrxK,War & Leisure,05LEST8E8mkEIl2LRfUkcI,76,https://p.scdn.co/mp3-preview/346fef42d6f419f25ce78866478f3d06637b05b4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,I Like It,58q2HKrzhC3ozto2nDdN4z,Cardi B,4kYSro6naA4h99UJvo89HB,Invasion of Privacy,4KdtEKjY3Gi0mKiSdy96ML,85,https://p.scdn.co/mp3-preview/0f8734f51bb0a419959fdad3a0852621f9e6bc89?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,In My Feelings,2G7V7zsVDxg1yRsu7Ew9RJ,Drake,3TVXtAsR1Inumwj472S9r4,Scorpion,1ATL5GLyefJaxhQzSPVrLX,84,not available
14,LOVE. FEAT. ZACARI.,6PGoSes0D9eUDeeAafB2As,Kendrick Lamar,2YZyLoL8N0Wb9xBt1NhZWg,DAMN.,4eLPsYPBmXABThSJ821sqY,80,not available
15,No Limit,2Xqd0wUttjueBfdcltADOv,G-Eazy,02kJSzxNuaWGqwubyUba0Z,No Limit,1KvHCH7ZuC3cWrfi28Xq5w,55,not available
16,SICKO MODE,2xLMifQCjDGFmkHkpNLD9h,Travis Scott,0Y5tJX1MQlPlqiwlOH1tJY,ASTROWORLD,41GuZcammIkupMPKH2OJ6I,89,https://p.scdn.co/mp3-preview/1c3c01c64477b356e28a652b6447f4ef96689a71?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,Finesse - Remix; feat. Cardi B,3Vo4wInECJQuz9BIBMOu8i,Bruno Mars,0du5cEVh5yTK9QJze8zA0C,Finesse (Remix) [feat. Cardi B],3mumK2ar9b4JPhVOZR0V2p,78,https://p.scdn.co/mp3-preview/10fbdd7986417e30e3bbf06d3fa22efe1663b2ee?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,MotorSport,4wFjTWCunQFKtukqrNijEt,Migos,6oMuImdp5ZcFhWP0ESe6mG,Culture II,7fd7SEK25VS3gJAUgSwL6y,77,not available
19,I Get The Bag (feat. Migos),1XRgIKC5TPwo7nWGyKqgG0,Gucci Mane,13y7CgLHjMVRMDqxdx0Xdo,Mr. Davis,2aTOwGU66ocsf8IQpOI0XZ,76,https://p.scdn.co/mp3-preview/8ae1a1c5ce2421df896e27cbf238da4597df39d9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
20,Lucid Dreams,285pBltuF7vW8TeWk8hdRR,Juice WRLD,4MCBfE4596Uoi2O4DtmEMz,Goodbye & Good Riddance,6tkjU4Umpo79wwkgPMV3nZ,88,not available
21,Be Careful,2Yl4OmDby9iitgNWZPwxkd,Cardi B,4kYSro6naA4h99UJvo89HB,Invasion of Privacy,4KdtEKjY3Gi0mKiSdy96ML,74,https://p.scdn.co/mp3-preview/befe3cd3011f62ef8520f40e197c59bff4b67c12?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,Walk It Talk It,6n4U3TlzUGhdSFbUUhTvLP,Migos,6oMuImdp5ZcFhWP0ESe6mG,Culture II,7fd7SEK25VS3gJAUgSwL6y,80,not available
23,Uproar,3wScL5W8H40zzCKN0atfBk,Lil Wayne,55Aa2cqylxrFIXC767Z865,Tha Carter V,50yFYgKdwJANZ5O9MIbMkg,76,not available
24,Way Too Fly (feat. DaVido),1NAR2XeNMp6SegDBp0NlRy,A Boogie Wit da Hoodie,31W5EY0aAly4Qieq6OFu6I,International Artist,6opJjTuHd4tQ1h2qrus7jH,55,https://p.scdn.co/mp3-preview/3e00a55f4048a5db3103179367df76c6a5caf17e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,Trip,6CTWathupIiDs7U4InHnDA,Ella Mai,7HkdQ0gt53LP4zmHsL0nap,Ella Mai,67ErXRS9s9pVG8JmFbrdJ0,80,not available
26,Ring (feat. Kehlani),5DfWF0jqMgZDCiu9zJENTA,Cardi B,4kYSro6naA4h99UJvo89HB,Invasion of Privacy,4KdtEKjY3Gi0mKiSdy96ML,73,https://p.scdn.co/mp3-preview/276c750346704cbece771a2ee38d756fcbf1d5d3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,Pray For Me (with Kendrick Lamar),77UjLW8j5UAGAGVGhR5oUK,The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ,Black Panther The Album Music From And Inspired By,3pLdWdkj83EYfDN6H2N8MR,77,not available
