HOT 97's HOTTEST Hip-Hop Songs Of The Year! (So Far..),Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,22,hot97.1
1,Suge,2gwkD6igEhQbDQegRCcdoB,DaBaby,4r63FhuTkUYltbVAg5TQnk,Baby On Baby,0O1PJ0t69iTO5yWrIeIga0,89,not available
2,Big Ole Freak,3YEbLhXRDPTtctnb3ddg8g,Megan Thee Stallion,181bsRPaVXVlUKXrxwZfHK,Tina Snow,26jEIrN7WSAnVQXXUmLRSN,74,https://p.scdn.co/mp3-preview/fde0aed88cbf63b4e2755efbf13b8d8950329990?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Act Up,3A2yGHWIzmGEIolwonU69h,City Girls,37hAfseJWi0G3Scife12Il,Girl Code,6zzs0HMzEPRotJaEJe8uwJ,81,not available
4,Welcome To The Party,4KTFcXJcayX6ZhWXgPeJia,Pop Smoke,0eDvMgVFoNV3TpwtrVCoTj,Welcome To The Party,6J5ZTBRWJ20efaaEdZbF4Y,41,not available
5,Drogba (Joanna),4E0teOQQQwagLVvQ7VfYm1,Afro B,7oMRcCu0OYSCtCyS3P37iC,Afrowave 2,1R3refsYPuUJ4yl7sNqir1,71,https://p.scdn.co/mp3-preview/8189f5d4ff5128e24c9dc195fe22f68de2bbea13?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,The London (feat. J. Cole & Travis Scott),7DcvwMAiqKJQD1rrdfxSDx,Young Thug,50co4Is1HCEo8bhOyUWKpn,The London,6p9Y1K9yu3ojyS8fBJXUnp,89,https://p.scdn.co/mp3-preview/1172c366301561c0e3adc84ffdf95f8fd760ca54?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Tap (feat. Meek Mill),5rU6kDNXZLXIinFezpbWbO,NAV,7rkW85dBwwrJtlHRDkJDAC,Bad Habits (Deluxe),31lHUoHC3P6BRFzKYLyRJO,83,not available
8,Look Back at It,3Ol2xnObFdKV9pmRD2t9x8,A Boogie Wit da Hoodie,31W5EY0aAly4Qieq6OFu6I,Hoodie SZN,3r5hf3Cj3EMh1C2saQ8jyt,83,https://p.scdn.co/mp3-preview/1791d957e2bad3063228db3750f1f71670764842?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,SICKO MODE,2xLMifQCjDGFmkHkpNLD9h,Travis Scott,0Y5tJX1MQlPlqiwlOH1tJY,ASTROWORLD,41GuZcammIkupMPKH2OJ6I,89,https://p.scdn.co/mp3-preview/1c3c01c64477b356e28a652b6447f4ef96689a71?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,Going Bad (feat. Drake),2IRZnDFmlqMuOrYOLnZZyc,Meek Mill,20sxb77xiYeusSH8cVdatc,Championships,6UYZEYjpN1DYRW0kqFy9ZE,87,https://p.scdn.co/mp3-preview/29e19c68dd853994221a90103db28427f1185e33?cid=fa83a2fec7c440b7a2795d600d6b2c7e
