JANUARY 2019 BURGER RELEASES,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,0,burgerrecords4life
1,Lizard,2u6L9LgnVJ0qKvx14MmeuN,Mom and the Mailman,6qmpXzNAd1VMIUHqdL5ZBI,Mom and the Mailman,5JKN2KR6kJL6EvUlle3Svj,6,https://p.scdn.co/mp3-preview/9c0509c53a4f1684f0549eb5f0ce52cb4b318ba1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,I Don't Give a Fuck,5hPvKrYfOWKs2FG1Pq6pf0,The Lindas,0NPZLzR7qnumn7nnpBYH63,8 By 9,66Zg3RFLtyetsNuCEpCyRu,15,https://p.scdn.co/mp3-preview/903cd0d2ad54511cb523598fe8ae9f4790f92a56?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Iolaus (Hercules),4BL0DClXAKQBTAjAHwGGmV,The Exbats,7gDtEXhShKhmqrdh2lpSsD,E Is for Exbats,689Yks7Rvylob94s9zbqYM,7,https://p.scdn.co/mp3-preview/b666378526340132f08b1783e8bff529ab6f465f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Stinker Strikes Back,6wEkqDae4S4fAniCa90vNs,C.J. McKnight,2ro7Wn8zCuyHa8MCfnppUh,Stinker Lets Loose!,7bODQPy05Sas2wCo7OXP9N,1,https://p.scdn.co/mp3-preview/a509df2d0b4c4ef6a0506d05e32eaf0492052889?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Follow My Name,7zWW5X3Qce6IUAU8rGzeZk,Mattiel,69ZtLNs4CNIFnf3Vq7wN5q,Customer Copy,5f6PA7koPvHZ0Tp2VnrqiK,25,https://p.scdn.co/mp3-preview/07cbf8ce4c1c50bed1dc00e85b09df5623e2e752?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Dig,36jOoAuECueWO8PDWYsscH,Wishes Were Fishes,6bQ0KrIxv67uSQDijfYYkT,Too Cheap for Brass,5dakgRWUaYWCC633kkZlTQ,0,https://p.scdn.co/mp3-preview/10c5092461a0a6a41e930e4d97979899fe8c2246?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Out My Window,2amTVZrZhLDqOXZsoESxBt,Andy Ferro,6H2sKUE9xgNcRJo6jP9mBc,Character Development,2twd5sICUOL0z7i19mMDnJ,18,https://p.scdn.co/mp3-preview/6438a35e0b03fdead674a7993f8ee0fed8de4216?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Terraform,4miIupbDsiSnl75rwPhgRz,The Dandy Warhols,7siPLyFwRFYQkKgWKJ5Sod,Why You so Crazy,2jWOmtU1d3CwWzc2NaeGff,30,https://p.scdn.co/mp3-preview/c80ed069ff31180efce5586b5884856b71e8b074?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Goca Dünya,5QO3UJc1gF1ummP75n2b3R,Altin Gün,37PL04N8kBWWW69jdrMMWT,On,6AmmrlB9qABCgBdr8SCLZt,52,https://p.scdn.co/mp3-preview/f7ef4521b03d5052f4783e7a07cb91e0c151096d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,Hit & Run,1F9ehlfwA0XbFFKK39t86z,Dog Party,2vJjvxt06vKyDMhwtjTFie,Hit & Run,6W0iyzuVXNbr81ErlzPScb,14,https://p.scdn.co/mp3-preview/f4922c12f285ad32cde4818086d043934966540a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,Her Cold Cold Heart,7LBF760pZnZuJKIoVEBK2w,Night Beats,07dZirN9KFAGIHeBvSDfuO,Myth of a Man,2PGaDiHPnNBkYomCoQoOST,34,https://p.scdn.co/mp3-preview/715117eeea20b2cd2d2dd9f65b362f2d271cb3eb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
