🇬🇧 UK BURGER RELEASES,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
26,Collision,7g66TEFxdkPwOIEnGyI14P,Loop,0ReGrqp2iQLy9fySkDCIDh,The World In Your Eyes (2009 Remastered Edition),6JTvDHhVfGdwXtESuzLCcz,9,https://p.scdn.co/mp3-preview/4475be729fbe038393bb6a9a9a44eb0390e730a0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,The Dream Is Just Beginning,1tU73QTA7nNqbd3DmBriS6,Twink,48RYPJMn7h2MNWJbe4dz9x,You Reached For The Stars,4iagBvcn51kaqXZXAK7LP2,1,https://p.scdn.co/mp3-preview/7527a8838b7c578dee5ea27a3b993f141bf95cb7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
28,"10,000 Words In A Cardboard Box",0JzqgpF20r6UHWPNpNPKx1,Twink,48RYPJMn7h2MNWJbe4dz9x,Think Pink (Expanded Stereo Edition),2WtP6b2K2LRqpNfRRPC0jJ,18,https://p.scdn.co/mp3-preview/818b19a67546fd4df8aa80d8993326f4ad52f65d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
29,Up in Smoke,706dqCDV36BrifybQYf7gf,'82 Crowd Of People,03SJ1mAr8VR6X0hLtB1xwc,'82 Crowd of People,2L6J8m9RyF0pyffUsPjWhk,0,https://p.scdn.co/mp3-preview/29d58cd1462fabd1552be49622ebd5d6d8cb430e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
30,The Problem with Me,4HWpZ99DiOr1v8skBtHhoo,Paul Messis,5eU6lgm3OtKPgPVITXlVwo,The Problem With Me,7ay8kBFqmnK7ySDseo284K,2,https://p.scdn.co/mp3-preview/673f10eb392ade36ffcc0ae285ff8fc0fad2ed75?cid=fa83a2fec7c440b7a2795d600d6b2c7e
31,Can't Take It - Typewriter Version,3NWZr0fokjtKlCgadRwdsv,Fawn Spots,4HdOuKLUhh5R5IN0g2fgci,Wedding Dress,6Xai6zS2iZGn8kwQj7bkCr,0,https://p.scdn.co/mp3-preview/ff2b716dc678f2aa3b17e44d85c53b8ff5efddc6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,I Want to Be Your Happiness,0zkDOX7SIqZsE0Eue1HoVj,Wreckless Eric,46mRV6kvhsGvih0dMKktto,Daddy Rockin' Strong: A Tribute to Nolan Strong and the Diablos,75M5okUKEcVDQJTOFu3VzS,6,https://p.scdn.co/mp3-preview/4b8a63c8ae5c90fa4cd9bd89331422a0726f4477?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,What Did the Hippie Have in His Bag?,2RSKUdPnxNkrnC2lpabBnb,Cornershop,3Kf7VEIRWquxrNIuyJZnfF,The Hot for May Sound,09sybZZk6ya6bHAOLjl7AO,8,https://p.scdn.co/mp3-preview/1b42536ac87f0fa0e953f57ac2fd9158cb7ba25b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
34,Positively Something Wild - Remastered,6T7T1HiXdG7dRFcRgW4zBm,Slaughter Joe,0G55sKVfzAmc7d3xDCXkV4,Zé Do Caixão - The Complete Creation & Kaleidoscope Recordings (Remastered),7GEAvhxP42KYNlTlzZvYhf,0,https://p.scdn.co/mp3-preview/55e249ac4629ed2914ceaba415f9a08aec8021ca?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,Work for Nothing,7IF2eikszYC3GqDFQYtZo6,The Jasmine Minks,79iNuVcranEFZo5z6yTdHc,Cut Me Deep: The Anthology 1984 - 2014,5QbJKsjz0576OmBwCXo0yP,3,https://p.scdn.co/mp3-preview/6b792d86f202946d1ed058b37e63dccb5f4e9974?cid=fa83a2fec7c440b7a2795d600d6b2c7e
36,Two Lines,6gr1eDFA6bMGfmHfk2mGyj,Lightships,55dAYmaBdq4WlVUz08yB1a,Electric Cables,3TD3Rzu6tRwTEYwpFM0qN8,4,https://p.scdn.co/mp3-preview/26a05256491b629c6a820047df94ad6ee1b1ba71?cid=fa83a2fec7c440b7a2795d600d6b2c7e
37,T.V. On In Bed,3EEQXnR9YE9c0SfHodXQZi,Tronics,5trNKmSqUawwh3prKOYQYT,Love Backed By Force,471hz3E46JVi6RVJIA1Q6z,9,https://p.scdn.co/mp3-preview/da1ac7134119be8ed3444fe950940f9688ada5a1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
38,You Make Me,7nfLMDx0vdLiW8EThwHbIq,Black Time,3iYHbSsTg6iQrjAcF56Soj,Split LP,6OKJkq6u7lebTYq9sUMl7X,10,https://p.scdn.co/mp3-preview/373311c741643edf980c1d647f275a17c00b7069?cid=fa83a2fec7c440b7a2795d600d6b2c7e
39,Space of a Second,5EejzFDpsjzoHuzZmXGfIO,Nick Nicely,0YiAdp51AnI8gWavR1YEH5,Space of a Second,4wHJkZEMdaOhBgDi2oaGY4,1,https://p.scdn.co/mp3-preview/2c713596bca9949875ec207b4a618007e38f62d6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
40,Picturesque,5RFyioSvemEXSSSnrY1xPX,Reminders,315C7unNzONsbQY5sQ8qR2,Picturesque,1rPNNl2oDc8uQrnsSfW0nv,9,https://p.scdn.co/mp3-preview/5d72d18b08155a9d07ce24d68c5e31d58d7c3f8f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
41,"Hello, How Do You Do",1WD98anAe6aC0hzNsfZmI3,Philippe DeBarge,2NAxT93tKjfvocmUgHfi3t,Rock St. Trop,3w2luVRYKEeRCpSu8k2G2C,5,https://p.scdn.co/mp3-preview/c1656b1473e34dcee619c61b6f37289eb79cd43c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
42,New Day,30ogecSXV2qeSkcVyQZuWb,Philippe DeBarge,2NAxT93tKjfvocmUgHfi3t,Rock St. Trop,3w2luVRYKEeRCpSu8k2G2C,3,https://p.scdn.co/mp3-preview/4d4a9d8851873b6446152920e6d8e5ec8f65438d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
43,You're Running You and Me,68321A5g52GJf2zX0v5Hsw,Philippe DeBarge,2NAxT93tKjfvocmUgHfi3t,Rock St. Trop,3w2luVRYKEeRCpSu8k2G2C,3,https://p.scdn.co/mp3-preview/fb823543f6d3baf6f7136ee42989cc36965afb86?cid=fa83a2fec7c440b7a2795d600d6b2c7e
44,Exotic Adrian,16HuGDDa5erAOIGU3rdiOx,Exotic Adrian Street and the Pile Drivers,2c3Oz3dmvpksPWNNPIW1Dl,Naughty But Nice,4X88aguvOyvlzBt3ycIMel,3,https://p.scdn.co/mp3-preview/534e00873370fee94fcb570ccfbb7f9ab4ea6707?cid=fa83a2fec7c440b7a2795d600d6b2c7e
