AUGUST 2019 BURGER RELEASES,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,11,burgerrecords4life
1,It's About Love,3sC3Viw4MSVFNgr8BLsQ3C,Those Pretty Wrongs,3azero10EBz68YUn4mWz29,It's About Love,2a6e7XxCPiKIiIiP1xRmq4,4,https://p.scdn.co/mp3-preview/d711f4fef74c6316e196f5c4ec1721759d6d0a80?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Mysterious Temple,2COsbdBdIaHkE3XgMyqRNs,Psychic Bloom,3gnvv8S9QthwVbtxiuLk0y,Mysterious Temple,3rldriuYZtCky2qohUhpDH,7,https://p.scdn.co/mp3-preview/53e2695929b21122448cf37d4812edb39a5c451d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,The Devil Took Me,2iuEuGx8LE5sFmVhOI9jMd,Gary Forney,7ry8o87LeY2kKo0SiciOe0,The Devil Took Me,76ZNkF6hbEBW7GBhjbrAe0,0,https://p.scdn.co/mp3-preview/97a8234513cdb66e97014b2ec634e225152e16ec?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,It's Something,0f1fkfLYO0Zn8iS3tdJtEs,Jack Drag,5KKmmG4Gv7YltQJ8V9aQsJ,It's Something,2l2vAuXDhFo7GDrzYjHqtV,6,https://p.scdn.co/mp3-preview/dd96da0058ea0af6e259ef413c5b4c7783d7ead2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,"Be Stupid, I Dare You To!",3wNmiqvQVvZglAx8CCGaeT,Jonah Ray,5cwfl0AvCLHefyTxP7FYsA,You Can't Call Me Al,7kVXRhVAvDkygkt45xgGNx,16,https://p.scdn.co/mp3-preview/7fcba37f89a49e546e020690ba1023d0f1390b1e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,"When Do I Get to Sing ""My Way""",4vZDPuYpMHGH8eoJdKis81,Redd Kross,1USc9u5yL4tUaQKhGWNuvj,"When Do I Get to Sing ""My Way""",6TbXla1B0KBjW1u4Nc67wc,20,https://p.scdn.co/mp3-preview/2da895a484c961fa5f0a2dbb0991af68b62aed50?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Hey Gary (Have You Seen My Girl),54W1SXbTFT7y7obsXwHUMN,Gary Wilson,4XEGQf1EWRZB4xBmIYqEA0,Hey Gary (Have You Seen My Girl),0MRBPOT42WeeFp67Bj1QQv,8,https://p.scdn.co/mp3-preview/889400ce98309dc2e1dbc82616fbb62cbb403b36?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Dance on a Razor's Edge,61mm9qe2XgUJvPJmxsvc2Q,The Shrine,7H3vFudAv1N7YmbnmUGdxn,Dance on a Razor's Edge,5fciGB9swHHtKDhHSvE73m,32,https://p.scdn.co/mp3-preview/d0e9a4cbb4232084867311da35913af70f1ca6d2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Do You Remember,4OhsPk4WwmyfPtLJjesZYx,The Rubinoos,0ShV0veaBj1NvWRORhuwlI,Do You Remember,0pvpSH7Tgickp7ZjtpJCaF,6,https://p.scdn.co/mp3-preview/b3d42dc1236490a079864d38a127ebe8a4e96fb6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,The Curse of Being Young,6TrpUV8M10Fz2zBD0SYKC4,Hunx & His Punx,5xTWck1vHVlTTI0jTQzUuF,Too Young To Be In Love,3ezEcFfUKTEYhKjWAgCZqp,24,https://p.scdn.co/mp3-preview/4847eec05fe97a8e406be811c03eacd2eb2ee8b5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,Everyone's A Pussy (Fuck You Dude),7FylXH24EqeBVUjFb9MziU,Hunx & His Punx,5xTWck1vHVlTTI0jTQzUuF,Street Punk,5So55F1Gj0fHkzZSTjtZwJ,16,https://p.scdn.co/mp3-preview/a8c527a3371083088823edf8086ad8f31ac6a25c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,Stainless Steel,2iRiO0lBHLy8HfNmyNuAXF,Pinch Points,1BwC0e8RJL6cALzszuqcze,Moving Parts,5Vl2HC6uEFmoFpi8sG97S2,16,https://p.scdn.co/mp3-preview/d36760865a01b9966c83b9ebe157e0cee0a3d6d1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,Nanganator,09YLhM54EcqYrO50bZbbFC,Drunk Mums,1vd7OHxzKOJeFKjN1M7VTb,Gone Troppo,4GBb2NTNjFG5lrCKjRvApY,33,https://p.scdn.co/mp3-preview/eca83b06baeaf686a7fc771ecc15a9e4b758b24d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,A Spell So Evil,6eKAEPxcYQGLIs0uYhSClY,Glitter Wizard,3Cfk2tZnlxqNH8JLBM3iHX,Opera Villains,3veENdBpCbAgPcXilsay6D,9,https://p.scdn.co/mp3-preview/67ce4e72d16741da45ca2685cb06a04fcffe28d6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,Swing Time Dream,5c6ot9sV0Y6eNw3FkXqtXY,Peaches in Honey,0DPIKDv29CJHXK2xRAzQno,Swing Time Dream,5cPLrNiELhrOxCWu9CEgKN,15,https://p.scdn.co/mp3-preview/468d2fcd2d2e6ccd45fa639b92f31a2f640b6636?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,Space Cowboy - Live,7I6yNJhXLxrhZShZ8qLcD6,Mom and the Mailman,6qmpXzNAd1VMIUHqdL5ZBI,Live at Experimental Hospital,1b87CUQlBpAFpSrq9KSLBP,1,https://p.scdn.co/mp3-preview/5a195aede9ed7470469cdff3d8abdb6cd7751d8f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,My Money (Grows on Trees),7rqdnr0t1nawETwg6GrTNl,Rollingchild,7xpvKbm9VYNF1DFXNtidKz,My Money (Grows on Trees),2tiP73Yc9qslI4Lrlr3tpi,8,https://p.scdn.co/mp3-preview/da5ec5425b14873e32916775a0c2b6bcf7b3cf97?cid=fa83a2fec7c440b7a2795d600d6b2c7e
