10 YEARS OF BURGER RECORDS (2007-2017),Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,6,burgerrecords4life
1,What's Up Your Butt,2EtlW5VK5v2wjwMSc50uIL,Veloura Caywood,7wdSynbhh18GryXfUMUMaK,14 Years,0K1imIZqtyc3vnVjlULmfV,0,not available
2,Final Conflict,6RO1mdbRQdG8NebBsNcoN7,Shattered Faith,1Fw43ESeFAZuqWPkfuJNTW,1979 Demos,5dpmBjZg4sjn4ec7Z0wyza,1,https://p.scdn.co/mp3-preview/d48aa4463125ab2c4ce4701658337dbb90eb2053?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Grrrl,37j5pgrqFWf6GlkpcxjJnK,Joel Jerome,1pLAN9JZIlNYalIJCsguvk,Babies On Acid,3KtnnUpwvmlpmkyoohP6an,12,https://p.scdn.co/mp3-preview/7df1e8828d734e45b760b11973e2479d2bb0e90a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Baby Doll,70UOBk9sUQduncfPQ5aIJY,The Bobbyteens,1vkkoAtqgYweUKawYtjzNi,Back in the Saddle,3kSKInjXfZVZnXBmrrD5iC,1,https://p.scdn.co/mp3-preview/89b8d0f1e0d5160e1bcb08157705152bb349e8eb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,The Wahatever,1GWW8fyAEivKLCYni8pYzs,Bananamou,5q4jpczkdYuhNDJagH6d8I,Bananamou,5SjXDBYHfeBcw2FoQXzXB0,0,not available
6,Ditit Dutut,3PP6cmfM0CFJbDAzX19G5j,The Hound Of Love,5XVwGdW8o2ovdzkDySPEfW,Careful Houndy,3ZwXDSEtv5yuqmVHN3b14v,0,https://p.scdn.co/mp3-preview/44a8e0b67bf23353aa51bcc36da971deb547a50f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Puzzle People,0yB5CwftBzaHq1JOzZ0JC2,Conspiracy Of Owls,0qoKN7ITffvddj6PVhmDSK,Conspiracy Of Owls,4Apf5HPUimeotZoI2Em70S,5,not available
8,Moon Ribbon 3,3k7cW4BGQ9CoqfDWA046F7,Sitar Outreach Ministry,3Uh55II22JfqoUrYeVK7RB,Crucible Of Mutants,2oqKKMN7CF8B5p5eoOF3ov,0,not available
9,The World Is Wrong,6ADp2WzpKNDqsBjyRbST8c,The Resonars,0J7gocP56wqQ8OCRgtkrUN,Crummy Desert Sound,0eXILrvUB6MLKMM3Cx1PML,3,https://p.scdn.co/mp3-preview/099abdfaa2a54470e17ef131001283790cc4b381?cid=fa83a2fec7c440b7a2795d600d6b2c7e
