🇨🇭 SWISS BURGER RELEASES,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,0,burgerrecords4life
1,Don't Turn Yourself In,0V4gjlqqW1ihkhzlOIjVoy,The Jackets,2qBsB4qXCLciWT8DMSyXD7,Shadows of Sound,0opXqb78zpiP2Ylq1NxnMa,13,https://p.scdn.co/mp3-preview/01be944cc3f387447947e9ae5aaa2563f44b74fa?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,At the Go-Go,4YSoiCpF9RZq2us3rKGywE,The Jackets,2qBsB4qXCLciWT8DMSyXD7,Shadows of Sound,0opXqb78zpiP2Ylq1NxnMa,6,https://p.scdn.co/mp3-preview/d4f85cf904037b53db1d41637aef2e2faccb6321?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Sometimes Maybe,2eFSkCO0GWDOx3yI8ACZAQ,The Jackets,2qBsB4qXCLciWT8DMSyXD7,Shadows of Sound,0opXqb78zpiP2Ylq1NxnMa,6,https://p.scdn.co/mp3-preview/86fbbbfcd6ba144641d8672935948656348e5272?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Keep Yourself Alive,3edjSkrecuL3Tfw8CB4urS,The Jackets,2qBsB4qXCLciWT8DMSyXD7,Shadows of Sound,0opXqb78zpiP2Ylq1NxnMa,9,https://p.scdn.co/mp3-preview/2e56aedcc0bc0361574301dfefe467b9b3587da8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Living the Past,70jVMgeZHlsiXWYNmgidRb,The Jackets,2qBsB4qXCLciWT8DMSyXD7,Shadows of Sound,0opXqb78zpiP2Ylq1NxnMa,6,https://p.scdn.co/mp3-preview/868244f1bfbcfbb3ca1b32f98352e23e556c6b38?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Watch You Cry,4IZxvIpDPdXassQBRWsYgt,The Jackets,2qBsB4qXCLciWT8DMSyXD7,Shadows of Sound,0opXqb78zpiP2Ylq1NxnMa,5,https://p.scdn.co/mp3-preview/9d6214d6b7bfb71d8769d0fc3a23fff37597dad7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Wheels of Time,4Um5RhyT0novatQoMnTwU9,The Jackets,2qBsB4qXCLciWT8DMSyXD7,Shadows of Sound,0opXqb78zpiP2Ylq1NxnMa,5,https://p.scdn.co/mp3-preview/f3ada222a542f515340fe09a357a5a6a83e01077?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,You Better,4KLiSd9ijdCPitrjwMQ2rC,The Jackets,2qBsB4qXCLciWT8DMSyXD7,Shadows of Sound,0opXqb78zpiP2Ylq1NxnMa,5,https://p.scdn.co/mp3-preview/aba47e450764c248acbe3eb79353c9dfe03f043a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Hands off Me,4m1l2QdSG1G4oRZQYSO8pH,The Jackets,2qBsB4qXCLciWT8DMSyXD7,Shadows of Sound,0opXqb78zpiP2Ylq1NxnMa,6,https://p.scdn.co/mp3-preview/5e8de9587507254d64555f558e7fb79b74d25fef?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,Astronaut,7u84PIbtjcr7856LBHHbMc,The Jackets,2qBsB4qXCLciWT8DMSyXD7,Shadows of Sound,0opXqb78zpiP2Ylq1NxnMa,4,https://p.scdn.co/mp3-preview/85e737963f3770c5552bd2fcb758c28aba648dcf?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,Shadows of Sound,2tmOjzHv7bXW51O51SiXqj,The Jackets,2qBsB4qXCLciWT8DMSyXD7,Shadows of Sound,0opXqb78zpiP2Ylq1NxnMa,4,https://p.scdn.co/mp3-preview/c99dea47ba26a21311566e7cbe4505ff0a95ac31?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,Freak Out,5qISeSa8PIjVfBdiGBhIz3,The Jackets,2qBsB4qXCLciWT8DMSyXD7,Way Out,28TDScpklSYaUsPNo220Oq,10,https://p.scdn.co/mp3-preview/a77f5e158114834436a1fd6e45d25f64d7dd6de9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,Down You Stay,7CsSvn2zJdBCC4wk5SYuAR,The Jackets,2qBsB4qXCLciWT8DMSyXD7,Way Out,28TDScpklSYaUsPNo220Oq,5,https://p.scdn.co/mp3-preview/f22a50b8607a2216619ee82069fac30451418311?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,Wasting My Time,2VaUFbpi6R6aeDM60QphRf,The Jackets,2qBsB4qXCLciWT8DMSyXD7,Way Out,28TDScpklSYaUsPNo220Oq,15,https://p.scdn.co/mp3-preview/294aca1a6daf334954bd136760c56b54a9dd5c30?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,Fly My Way,0uijocw6y9XovUBPh4jIfQ,The Jackets,2qBsB4qXCLciWT8DMSyXD7,Way Out,28TDScpklSYaUsPNo220Oq,5,https://p.scdn.co/mp3-preview/4636dee72d38b25faeb7869866ce3727cf6dec9c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,You Said,0rmmuktvqvP2p2253ulfgO,The Jackets,2qBsB4qXCLciWT8DMSyXD7,Way Out,28TDScpklSYaUsPNo220Oq,3,https://p.scdn.co/mp3-preview/a27cc01cd3fee477f6dc31744fec23917aa3c256?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,Hang Up,4ArurwOY1SqCS5vEiU8kQs,The Jackets,2qBsB4qXCLciWT8DMSyXD7,Way Out,28TDScpklSYaUsPNo220Oq,4,https://p.scdn.co/mp3-preview/98151b2cc86bb11d25e64f84c8cceda0657ae07f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,In My Mind,43jIrYgclVF638ieW49f2H,The Jackets,2qBsB4qXCLciWT8DMSyXD7,Way Out,28TDScpklSYaUsPNo220Oq,4,https://p.scdn.co/mp3-preview/7eda8b8715ffaa042e164a99d1e6660543c9ec34?cid=fa83a2fec7c440b7a2795d600d6b2c7e
19,Oh Baby,15JUyrUmYPhVRrjGsQgU45,The Jackets,2qBsB4qXCLciWT8DMSyXD7,Way Out,28TDScpklSYaUsPNo220Oq,5,https://p.scdn.co/mp3-preview/bf874dc0b94593f8fb30fe05191e67fa13a818f0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
20,Falling Girl,0XDgOOBqeRCUre1HShNPHI,The Jackets,2qBsB4qXCLciWT8DMSyXD7,Way Out,28TDScpklSYaUsPNo220Oq,3,https://p.scdn.co/mp3-preview/95849a798c162349bb0e6bad4075e31faf918feb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,What We Gonna Do,0WCNZOCfof7y0ft1Vvd3IM,The Jackets,2qBsB4qXCLciWT8DMSyXD7,Way Out,28TDScpklSYaUsPNo220Oq,4,https://p.scdn.co/mp3-preview/ea4f123d4398aaa84d8568418aecdfe2932ac1f1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,The City,3dZ92GC2cRKFuXFENXJWNX,The Jackets,2qBsB4qXCLciWT8DMSyXD7,Way Out,28TDScpklSYaUsPNo220Oq,3,https://p.scdn.co/mp3-preview/adcbcc97824ca9153a2b1199ac38c773bc26ca57?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,Last Chance,2DPO1tdQNv2UpXY35oiZ2B,The Jackets,2qBsB4qXCLciWT8DMSyXD7,Way Out,28TDScpklSYaUsPNo220Oq,3,https://p.scdn.co/mp3-preview/b7590990ee30d10902c9d410e44fa3703a263a9c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
