🇪🇸 SPANISH BURGER RELEASES,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,0,burgerrecords4life
1,1985,7LDUCgkZZsmVDttDpnhjFj,Tversky,2H2NwHErQadK2lAzZ4UXUt,1985,7LGZEJxltLGVsmg0tKdG2e,15,https://p.scdn.co/mp3-preview/b4ce12a5ddafd1c66f40108144a5415378f3ee03?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,"No Me Gustas, Te Quiero",5FE1aWpZb1rwK5mdepR5ni,The Parrots,34UH1BNxUlj7CjvivyS5Ev,Los Niños Sin Miedo,4hca4KQaEeGse0uf9cLvPe,15,https://p.scdn.co/mp3-preview/43bd0a1e62d14ec1a22896509ed00ba3b2d6323b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Garden,6j8qpLvz5LixmjJunu4dQt,Hinds,4piFCokRN13muTud5Y2lhz,Leave Me Alone,7a8el8qARmjR7p2j9PEtEl,35,https://p.scdn.co/mp3-preview/8ff8046048a3d88f2a6f3a7423b7181a9cd64c33?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Fat Calmed Kiddos,4ZkbZfWUSrw0i4eJoQ2esI,Hinds,4piFCokRN13muTud5Y2lhz,Leave Me Alone,7a8el8qARmjR7p2j9PEtEl,21,https://p.scdn.co/mp3-preview/256e37c49a5e86877d832c1ebbca1139bdc0626e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Warts,66agVj3AYgEUjnpqDuTKkh,Hinds,4piFCokRN13muTud5Y2lhz,Leave Me Alone,7a8el8qARmjR7p2j9PEtEl,25,https://p.scdn.co/mp3-preview/7e35c75b15b1c32c4224497dd8f887bfb4bdfdfe?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Easy,0pqEZ0lwlFnTO0MOuWlDl9,Hinds,4piFCokRN13muTud5Y2lhz,Leave Me Alone,7a8el8qARmjR7p2j9PEtEl,21,https://p.scdn.co/mp3-preview/b2144c6394baa65a7be0728bdabd18ac23008fa5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Castigadas En El Granero,4lTd9T6YoGXSlS16T66V7U,Hinds,4piFCokRN13muTud5Y2lhz,Leave Me Alone,7a8el8qARmjR7p2j9PEtEl,23,https://p.scdn.co/mp3-preview/aea3160db58a352308d5e8a38031a11fb8a1cc1b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Solar Gap,262RP3tcfodyNqGCgiMtFJ,Hinds,4piFCokRN13muTud5Y2lhz,Leave Me Alone,7a8el8qARmjR7p2j9PEtEl,31,https://p.scdn.co/mp3-preview/9099258a0ca8002002c53fbb75290ba1b105a21f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Chili Town,6IA0VuoHgavEX3NFUxpYTT,Hinds,4piFCokRN13muTud5Y2lhz,Leave Me Alone,7a8el8qARmjR7p2j9PEtEl,26,https://p.scdn.co/mp3-preview/b88709f45cb50c07ba67d85cb1eecaf9ddc84414?cid=fa83a2fec7c440b7a2795d600d6b2c7e
