MAY 2019 BURGER RELEASES,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,0,burgerrecords4life
1,Addio,6Cq9HPVJgvlFZdmwzH3jvk,Mexico City Blondes,1LBgSCwIAplPE9DCqxhDj4,Blush,7LXqhhHUAO0BVQ7QFEvIJv,5,not available
2,Did You Need Someone,5EvabrkdJW74qUyTiWKH5w,Doug Tuttle,5BGPsIFgLQh8bWfHHSQYth,Dream Road,1BvXUNsbT1rgC8yTCBeUrE,21,https://p.scdn.co/mp3-preview/37c420d58421e346052b95021fbeb53ad803a6d2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Shitbird Clouds,5UN8DPU1AGA0wT4fL7sG3v,Freezing Hands,6lwspN4Xsnruhq02vQzswr,Backward Chaining a Cat to Use a Toilet,5fa6gsOfdBfkZmdHQV880c,0,https://p.scdn.co/mp3-preview/1869c6f599a673d5c2940d48f59bdf4d2f7d762d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Post Paris Blues,5BO2hehrsHDjIjTSKgsDxY,Reminders,315C7unNzONsbQY5sQ8qR2,Post Paris Blues,1Y4F3Ci0uaW4ldLHgKWcab,17,https://p.scdn.co/mp3-preview/e49816118fdd0877c50674937f7e92a9434f8631?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Love's Hard to Find,74TU6Q9FaCHfllBm1acvzz,Peaches in Honey,0DPIKDv29CJHXK2xRAzQno,Love's Hard to Find,4I8TUwpczSD63UByYMuPoY,6,https://p.scdn.co/mp3-preview/69d0579ae35f2456234b5e47d9545b4b02591a4d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,123456789,1q3B4GPmhia8oXzzlOJR0R,Groovy Movies,6qxXKn7UHZQk5pRLjY5ViE,Psychedelic Barbershop,7dPstASPffXzxI8DBvb1hX,0,https://p.scdn.co/mp3-preview/f23e1b03e20dcab562f1fc9d8c7bec847b9bd0fe?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Old & Gross,51BgLSdUCSZoWK5XKcFQTy,Die Group,6F99SVB4EaozTGjcgWv7Iw,Disease Control,66SrLD0DYLKph2CC98Vi6H,2,https://p.scdn.co/mp3-preview/971267ff2f74f8a5fb4bdfa75bde2ed14027aef4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
