Song2	Artist1	Song1	Preview_URL
ID	Name	Name	topsify
3HCfLj84q3qXdArLlA1dV5	Tones and I	Dance Monkey	not available
1AI7UPw3fgwAFkvAlZWhE0	Ed Sheeran	Take Me Back to London (feat. Stormzy)	https://p.scdn.co/mp3-preview/5c132adfc3e5c68d7bb2f81baaf284b41e8532c6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6y1UtRcHQU07aUs3oxZ8Yn	Joel Corry	Sorry	https://p.scdn.co/mp3-preview/7821cae529a3cfafd1919b05a1c154e9cb5fc53d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2tnVG71enUj33Ic2nFN6kZ	Regard	Ride It	https://p.scdn.co/mp3-preview/e19c28e007c0ba7471b1f06831fc431caff17ef8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7b4ky1LlQLFhXHmhZkFgqV	AJ Tracey	Ladbroke Grove	https://p.scdn.co/mp3-preview/d9f524a216cfdbee1ebfc063a7d3ecf09caf224b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6oJ6le65B3SEqPwMRNXWjY	Kygo	Higher Love	https://p.scdn.co/mp3-preview/a74efdaa12f708673a14fdf67bfb6ec365d8ebf0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
0qc4QlcCxVTGyShurEv1UU	Sam Feldt	Post Malone (feat. RANI)	https://p.scdn.co/mp3-preview/b74cd0ca94e2907bcd64827ba5208279f02a4064?cid=fa83a2fec7c440b7a2795d600d6b2c7e
70eFcWOvlMObDhURTqT4Fv	Ed Sheeran	Beautiful People (feat. Khalid)	https://p.scdn.co/mp3-preview/f94d8d0c1b37773ff493e7d83930545e3425ccd3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
1tNJrcVe6gwLEiZCtprs1u	Dominic Fike	3 Nights	https://p.scdn.co/mp3-preview/4541d9fdce0a1a70103690863356bee8ca05d02b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6uAm7pG66O1XesXS9bpHSF	Lizzo	Good As Hell	not available
1xPpYbCaJWonL7IFXPDjON	Aitch	Taste (Make It Shake)	https://p.scdn.co/mp3-preview/61a03a46e1f2d223d93e2e180c555af06d0d04d7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6osqdnJ1xel3KHpt9R8naY	Yves V	We Got That Cool (feat. Afrojack & Icona Pop)	https://p.scdn.co/mp3-preview/0dcb6c9e6f1c533bf57a0e9a21400bf2bf814269?cid=fa83a2fec7c440b7a2795d600d6b2c7e
0TK2YIli7K1leLovkQiNik	Shawn Mendes	Señorita	not available
4JSEMSiKPVcIEBQIlmGuI3	Mahalia	Simmer (feat. Burna Boy)	https://p.scdn.co/mp3-preview/27decbe2ead96b166523cbf973b9dc08ba84444d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4vUmTMuQqjdnvlZmAH61Qk	Ed Sheeran	South of the Border (feat. Camila Cabello & Cardi B)	https://p.scdn.co/mp3-preview/7b43dd0c94b0af0c0401381a683d2f4833180ba3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3NkJNL3WqO1Lqc3uNDxvCN	Ariana Grande	Don’t Call Me Angel (Charlie’s Angels) (with Miley Cyrus & Lana Del Rey)	not available
2ekn2ttSfGqwhhate0LSR0	Dua Lipa	New Rules	https://p.scdn.co/mp3-preview/75a1b521de23958a2db9acf4fc8151999ee54bd7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2oeYjGXqPooFVy64aoqrJP	Maisie Peters	This Is On You	https://p.scdn.co/mp3-preview/d3c4aafc723b949c4e32409b2346ee7dbe144d28?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7qEHsqek33rTcFNT9PFqLf	Lewis Capaldi	Someone You Loved	not available
4hIppgm5PYoVIoGtCCSJnh	JC Stewart	Pick Up Your Phone	https://p.scdn.co/mp3-preview/a612ea34285bc778bcc78d53df16fce7f38c1feb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25sgk305KZfyuqVBQIahim	Ava Max	Sweet but Psycho	https://p.scdn.co/mp3-preview/9772598a67666a9b7184926c59fe15b9574c7e46?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3hYdai5p5sQ3vAmHQ6uaK6	Elderbrook	Something About You (with Rudimental)	https://p.scdn.co/mp3-preview/75705ae7c893e0c6af8a3c27694aa23637286f77?cid=fa83a2fec7c440b7a2795d600d6b2c7e
1yAPglN5AGf7UoLK062ZYq	Sigala	Wish You Well	https://p.scdn.co/mp3-preview/1c29b0343d57dfe089932f87ce5e70f2ce103c74?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5wfyoR8XOkw45QRtFOoxyi	Dave	Professor X	https://p.scdn.co/mp3-preview/b5b9a38563fd1b4320159765f6d6033a24ba4107?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5RgBnDtHKFHgtVdqabjGE3	Jax Jones	Harder (with Bebe Rexha)	not available
44ZJ4hLD5onikKsVLQaILr	Stormzy	Vossi Bop	https://p.scdn.co/mp3-preview/b3836168720465c84df242690ea49f6a855a6cde?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23GvTfcGK454ppLsts3W44	Young T & Bugsey	Strike a Pose (feat. Aitch)	https://p.scdn.co/mp3-preview/ada040f0a6a1af4d93b0a7de2a46d755497b260d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
79JBjIq90BrQ8Ws0pUhlzD	Mabel	Mad Love	not available
1i3z3GR1JtLswOSJNO0BQw	Bebe Rexha	"You Can't Stop The Girl (From Disney's ""Maleficent: Mistress of Evil"")"	https://p.scdn.co/mp3-preview/1a42a795794298a01897c682495534a8e1b7b20a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6UjZ2Yx2g2a52XxiA8ONxZ	Dermot Kennedy	Outnumbered	not available
2wrJq5XKLnmhRXHIAf9xBa	Dan + Shay	10,000 Hours (with Justin Bieber)	https://p.scdn.co/mp3-preview/a3e97b632968fe644ea13d758629e50b26d12c3d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5EKiBMhzRLALeGDPdoAKkQ	Jess Glynne	One Touch	https://p.scdn.co/mp3-preview/ead38ad10d9ab85f99be5fd1e3eabee11c6633c2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6rVNnvyNeibts1uOqdSNIw	Charlie Puth	Mother	https://p.scdn.co/mp3-preview/5792f5b46d7747a02eae853dc1dda8393274df34?cid=fa83a2fec7c440b7a2795d600d6b2c7e
322tcqPhma7F6hfCeLisx0	Lauv	fuck, i'm lonely (with Anne-Marie) - from “13 Reasons Why: Season 3”	https://p.scdn.co/mp3-preview/f516b7ef3c83e390a1c965c5b3730ebe4a6c667d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
0h9E5yHd7mn3d7tvWh12pn	Papa Zeus	About You	https://p.scdn.co/mp3-preview/d8970aab74413bd8433fbab419383ed7fd0c1042?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2Dpe4Wnm8lQ07nk2SfzvEz	James Blunt	Cold	https://p.scdn.co/mp3-preview/0d377937ac3d1e2808f62a184a3bddb4bd3b2d6a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5tZWtGT65sMrDVPB5H444n	Freya Ridings	Castles	not available
7CMxksycvvl7dg12SJXVaO	Liam Gallagher	One of Us	https://p.scdn.co/mp3-preview/7294d4a9c09f7f901f22b9c0e288a168dbfee845?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2C1V8JFnm2OqZVkHhNu4qe	L Devine	Naked Alone	https://p.scdn.co/mp3-preview/b5ab3e70d57feb11259d9c41377bceb4d53c2d04?cid=fa83a2fec7c440b7a2795d600d6b2c7e
0rIAC4PXANcKmitJfoqmVm	Normani	Motivation	https://p.scdn.co/mp3-preview/f6877dfe11a1c9ea4731947219a956cd18c6a7ed?cid=fa83a2fec7c440b7a2795d600d6b2c7e
1i3UvjbQS0OoBoKkILthR2	AJ Tracey	Cat Pack	https://p.scdn.co/mp3-preview/5907237d06e26b373e332f33def6b813cf7ecb43?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5aubXDnDNVKA5pS7EnR0mp	MIST	So High (feat. Fredo)	https://p.scdn.co/mp3-preview/67e3f4b22edcd274f2c33c710d6862fc4054d6af?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5FzuDFYmUFcvjraadJXv28	Leftwing : Kody	I Feel It	https://p.scdn.co/mp3-preview/aaca1f62d5bce8416ebc2236dc67d48f0691f3c0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
1Iv4wC88uxeAF7SmQQGx3X	Stormzy	Wiley Flow	https://p.scdn.co/mp3-preview/8aaf9a7c021af85a4c3a7c817c1f30bc52ddd2ad?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5YwxSa50wbOB8bw5jIllgk	Conor Maynard	Waste Your Time	https://p.scdn.co/mp3-preview/8ec2b3b713daec0a1191db214ac23467ca1b21bf?cid=fa83a2fec7c440b7a2795d600d6b2c7e
0eTUh4JHjK4zHTEEB3gxcl	Yxng Bane	Maximum	https://p.scdn.co/mp3-preview/0ce59efe93c612fa5d21f6fce2e598633617880d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
60xAKj50Mj54Sveqc8onRO	Noel Gallagher's High Flying Birds	This Is The Place	https://p.scdn.co/mp3-preview/362e0feae137b704c20a7adcfcee072cc1e4c0fb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3z4CGd63tpUn9a6oQSG0CI	Dave	Location (feat. Burna Boy)	not available
2GdxQw8NwoeH8tKySg6nym	Ava Max	Torn	https://p.scdn.co/mp3-preview/1ff3cfa3fc477d266958ba7a0dbbdd0e287f9b93?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5fOJe6vJ3vJXMrN6v362WJ	James Hype	I Was Lovin' You (feat. Dots Per Inch & Ayak)	https://p.scdn.co/mp3-preview/91d2ab4c9070c7fc3bcbd089cb0f51b90f24acaf?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5TTZ0fMZVLLseFk7NC6NRz	Jorja Smith	Be Honest	https://p.scdn.co/mp3-preview/875a798405e990f5fd677bb54ac9de196d9a2d2b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4Of7rzpRpV1mWRbhp5rAqG	Lewis Capaldi	Bruises	not available
5qmq61DAAOUaW8AUo8xKhh	Lizzo	Truth Hurts	https://p.scdn.co/mp3-preview/c8bdc870ffc6044c84f0d52306a35551fb3d0263?cid=fa83a2fec7c440b7a2795d600d6b2c7e
51Fjme0JiitpyXKuyQiCDo	Y2K	Lalala	https://p.scdn.co/mp3-preview/3fa108534da58a2782b9c60b1c3a2d0aa18fb451?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15rEEVR9tYJS4hbubgS3u7	Sidhu Moose Wala	47 (feat. Stefflon Don)	https://p.scdn.co/mp3-preview/e4dda4eea77c024f40a5abf7e1a01b9f28ee8200?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3hHcL95Pqlj93e8YCAkkys	Joe Stone	Nothing Else (When I Think Of You)	https://p.scdn.co/mp3-preview/6e82f9a5b550234601d8a1fb548cf104451c1249?cid=fa83a2fec7c440b7a2795d600d6b2c7e
71rHHK9L22rVdmofJTjuSd	KREAM	Go Somewhere	https://p.scdn.co/mp3-preview/673b3e64f3e5f9f263d02512f19e343e7cdcad8d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2owws8NRqfPUdIn3Uag7Yp	Roberto Surace	Joys	https://p.scdn.co/mp3-preview/bb39c607a9b0b049ad497f4d4b195494712f1fe6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2HQb8gTiNfVkwCxLNkhHJO	Coldabank	Take Me Back	https://p.scdn.co/mp3-preview/33c28c431604d1c772c2dd3c247f86593663830d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
1KMhHimZZdUqsgDeZCyRa5	Tobtok	The Stand Off (I Want You!) [feat. Hayley May]	https://p.scdn.co/mp3-preview/923bf6c71e9f93e646c92f9fe67d244ea395a4e1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2lPSvn7iahl7I2L4HVtF0N	HRRTZ	Miracle	https://p.scdn.co/mp3-preview/3171360518232c11585aa7e1acfe24481ac181db?cid=fa83a2fec7c440b7a2795d600d6b2c7e
0j1CiuNObut67Rw72mUNy0	Mahalo	So Cold (feat. Lily Denning)	https://p.scdn.co/mp3-preview/6664fa370f13fb01a7911e86455f827fcb499ad8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7jCXeMSEAlRmsLT4W1if0I	Jack Wins	Hold Your Breath	https://p.scdn.co/mp3-preview/29e4049f7f97ecb524d1ee62daadfdcc6fd7e649?cid=fa83a2fec7c440b7a2795d600d6b2c7e
31F6r4J0qRBpXOUELOiybQ	Robin M	Choosy (feat. Dantae The Kid)	https://p.scdn.co/mp3-preview/50b1c362722a602bb90f5c7fc4c0e8ae49c0f27f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3D9l2sYUaTtJVOPp0AUpvW	Preditah	Animals (feat. Rachel Chinouriri)	https://p.scdn.co/mp3-preview/5528e95d6eff810719aa86369bb76d65b3d95066?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5OmmrKLwGEh0JLtNw7nCPz	Fuse	All Of You	https://p.scdn.co/mp3-preview/770021ddf650527478275be61bef37cc2943c136?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3t2Cyq3GntNxnffzRRlCLp	Nathan Dawe	Repeat After Me (feat. Melissa Steel)	https://p.scdn.co/mp3-preview/d96ac94550c45898b7e1d6bd5129db417053918b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
0hrCOZMMDi6gtP7xjhh0Ys	D.V.R.X	Hey Now	https://p.scdn.co/mp3-preview/1461920383e137e3c491c4b33f79aa83badbc060?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3c9RceD6okF9YiMGUpuCdE	Disciples	All Mine	https://p.scdn.co/mp3-preview/2cd93bd3c13da000226bfbb4f9ac6f46c3530b52?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7GBiEPnY33o1boPlWi7Pap	Crazy Cousinz	Amnesia	https://p.scdn.co/mp3-preview/423b888cc2e1ab296c92230d40884ae61e88e025?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7COd0pAxVedPeQNFHxMvhd	Ian Carey	Keep On Rising (feat. Michelle Shellers) - OFFAIAH Remix	https://p.scdn.co/mp3-preview/d92ce876635d6501f1bddae12fe8402a7959ce1f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
1oW9LQ9KyFZ6rihgDbn14z	Matoma	All Around The World (feat. Bryn Christopher)	https://p.scdn.co/mp3-preview/59c2d2e79221fad527e956baed965f9808ca3d49?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4fN26JupZ7C3HVuA77K5uI	Michael Calfan	Wild Game (feat. Monique Lawz)	https://p.scdn.co/mp3-preview/0c74d1db15727fc5f6adc6529001d4e1368defa9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
