100% LatinX,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
21,Runaway,7BuSE9uTIw931wtZYzvZcQ,Sebastian Yatra,07YUOmWljBTXwIseAUd9TW,Runaway,0PijZTpKNGUvL12y7w4tZF,87,not available
22,Mamacita (feat. Farruko),7iwhbx1YQcQ675DTj6AmAb,Jason Derulo,07YZf4WDAMNwqr4jfgOZ8y,Mamacita (feat. Farruko),5IGJ2tmnMeHUDAJonQ3ppj,73,https://p.scdn.co/mp3-preview/b9a9540db82931bfba141b11189fbc5fd3df2d3d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,Always,3UIPjaPQwlWFHEw3aHCHdZ,Lumidee,1IO0GVa1xjkFMXsg66FiE9,Always,0nyFFD55j67X5H5BiK9n1c,29,https://p.scdn.co/mp3-preview/7aa9aec82d2401104a138c92581a57786d4e107a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,No Te Debí Besar,1KdwnsWOvhM53vezy5ROuf,C. Tangana,5TYxZTjIPqKM8K8NuP9woO,No Te Debí Besar,1VIVJSQidZ6nddSJoEEYt7,84,https://p.scdn.co/mp3-preview/4b86f6bd7a234d31407838ac05d2f5d7a9fa5b1f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,My Type (feat. Becky G & Melii) - Latin Remix,44RqvvU9FeCjcPHZz50jLO,Saweetie,6cK3NBO6uP7hh0oyuVELFl,My Type (feat. Becky G & Melii) [Latin Remix],0eDa8J7db8HOxGHO9b7vh0,58,https://p.scdn.co/mp3-preview/05dc1e372eb8f3196b8ed7f9483ca3196cf651b1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,Perreito - Remix,3TTragde5roTvwS2caAQOc,Mariah,0KKUc4amZyvswV2YL6WTar,Perreito (Remix),3JqLCPTj2fKbbrB9E0hSFZ,67,not available
27,Dime Si Te Llego,31AfGGV65TSaPYnZEeD6c0,Kat Dahlia,1peH5tSqnYm8W6Bo3I5egE,Dime Si Te Llego,5TpBz6i7R6S9Yr73W6p5vX,45,https://p.scdn.co/mp3-preview/385b1339c4b50e49b7cc9010d406a66a90afaad0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
28,Como No (feat. Becky G),5rqn93J4KqJrxSO7SMns4B,Akon,0z4gvV4rjIZ9wHck67ucSV,Como No (feat. Becky G),6kLXL6tWc6J6rbsIdBBENf,65,https://p.scdn.co/mp3-preview/daf00de792bea1da7bae22d09b74142d116ced6b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
29,Me Quedaré Contigo,6xrov7bSdx0KxLdztHEstZ,Pitbull,0TnOYISbd1XYRBk9myaseg,Libertad 548,4FQ3bjsnGcyyFMnpw28iHk,69,https://p.scdn.co/mp3-preview/eb3c3f7638d389a242fa96f4666c5815f3dbc0a0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
30,The Good & The Bad,3JGImzrpXzbrtJaPMxzMDc,Anthony Ramos,660YptcR0hNHJ8iEr1qcse,The Good & The Bad,5Cwex6o8dpvZu4PGl4U4BG,48,not available
31,La Mejor Versión de Mi - Remix,2dy3TKVDEbIeWxeIb8JWqZ,Natti Natasha,1GDbiv3spRmZ1XdM1jQbT7,La Mejor Versión de Mi (Remix),0OChMQnL4dpFZQH93uPb1d,72,https://p.scdn.co/mp3-preview/d32ea1dc5c840ea3ebb4ddb5e99b936abc8d1b55?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,Inmortal,2swZ0X1njeU32SNJeBKIfW,Aventura,1qto4hHid1P71emI6Fd8xi,Utopia,1yM8iaMk4Slsqr94LabgN1,75,https://p.scdn.co/mp3-preview/1756d090e67c9e3543310d0c49c8944d92ba1490?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,Morir Solo,18hnXK4HWm3BxT8QijiJVO,Prince Royce,3MHaV05u0io8fQbZ2XPtlC,Morir Solo,6knKxseycCjKl3KVZizjbb,70,https://p.scdn.co/mp3-preview/858348c8f81613f8d8ccdedc78676304ba4b894f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
34,"I Can’t Get Enough (benny blanco, Selena Gomez, J Balvin, Tainy)",1WSGTYKLEpKfNQYYW5Oymt,benny blanco,5CiGnKThu5ctn9pBxv7DGa,"I Can’t Get Enough (benny blanco, Selena Gomez, J Balvin, Tainy)",2IUVG5x1G7l0TW1LA61Eyy,81,not available
35,LA CANCIÓN,0fea68AdmYNygeTGI4RC18,J Balvin,1vyhD5VmyZ7KMfW5gqLgo5,OASIS,6ylFfzx32ICw4L1A7YWNLN,94,not available
36,Instagram,0U6bQIAh6MCGo1xjbIIx2S,Dimitri Vegas & Like Mike,73jBynjsVtofjRpdpRAJGk,Instagram,7FTzcNdsKhMe53orWXsai8,88,https://p.scdn.co/mp3-preview/3ab276e3f7066d652e7d631afc55e054de42ad1b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
37,Bellaquita,1tpbAGsGpZee5jDHMcLrUJ,Dalex,0KPX4Ucy9dk82uj4GpKesn,Bellaquita,3RWeME5ryDw9wxO99OoDgP,83,https://p.scdn.co/mp3-preview/c84f6082a34cb6d31e208a074bc6e2b581a25d1b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
