Mujeres del Indie,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,118498,spotify_espa%C3%B1a
1,Vete De Una Vez,4avGqRWheA5WMIxaN72bNw,Daniela Spalla,2VSRhqonKsL7KRAIk8SMmt,Vete De Una Vez,4pP1N4m2FMr0taCYHJA0CX,43,not available
2,Al Norte,67fUnCQc6m44QT3KnWzHZS,Silvana Estrada,72VywtXEoONiBLNu3ibGI7,Al Norte,2l4VdF6kbTeN26cG4c1cgk,5,not available
3,"Culpa, Tengo",4bKQUb2YadX9zaek1ngZKj,Elsa y Elmar,5nKGeITSNCVP76muyOlszy,"Culpa, Tengo",6ijb7bIlJEXCOrnMxTmVfX,0,not available
4,Arenga,1bLNoffW6MAXLnS1TlDzTQ,Jai Jas,1hCWQPyCBEJehtWUOTDeFz,Arenga,1EK7xHVNHnoSaGjXtNwWGo,14,https://p.scdn.co/mp3-preview/a47c413ae53e1af5327535f187eabd4532b6ac94?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Helado de Mango,3h3L1IArPewYKXLgb6YLX1,Naïa Valdez,1WE5kYBn5jgJyzXroKVktA,Helado de Mango,5fd7vj3legWUCGUdEhM6S8,47,https://p.scdn.co/mp3-preview/8cd5b624546d479c6b8c41b2e5324657bd7cd0f4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Pinamar,6K98GWDNC9Q9Q28uhNjOCM,Daniela Spalla,2VSRhqonKsL7KRAIk8SMmt,Pinamar,5W7fMvZVn8kdy3imSF4C2k,44,not available
7,Pa' Mi Entero,3XYRNTBQLpR8qZMJSptr8V,Marissa Mur,5kt4v3JNtP8svtTI8PDFOT,Pa' Mi Entero,5TbFBxS1BraUgl9d0pfzyp,38,not available
8,¿Qué Tiene?,2vNDq5XAoF4Gl4hfY7aacS,Ximena Sariñana,7plUpXSFcSJUZSiZAoXqr1,¿Qué Tiene?,3TF5YZurXL6aE9cbkWEbUu,60,https://p.scdn.co/mp3-preview/172eeb768d378828ba2ac163cbae93f42ce18136?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,El Origen del Arcoiris,1towfaOJ1x8NlAjCQsgoTg,Camila Moreno,0SJy1J0FgP21lbvGBMKT8H,El Origen del Arcoiris,1mz4DG8vji8MQaNjTT4nvH,49,https://p.scdn.co/mp3-preview/e13b5a2767060fa129701e16e4df73a31e550ea8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,Sabré Olvidar,7CFmeHaFayBGxMRhbp42qB,Silvana Estrada,72VywtXEoONiBLNu3ibGI7,Sabré Olvidar,2Zk36BAZOIz89HUbPzJOW6,1,not available
11,Extranjera,20guSgR4MGyUSrV0VP3ss6,Soy Emilia,09MCzRiOuz48BY0imXgFFM,Extranjera,4mc7nzmmSLPdor87vc0qUe,26,https://p.scdn.co/mp3-preview/1469c4db2c2136f9f1d2508458e9cb49681d65c7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,Sanar,2wq42fveBWE7qzqjEP2PQR,Fer Casillas,1zl3p4VBfqqHGikw3Ad46R,Sanar,07CaFRzg1lb3H26MnMUI4f,28,https://p.scdn.co/mp3-preview/a85c98e991282ebfaf9ee4fc6bf25cdd4c3868fd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,Imanes Permanentes,1ifr5Ncd7ZyFxOWi91P2mq,Tania Barbará,18zlMHVUNwCW1CmnG4pgFP,Imanes Permanentes,47vVmsHL6m1NU04SGbntO3,19,https://p.scdn.co/mp3-preview/0c4be256cc2aaa0b2f5e9c78172d87bdd8714ba1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
